# NED-1D, V2.0
# 3,716 distances to 1,210 galaxies with v &lt; 1/8 c, published in 524 
# papers since Jan. 1, 1990, with the exception of 4 papers from 1988-89; 
# updated to July 1, 2006
#
# Compiled from the literature by Barry F. Madore (Pasadena) and 
# Ian P. Steer (Toronto)
# Galaxy_Name                  m-M     err     D         Method     REFCODE              Notes                          RA          Dec          GLON    GLAT    Type_(RC3)   Vgsr_(RC3)      
# -                            (mag)   (mag)   (Mpc)     -          -                    -                              (J2000)     (J2000)      -       -       -            (km/s)          
# (1)                          (2)     (3)     (4)       (5)        (6)                  (7)                            (8)         (9)          (10)    (11)    (12)         (13)            
UGC12914                        33.570   0.200    51.800 Sosies     2002A&amp;A...393... -                              00:01:38.3  +23:29:01.1    108.4  -38.0 RS.R6*P             4545.0
WLM                             25.100   0.150     1.050 Cepheids   1991PASP..103..933M  I                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.920   0.210     0.964 Cepheids   2004ApJ...608...42S  LMC_VIHJK                      00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.750   0.100     0.891 TRGB       1997AJ....114..147M  I                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.770   0.090     0.899 TRGB       2004ApJ...608...42S  -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.850   0.080     0.932 TRGB       2005MNRAS.356..979M  -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             25.880  -9.000     1.500 Tully-Fish LEDA_[April_2006]    -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.880   0.090     0.946 CMD        2000ApJ...531..804D  -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.950   0.130     0.977 CMD        2000AJ....120..801R  -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
NGC7814                         30.440   0.140    12.200 SBF        2003ApJ...583..712J  I                              00:03:14.9  +16:08:43.5    106.4  -45.2 SAS2*/              1204.0
NGC7814                         30.600   0.140    13.200 SBF        2001ApJ...546..681T  I                              00:03:14.9  +16:08:43.5    106.4  -45.2 SAS2*/              1204.0
NGC7814                         31.260   0.130    17.900 Sosies     2002A&amp;A...393... -                              00:03:14.9  +16:08:43.5    106.4  -45.2 SAS2*/              1204.0
NGC7814                         32.700  -9.000    34.700 Tully-Fish LEDA_[April_2006]    -                              00:03:14.9  +16:08:43.5    106.4  -45.2 SAS2*/              1204.0
ESO349-G031                     27.530  -9.000     3.210 TRGB       2006AJ....131.1361K  -                              00:08:13.4  -34:34:42.0    351.5  -78.1 IB.9                 195.0
ESO349-G031                     28.060  -9.000     4.100 Tully-Fish 2003A&amp;A...404... -                              00:08:13.4  -34:34:42.0    351.5  -78.1 IB.9                 195.0
2dFGRSS839Z607                  37.297   0.040   271.000 SNIa       2006ApJ...647..501P  SN_1992au:_z_=_0.06100:        00:10:38.1  -49:56:51.7    319.1  -65.9 E1                 17665.0
2dFGRSS839Z607                  37.300   0.220   272.000 SNIa       2004ApJ...607..665R  SN_1992au:_z_=_0.06100:        00:10:38.1  -49:56:51.7    319.1  -65.9 E1                 17665.0
2dFGRSS839Z607                  37.410   0.140   303.000 SNIa       2005ApJ...624..532R  SN_1992au                      00:10:38.1  -49:56:51.7    319.1  -65.9 E1                 17665.0
NGC0048                         33.920   0.200    60.800 Sosies     2002A&amp;A...393... -                              00:14:02.2  +48:14:05.5    116.5  -14.2 SX.4P*              1972.0
NGC0045                         30.130   0.350    10.600 Sosies     2002A&amp;A...393... -                              00:14:03.9  -23:10:55.5     55.9  -80.7 SAS8                 493.0
NGC0045                         29.510  -9.000     7.980 Tully-Fish LEDA_[April_2006]    -                              00:14:03.9  -23:10:55.5     55.9  -80.7 SAS8                 493.0
UGC00139                        33.450   0.050    48.400 SNIa       2006ApJ...647..501P  SN_1998dk:_z_=_0.01322         00:14:31.9  -00:44:15.2    102.9  -62.2 SXS5?               4052.0
UGC00139                        33.850   0.140    58.900 SNIa       2005ApJ...624..532R  SN_1998dk                      00:14:31.9  -00:44:15.2    102.9  -62.2 SXS5?               4052.0
NGC0055                         26.500  -9.000     2.000 TRGB       2005ApJ...622..279D  -                              00:14:53.6  -39:11:47.9    332.9  -75.7 SBS9*/                94.0
NGC0055                         26.630   0.030     2.120 TRGB       2005AJ....129.1331S  disk                           00:14:53.6  -39:11:47.9    332.9  -75.7 SBS9*/                94.0
NGC0055                         24.910  -9.000     0.960 Tully-Fish LEDA_[April_2006]    -                              00:14:53.6  -39:11:47.9    332.9  -75.7 SBS9*/                94.0
NGC0055                         26.280  -9.000     1.800 Tully-Fish 2003A&amp;A...404... -                              00:14:53.6  -39:11:47.9    332.9  -75.7 SBS9*/                94.0
NGC0059                         28.210   0.070     4.390 SBF        1998AJ....116.2873J  -                              00:15:25.1  -21:26:39.8     65.7  -80.0 LAT-*                412.0
NGC0059                         28.620  -9.000     5.300 SBF        2004AJ....127.2031K  -                              00:15:25.1  -21:26:39.8     65.7  -80.0 LAT-*                412.0
ESO410-G005                     26.400   0.150     1.900 TRGB       2000ApJ...542..128K  -                              00:15:31.5  -32:10:47.3    357.8  -80.7 DE.3.*                 0.0
ESO410-G005                     26.420  -9.000     1.920 TRGB       2000A&amp;AS..145..4 -                              00:15:31.5  -32:10:47.3    357.8  -80.7 DE.3.*                 0.0
NGC0063                         31.360   0.330    18.700 SBF        2001ApJ...546..681T  I                              00:17:45.5  +11:27:01.2    109.9  -50.6 S...P               1303.0
MCG-01-02-001                   33.350   0.120    46.200 SNIa       2006ApJ...647..501P  SN_1999cw:_z_=_0.0113          00:20:01.5  -06:20:03.6    101.8  -67.9 SBS2P?              3792.0
IC0010                          24.100   0.190     0.660 Cepheids   1999ApJ...511..671S  VIJHK                          00:20:17.3  +59:18:13.6    119.0   -3.3 IB.9                   0.0
IC0010                          24.400  -9.000     0.760 Cepheids   2002AAS...201.2605Z  -                              00:20:17.3  +59:18:13.6    119.0   -3.3 IB.9                   0.0
IC0010                          24.570   0.210     0.820 Cepheids   1996AJ....111.1106W  JHK                            00:20:17.3  +59:18:13.6    119.0   -3.3 IB.9                   0.0
IC0010                          24.590   0.300     0.830 Cepheids   1996AJ....111..197S  4                              00:20:17.3  +59:18:13.6    119.0   -3.3 IB.9                   0.0
IC0010                          23.510   0.190     0.500 TRGB       1999ApJ...511..671S  -                              00:20:17.3  +59:18:13.6    119.0   -3.3 IB.9                   0.0
IC0010                          25.520  -9.000     1.270 Tully-Fish LEDA_[April_2006]    -                              00:20:17.3  +59:18:13.6    119.0   -3.3 IB.9                   0.0
IC0010                          24.690  -9.000     0.870 BWC_stars  1994AAS...185.7618M  BWC_stars                      00:20:17.3  +59:18:13.6    119.0   -3.3 IB.9                   0.0
MCG+01-02-004                   35.300  -9.000   115.000 SNII_opt   1996ApJ...466..911E  SN_1990ae                      00:22:49.7  +06:49:01.4    110.4  -55.4 Sbc                 7576.0
Sculptor-dE1:[CFC97]Sc22        28.120  -9.000     4.210 TRGB       2003A&amp;A...404... -                              00:23:51.7  -24:42:18.0     52.7  -83.3 dE                     0.0
Sculptor-dE1:[CFC97]Sc22        27.130   0.120     2.670 SBF        1998AJ....116.2873J  -                              00:23:51.7  -24:42:18.0     52.7  -83.3 dE                     0.0
NGC0105                         33.860   0.060    58.200 SNIa       2006ApJ...647..501P  SN_1997cw:_z_=_0.01765         00:25:16.6  +12:53:22.0    113.1  -49.5 Sab:                5133.0
NGC0105                         34.040   0.300    64.300 SNIa       2005ApJ...624..532R  SN_1997cw                      00:25:16.6  +12:53:22.0    113.1  -49.5 Sab:                5133.0
CetusDwarf                      24.390   0.070     0.760 TRGB       2005MNRAS.356..979M  -                              00:26:11.0  -11:02:39.6    101.5  -72.9 dSph                   0.0
CetusDwarf                      24.450  -9.000     0.780 TRGB       2003A&amp;A...404... -                              00:26:11.0  -11:02:39.6    101.5  -72.9 dSph                   0.0
CetusDwarf                      24.460  -9.000     0.780 TRGB       2002ApJ...567..915S  -                              00:26:11.0  -11:02:39.6    101.5  -72.9 dSph                   0.0
ESO294-G010                     26.420   0.100     1.920 TRGB       2002A&amp;A...389..8 -                              00:26:33.3  -41:51:19.1    320.4  -74.4 DE.5P*                72.0
ESO294-G010                     26.170   0.080     1.710 SBF        1998AJ....116.2873J  -                              00:26:33.3  -41:51:19.1    320.4  -74.4 DE.5P*                72.0
UGC00288                        29.140   0.390     6.730 BS         1997AstL...23..656G  -                              00:29:03.6  +43:25:54.0    118.6  -19.3 S?                   374.0
NGC0147                         24.150   0.090     0.675 TRGB       2005MNRAS.356..979M  -                              00:33:12.1  +48:30:31.5    119.8  -14.3 E.5.P                 28.0
NGC0147                         24.390  -9.000     0.755 TRGB       1997AJ....113.1001H  -                              00:33:12.1  +48:30:31.5    119.8  -14.3 E.5.P                 28.0
NGC0147                         24.440   0.160     0.773 SBF        2001ApJ...546..681T  I                              00:33:12.1  +48:30:31.5    119.8  -14.3 E.5.P                 28.0
NGC0147                         24.050  -9.000     0.646 FP         LEDA_[April_2006]    -                              00:33:12.1  +48:30:31.5    119.8  -14.3 E.5.P                 28.0
NGC0147                         23.920  -9.000     0.608 RR_Lyrae   1990AJ....100..108S  -                              00:33:12.1  +48:30:31.5    119.8  -14.3 E.5.P                 28.0
NGC0150                         31.510  -9.000    20.000 SNII_opt   1996ApJ...466..911E  SN_1990K                       00:34:15.5  -27:48:12.9     21.9  -86.1 SBT3*               1581.0
NGC0157                         32.320   0.190    29.100 Sosies     2002A&amp;A...393... -                              00:34:46.8  -08:23:47.2    110.3  -70.9 SXT4                1734.0
NGC0157                         31.320  -9.000    18.400 Tully-Fish LEDA_[April_2006]    -                              00:34:46.8  -08:23:47.2    110.3  -70.9 SXT4                1734.0
NGC0157                         31.950  -9.000    24.600 HII        2005JKAS...38....7I  -                              00:34:46.8  -08:23:47.2    110.3  -70.9 SXT4                1734.0
AndIII                          24.370   0.070     0.748 TRGB       2005MNRAS.356..979M  -                              00:35:33.8  +36:29:52.0    119.4  -26.3 E?                     0.0
AndIII                          24.380   0.060     0.751 RR_Lyrae   2005AJ....129.2232P  -                              00:35:33.8  +36:29:52.0    119.4  -26.3 E?                     0.0
AndIII                          24.400   0.200     0.759 CMD        1993AJ....106..986A  -                              00:35:33.8  +36:29:52.0    119.4  -26.3 E?                     0.0
AndIII                          24.380   0.060     0.752 Horizontal 2002AJ....124..332D  -                              00:35:33.8  +36:29:52.0    119.4  -26.3 E?                     0.0
[P96]J003618.17+112334.7        35.820   0.190   141.000 SNIa       2006ApJ...645..488W  SN_1996bl:_z_=_0.036           00:36:18.2  +11:23:34.7    117.0  -51.3 SBc                10719.0
[P96]J003618.17+112334.7        35.837   0.069   142.000 SNIa       2006A&amp;A...447... SN_1996bl:_z_=_0.036           00:36:18.2  +11:23:34.7    117.0  -51.3 SBc                10719.0
[P96]J003618.17+112334.7        35.903   0.038   146.000 SNIa       2006ApJ...647..501P  SN_1996bl:_z_=_0.036           00:36:18.2  +11:23:34.7    117.0  -51.3 SBc                10719.0
[P96]J003618.17+112334.7        36.170   0.190   165.000 SNIa       2004ApJ...607..665R  SN_1996bl:_z_=_0.036           00:36:18.2  +11:23:34.7    117.0  -51.3 SBc                10719.0
[P96]J003618.17+112334.7        36.130   0.140   168.000 SNIa       2005ApJ...624..532R  SN_1996bl                      00:36:18.2  +11:23:34.7    117.0  -51.3 SBc                10719.0
NGC0185                         23.950   0.090     0.616 TRGB       2005MNRAS.356..979M  -                              00:38:57.9  +48:20:14.6    120.8  -14.5 E.3.P                  0.0
NGC0185                         23.960   0.210     0.620 TRGB       1993AJ....106..964L  -                              00:38:57.9  +48:20:14.6    120.8  -14.5 E.3.P                  0.0
NGC0185                         24.300  -9.000     0.724 PNLF       1989ApJ...339...53C  -                              00:38:57.9  +48:20:14.6    120.8  -14.5 E.3.P                  0.0
NGC0185                         24.020   0.160     0.637 SBF        2001ApJ...546..681T  I                              00:38:57.9  +48:20:14.6    120.8  -14.5 E.3.P                  0.0
NGC0185                         23.300  -9.000     0.457 FP         LEDA_[April_2006]    -                              00:38:57.9  +48:20:14.6    120.8  -14.5 E.3.P                  0.0
M110:NGC0205                    24.580   0.070     0.824 TRGB       2005MNRAS.356..979M  -                              00:40:22.1  +41:41:07.1    120.7  -21.1 E.5.P                  0.0
M110:NGC0205                    24.600   0.300     0.830 TRGB       1996AJ....112.1438L  -                              00:40:22.1  +41:41:07.1    120.7  -21.1 E.5.P                  0.0
M110:NGC0205                    24.680   0.350     0.863 PNLF       1989ApJ...339...53C  -                              00:40:22.1  +41:41:07.1    120.7  -21.1 E.5.P                  0.0
M110:NGC0205                    22.910  -9.000     0.382 FP         LEDA_[April_2006]    -                              00:40:22.1  +41:41:07.1    120.7  -21.1 E.5.P                  0.0
M110:NGC0205                    24.650   0.250     0.851 RR_Lyrae   1992AJ....103...84S  -                              00:40:22.1  +41:41:07.1    120.7  -21.1 E.5.P                  0.0
M110:NGC0205                    24.550  -9.000     0.813 PAGB_stars 2001pao..conf...77B  -                              00:40:22.1  +41:41:07.1    120.7  -21.1 E.5.P                  0.0
AndIV                           29.000   0.500     6.300 TRGB       2000AJ....120..821F  -                              00:42:32.3  +40:34:18.7    121.1  -22.3 dw_Irr                 0.0
M32:NGC0221                     24.450  -9.000     0.780 TRGB       1996AJ....112.1975G  -                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M32:NGC0221                     24.580   0.600     0.824 PNLF       1989ApJ...339...53C  -                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M32:NGC0221                     24.170   0.140     0.682 SBF        1998ApJ...505..111J  K                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M32:NGC0221                     24.390   0.080     0.755 SBF        2003ApJ...583..712J  I                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M32:NGC0221                     24.480   0.050     0.787 SBF        1998ApJ...505..111J  I                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M32:NGC0221                     24.510   0.090     0.798 SBF        1994ApJ...433..567P  K                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M32:NGC0221                     24.550   0.080     0.813 SBF        2001ApJ...546..681T  I                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M32:NGC0221                     24.470   0.050     0.875 SBF        1997AJ....114..626A  I                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M32:NGC0221                     25.600  -9.000     1.320 Tully-Fish LEDA_[April_2006]    -                              00:42:41.8  +40:51:54.6    121.1  -22.0 CE.2                   0.0
M31:NGC0224                     24.300   0.030     0.724 Cepheids   1997ApJ...491...13K  30:_BVRI                       00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.380   0.050     0.750 Cepheids   2001ApJ...553...47F  KP:_37:_VI                     00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.370   0.070     0.750 Cepheids   2001ApJ...548..564W  LMC_W01                        00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.380   0.050     0.752 Cepheids   2004ApJ...608...42S  LMC_VIHJK                      00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.380   0.050     0.752 Cepheids   1995AJ....109.2480B  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.440   0.100     0.770 Cepheids   1991PASP..103..933M  BVRI                           00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.440   0.070     0.773 Cepheids   2002A&amp;A...389... MW_HIPP                        00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.440  -9.000     0.773 Cepheids   1995A&amp;A...301..7 BVRI                           00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.440   0.110     0.774 Cepheids   1990ApJ...365..186F  3_fields:_BVRI                 00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.470   0.230     0.783 Cepheids   2002A&amp;A...389... MW_P02                         00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.470   0.050     0.783 Cepheids   1997ApJ...491...13K  30:_BVRI_+Z                    00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.480   0.050     0.790 Cepheids   2001ApJ...553...47F  KP_+Z:_37:_VI                  00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.490   0.110     0.791 Cepheids   2003A&amp;A...402..1 13:_RI                         00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.500   0.080     0.794 Cepheids   2002A&amp;A...389... MW_GFG                         00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.500  -9.000     0.794 Cepheids   1991MNRAS.250..438M  BV                             00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.540   0.070     0.809 Cepheids   2006ApJS.165..108S   -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.560  -9.000     0.817 Cepheids   1995A&amp;A...301..7 BVRI_+Z                        00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.590   0.020     0.828 Cepheids   1997AJ....113...13B  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.600   0.200     0.832 Cepheids   1998A&amp;A...339..6 -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.840   0.030     0.929 Cepheids   1997hipp.conf..629P  BVRI                           00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.900   0.030     0.955 Cepheids   1997hipp.conf..629P  BVRI+                          00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     25.200   0.600     1.100 Cepheids   2004ASPC..310...95B  1:_V                           00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.470   0.110     0.783 TRGB       2004ApJ...608...42S  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.470   0.120     0.783 TRGB       2001AJ....121.2557D  I                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.470   0.070     0.785 TRGB       2005MNRAS.356..979M  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.300  -9.000     0.724 PNLF       1989ApJ...339...53C  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.360   0.130     0.745 PNLF       2002ApJ...577...31C  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.050   0.230     0.646 GCLF       1997ApJ...487..667O  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.600   0.150     0.832 GCLF       1994AJ....107..555R  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.240   0.080     0.705 SBF        2003ApJ...583..712J  I                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.380   0.050     0.752 SBF        1998ApJ...505..111J  I                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.390   0.050     0.755 SBF        1997AJ....114..626A  I                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.400   0.080     0.759 SBF        2001ApJ...546..681T  I                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.430   0.140     0.769 SBF        1998ApJ...505..111J  K                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.440   0.090     0.773 SBF        1994ApJ...433..567P  K                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.160  -9.000     0.679 Tully-Fish 2003astro.ph.10284R  B                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.260  -9.000     0.711 Tully-Fish 2003astro.ph.10284R  I                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.920  -9.000     0.964 Tully-Fish LEDA_[April_2006]    -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.440   0.120     0.772 EB         2005ApJ...635L..37R  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.440  -9.000     0.773 RR_Lyrae   1992MmSAI..63..331L  RR                             00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.500   0.100     0.794 RR_Lyrae   2004AJ....127.2738B  55                             00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.630   0.030     0.843 C_stars    1995AJ....109.2480B  C-stars                        00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.200  -9.000     0.692 PAGB_stars 2001pao..conf...77B  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.560   0.120     0.817 GC_SBF     1996AJ....111.1110A  GC_SBF                         00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
M31:NGC0224                     24.120   0.450     0.667 GC_FP      1999MNRAS.302..587N  -                              00:42:44.3  +41:16:08.5    121.2  -21.6 SAS3                   0.0
IC1574:DDO226                   28.460   0.260     4.920 TRGB       2003A&amp;A...404... -                              00:43:03.8  -22:14:48.8    101.2  -84.8 IBS9                 391.0
AndI                            24.330   0.070     0.735 TRGB       2004MNRAS.350..243M  -                              00:45:39.8  +38:02:28.0    121.7  -24.8 E.3.P$                 0.0
AndI                            24.360   0.070     0.745 TRGB       2005MNRAS.356..979M  -                              00:45:39.8  +38:02:28.0    121.7  -24.8 E.3.P$                 0.0
AndI                            24.500   0.150     0.790 TRGB       1990ApJ...354..438M  -                              00:45:39.8  +38:02:28.0    121.7  -24.8 E.3.P$                 0.0
AndI                            24.500   0.150     0.794 TRGB       2004MNRAS.350..243M  -                              00:45:39.8  +38:02:28.0    121.7  -24.8 E.3.P$                 0.0
AndI                            24.490   0.060     0.791 RR_Lyrae   2005AJ....129.2232P  -                              00:45:39.8  +38:02:28.0    121.7  -24.8 E.3.P$                 0.0
AndI                            24.550   0.080     0.810 Horizontal 1996AJ....112.2576D  -                              00:45:39.8  +38:02:28.0    121.7  -24.8 E.3.P$                 0.0
AndI                            24.550   0.080     0.813 Horizontal 2004MNRAS.350..243M  -                              00:45:39.8  +38:02:28.0    121.7  -24.8 E.3.P$                 0.0
NGC0247                         27.810  -9.000     3.650 TRGB       2006AJ....131.1361K  -                              00:47:08.6  -20:45:37.4    113.9  -83.6 SXS7                 176.0
NGC0247                         27.900   0.100     3.800 TRGB       2006ApJ...641..822D  -                              00:47:08.6  -20:45:37.4    113.9  -83.6 SXS7                 176.0
NGC0247                         27.430  -9.000     3.060 Tully-Fish LEDA_[April_2006]    -                              00:47:08.6  -20:45:37.4    113.9  -83.6 SXS7                 176.0
NGC0247                         28.060  -9.000     4.090 Tully-Fish 2003A&amp;A...404... -                              00:47:08.6  -20:45:37.4    113.9  -83.6 SXS7                 176.0
NGC0253                         27.590   0.060     3.300 TRGB       2005ApJ...633..810M  -                              00:47:33.1  -25:17:17.6     97.4  -88.0 SXS5                 251.0
NGC0253                         27.980  -9.000     3.940 TRGB       2003A&amp;A...404... -                              00:47:33.1  -25:17:17.6     97.4  -88.0 SXS5                 251.0
NGC0253                         27.620   0.260     3.340 PNLF       2005MNRAS.361..330R  -                              00:47:33.1  -25:17:17.6     97.4  -88.0 SXS5                 251.0
NGC0253                         26.800  -9.000     2.290 BS         1990AJ....100..102D  -                              00:47:33.1  -25:17:17.6     97.4  -88.0 SXS5                 251.0
NGC0253                         27.860  -9.000     3.730 Tully-Fish LEDA_[April_2006]    -                              00:47:33.1  -25:17:17.6     97.4  -88.0 SXS5                 251.0
NGC0252                         34.150   0.240    66.500 SNIa       2006ApJ...645..488W  SN_1998de:_z_=_0.01665         00:48:01.5  +27:37:25.1    122.0  -35.2 RLAR+*              5176.0
ESO540-G030:KDG002              27.660   0.220     3.400 TRGB       2003A&amp;A...404... -                              00:49:20.9  -18:04:31.5    119.8  -80.9 IABm                   0.0
ESO540-G030:KDG002              27.520   0.080     3.190 SBF        1998AJ....116.2873J  -                              00:49:20.9  -18:04:31.5    119.8  -80.9 IABm                   0.0
DDO006                          27.620   0.160     3.340 TRGB       2003A&amp;A...404... -                              00:49:49.2  -21:00:54.0    119.4  -83.9 IBS9*                315.0
ESO540-G032                     27.670  -9.000     3.420 TRGB       2003A&amp;A...404... -                              00:50:24.3  -19:54:24.2    121.0  -82.8 IXS9P*                 0.0
ESO540-G032                     26.720   0.130     2.210 SBF        1998AJ....116.2873J  -                              00:50:24.3  -19:54:24.2    121.0  -82.8 IXS9P*                 0.0
NGC0274                         31.450   0.470    19.500 SBF        2001ApJ...546..681T  I                              00:51:01.9  -07:03:25.0    122.6  -69.9 LXR-P               1811.0
NGC0289                         32.190   0.500    27.400 Sosies     2002A&amp;A...393... -                              00:52:42.4  -31:12:21.0    299.1  -85.9 SBT4                1611.0
NGC0289                         32.310  -9.000    29.000 Tully-Fish LEDA_[April_2006]    -                              00:52:42.4  -31:12:21.0    299.1  -85.9 SBT4                1611.0
SMC:NGC0292                     18.700   0.180     0.055 Cepheids   1999ASPC..167..320S  1:_V-R_(BW)                    00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.770   0.070     0.057 Cepheids   2000AcA....50..279U  VI(WI)                         00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.800  -9.000     0.058 Cepheids   2004A&amp;A...420..6 6:_BVIK                        00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.830   0.050     0.058 Cepheids   1997ApJ...491...13K  78:_UBVRIJHK_+Z                00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.840   0.100     0.059 Cepheids   1997AJ....113...13B  -                              00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.880   0.120     0.060 Cepheids   2004A&amp;A...415..5 5:_BVRIJK                      00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.880   0.010     0.060 Cepheids   2003AJ....125.1261D  FM                             00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.880   0.010     0.060 Cepheids   2003AJ....125.1261D  FO                             00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.900   0.070     0.060 Cepheids   2000ASPC..203..145S  V-R                            00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
SMC:NGC0292                     18.900   0.070     0.060 Cepheids   1999ASPC..167..320S  1:_V-R_(BW)                    00:52:44.0  +72:49:42.0    302.8  -44.3 SBS9P                 34.0
