# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2001eb      NGC1589                      0.613    -0.03     0.06    0.598    -0.02     0.09    0.485    -0.09     0.09    0.361     0.22     0.67
2009K       NGC1620                      0.118     0.53     0.05    0.111    -0.22     0.06    0.071    -2.55     0.02    0.064    -3.27     0.07
2006lf      UGC03108                     0.407     0.04     0.06    0.400    -0.59     0.07    0.301    -3.09     0.01    0.315    -3.33     0.05
2011gp      UGC03119                     0.162     0.25     0.04    0.153     0.19     0.07    0.127     0.13     0.04    0.102     0.11     0.20
1999em      NGC1637                      0.203     0.08     0.07    0.222     0.13     0.11    0.329     0.18     0.05    0.530     0.44     0.13
1990aj      NGC1640                      0.801    -0.67     0.12    0.790    -1.84     0.11    0.754    -5.04     0.05    0.914    -5.56     0.25
1995G       NGC1643                      0.613     0.62     0.09    0.618     0.69     0.13    0.584     0.71     0.05    0.487     0.77     0.15
1999et      NGC1643                      0.481     1.34     0.08    0.481     1.27     0.12    0.423     0.89     0.04    0.353     1.26     0.15
2011hy      UGC03131                     0.550     0.21     0.09    0.544     0.18     0.14    0.529    -0.01     0.09    0.459     0.28     0.53
1995bd      UGC03151                     0.496     0.40     0.07    0.474     0.44     0.10    0.420     0.51     0.08    0.283     0.75     0.46
1986N       NGC1667                      0.439     0.69     0.05    0.426     0.12     0.06    0.419    -1.13     0.01    0.387    -1.56     0.04
2001ep      NGC1699                      0.894    -1.12     0.10    0.893    -1.03     0.16    0.877    -0.87     0.08    0.751    -0.26     0.45
2006gc      UGC03219                     0.941     0.03     0.32    1.000     0.66     0.69    0.992    -0.21     0.30    0.764     0.98     1.29
1992bh      A045927-5849                 0.156     1.18     0.23    0.151     1.15     0.35    0.105     0.77     0.21    0.066     0.67     1.21
2012ap      NGC1729                      0.761     0.04     0.13    0.740    -1.43     0.10    0.751    -3.50     0.02    0.691    -3.80     0.07
2006le      UGC03218                     0.982    -2.22     0.10    0.982    -3.27     0.10    0.987    -6.00     0.09    0.982    -6.10     0.30
2011M       UGC03218                     0.526    -0.21     0.06    0.527    -0.69     0.07    0.538    -2.36     0.01    0.470    -2.78     0.06
2009ad      UGC03236                     0.274     0.59     0.08    0.274     0.57     0.12    0.184     0.19     0.08    0.134    -0.02     0.38
2002cy      NGC1762                      0.846     1.25     0.18    0.841     1.15     0.26    0.823     1.32     0.11    0.753     1.14     0.46
2006aw      ESO085-038                   0.510    -0.08     0.52    0.343    -0.10     0.72    0.257    -0.03     0.05    0.204    -0.05     0.16
1993af      NGC1808                      1.000    -8.12     4.72    1.000    -8.10     1.54    1.000    -9.37     0.60    1.000    -8.04     0.55
2003gw      UGC03252                     0.325     0.28     0.07    0.327     0.27     0.11    0.264     0.20     0.05    0.276     0.29     0.21
2014aj      UGC03252                     0.279     0.42     0.08    0.280     0.38     0.11    0.215     0.15     0.05    0.237     0.44     0.21
2005el      NGC1819                      0.935    -0.95     0.13    0.938    -2.46     0.10    0.962    -5.58     0.08    0.962    -4.94     0.13
2004gq      NGC1832                      0.564     0.06     0.07    0.542    -0.03     0.09    0.397    -0.33     0.03    0.409    -0.18     0.13
2009kr      NGC1832                      0.545     0.20     0.07    0.523    -0.11     0.09    0.376    -0.04     0.04    0.389    -0.12     0.14
2007Z       PGC016993                    0.562    -0.68     0.05    0.540    -1.05     0.06    0.408    -3.16     0.01    0.343    -3.87     0.06
1953L?      UGC03267                     0.355     1.58     0.08    0.353     1.43     0.12    0.108     0.22     0.09    0.061    -0.14     0.52
2006is      A051734-2346                 0.704   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00   -9.000   -99.00    -9.00
2012fi      PGC017166                    0.426     0.51     0.34    0.397     0.05     0.45    0.584    -0.36     1.04    0.313    -1.20     1.68
2013fp      IC0421                       0.643     0.49     0.20    0.653     0.37     0.30    0.655    -0.12     0.11    0.675    -0.37     0.43
2010ko      NGC1954                      0.949    -2.76     0.15    0.921    -4.08     0.15    0.907    -6.34     0.13    0.923    -6.05     0.29
2011fi      NGC1954                      0.919    -1.83     0.14    0.888    -3.21     0.12    0.857    -5.35     0.06    0.855    -5.51     0.19
2013ex      NGC1954                      0.743    -0.72     0.13    0.709    -2.00     0.11    0.558    -3.98     0.02    0.506    -4.17     0.08
1999ek      UGC03329                     0.371     0.34     0.07    0.369    -0.45     0.07    0.174    -3.96     0.03    0.195    -4.92     0.18
2009jz      ESO159-023                   0.994    -4.13     0.24    0.994    -5.64     0.42    0.986    -7.24     0.26    0.983    -6.86     0.63
1992ba      NGC2082                      0.561    -0.16     0.07    0.566    -0.71     0.08    0.541    -2.09     0.02    0.516    -2.32     0.07
1998eb      NGC1961                      0.541    -0.05     0.08    0.528    -0.77     0.09    0.508    -2.82     0.02    0.465    -3.23     0.07
2001is      NGC1961                      0.732    -1.01     0.08    0.721    -1.70     0.09    0.726    -3.45     0.02    0.725    -3.72     0.07
2013cc      NGC1961                      0.838    -1.55     0.10    0.826    -2.66     0.10    0.849    -5.18     0.05    0.872    -5.41     0.17
2003hx      NGC2076                      0.126     0.57     0.02    0.119     0.49     0.04    0.078     0.14     0.02    0.049    -0.01     0.09
2006ke      UGC03365                     0.900    -2.09     0.05    0.893    -2.50     0.07    0.807    -5.38     0.11    0.867    -6.90     1.35
1997B       IC0438                       0.677    -0.36     0.12    0.683    -1.47     0.11    0.680    -3.54     0.02    0.663    -3.75     0.08
2001gc      UGC03375                     0.284     0.18     0.05    0.271    -0.24     0.06    0.141    -2.66     0.02    0.128    -3.21     0.07
2009J       IC2160                       1.000    -3.08     1.45    1.000    -3.03     1.26    0.982    -2.62     0.20    0.969    -1.81     0.62
2009iw      IC2160                       0.701    -0.20     0.09    0.683    -0.17     0.13    0.468     0.03     0.07    0.347     0.04     0.30
2003ij      UGC03336                     0.689    -0.13     0.63    0.698     1.31     1.37    0.817     1.50     0.55    0.910    -0.29     1.08
2006nr      UGC03336                     0.746   -99.00    -9.00    0.762   -99.00    -9.00    0.931   -99.00    -9.00    1.000    -1.19     2.12
2004ep      IC2152                       0.429     0.37     0.05    0.411     0.02     0.07    0.286    -2.75     0.02    0.277    -3.62     0.13
1996by      UGC03379                     0.824    -0.50     0.12    0.827    -1.79     0.11    0.811    -4.19     0.03    0.737    -4.48     0.11
2012fd      ESO488-051                   0.355     0.07     0.05    0.319    -0.25     0.07    0.187    -4.00     0.07    1.000    -5.08     0.57
1995ad      NGC2139                      0.497    -0.25     0.08    0.504    -0.82     0.09    0.494    -2.35     0.02    0.445    -1.98     0.06
2010lt      UGC03378                     0.556     0.08     0.13    0.549     0.02     0.19    0.512    -0.54     0.27    0.512     0.50     2.73
1996bv      UGC03432                     0.002     0.15     0.08    0.001    -0.51     0.10    0.001    -3.31     0.14    0.001    -4.64     0.96
2003kb      UGC03432                     0.824    -1.95     0.09    0.795    -2.63     0.10    0.817    -5.22     0.09    0.740    -5.61     0.36
1975A       NGC2207                      0.947    -1.48     0.18    0.958    -3.24     0.13    0.902    -5.11     0.04    0.918    -4.81     0.10
1999ec      NGC2207                      0.888    -2.14     0.07    0.897    -2.73     0.08    0.834    -4.04     0.02    0.812    -4.03     0.05
2003H       NGC2207                      0.670    -1.36     0.06    0.663    -1.66     0.07    0.545    -2.62     0.01    0.485    -2.41     0.06
2013ai      NGC2207                      0.631    -0.67     0.08    0.620    -1.21     0.08    0.491    -2.39     0.02    0.427    -2.30     0.06
2005V       NGC2146                      0.110     0.69     0.01    0.122     0.71     0.01    0.077     0.35     0.02    0.078     0.33     0.02
2008M       ESO121-026                   0.822    -0.78     0.17    0.842    -0.86     0.25    0.824    -1.11     0.12    0.870    -1.62     0.44
2009mg      ESO121-026                   0.731    -0.31     0.13    0.747    -0.67     0.17    0.713    -0.22     0.10    0.738    -0.06     0.47
2012hr      ESO121-026                   0.968   -99.00    -9.00    0.980   -99.00    -9.00    0.969    -0.83     0.50    0.994   -99.00    -9.00
1993K       NGC2223                      0.712     0.31     0.14    0.680     0.33     0.22    0.484     0.16     0.09    0.455    -0.16     0.40
1986O       NGC2227                      0.456     0.54     0.12    0.460     0.56     0.18    0.419     0.49     0.08    0.410     0.48     0.37
2012ej      IC2166                       0.688    -0.21     0.11    0.688    -0.17     0.17    0.717    -0.15     0.07    0.662    -0.23     0.29
1999ao      A062726-3550                 0.271     0.63     0.10    0.237     0.57     0.17    0.129     0.29     0.13    0.147     0.22     0.88
2014cc      NGC2255                      0.678     0.36     0.16    0.683     0.36     0.23    0.755     0.42     0.08    0.619     0.49     0.35
2002kf      A063715+4951                 0.893     0.28     0.30    0.894     0.19     0.41    0.864     0.14     0.19    0.767     0.23     0.57
2008bq      ESO308-025                   0.849    -1.01     0.10    0.852    -1.09     0.15    0.817    -0.72     0.10    0.649    -0.58     0.53
2012hn      NGC2272                      0.874    -0.98     0.14    0.865    -2.39     0.12    0.902    -7.99     0.78    1.000    -8.29    28.81
1998fa      UGC03513                     0.535    -0.29     0.09    0.525    -0.29     0.13    0.455    -0.31     0.06    0.376    -0.40     0.26
2003bq      UGC03513                     1.000    -2.31     0.36    1.000    -3.45     3.89    1.000    -2.42     0.75    1.000    -1.76     1.53
2001fz      NGC2280                      0.785    -0.42     0.14    0.799    -1.75     0.11    0.766    -3.89     0.02    0.773    -4.12     0.10
1997E       NGC2258                      0.893    -0.12     0.16    0.898    -0.20     0.25    0.875    -0.36     0.35    0.931     0.18     4.32
2000ev      UGC03500                     0.440     0.52     0.15    0.480     0.70     0.25    0.471     1.02     0.13    0.379     1.45     0.51
2010iz      UGC03552                     0.186     0.45     0.09    0.173     0.33     0.13    0.144     0.02     0.06    0.100     0.24     0.41
2000H       IC0454                       0.701    -0.00     0.07    0.709    -0.02     0.11    0.658    -0.00     0.05    0.623    -0.34     0.19
1998ec      UGC03576                     0.822    -0.92     0.12    0.802    -2.30     0.10    0.712    -5.39     0.08    0.736    -5.86     0.33
2010ir      ESO491-012                   0.787     0.58     0.12    0.780     0.56     0.17    0.676     0.39     0.08    0.622     1.39     0.62
2001C       PGC019975                    0.893    -0.43     0.13    0.884    -2.16     0.10    0.865    -3.97     0.05    0.787    -3.93     0.13
2007bb      UGC03627                     0.959     0.53     0.40    0.962     0.12     0.47    0.933     0.18     0.20    0.920     0.11     0.68
2009ii      UGC03627                     0.951    -0.49     0.24    0.953    -0.69     0.31    0.925     0.11     0.18    0.909    -0.54     0.48
2005na      UGC03634                     0.267     0.54     0.05    0.249     0.45     0.07    0.144     0.03     0.08    0.128     0.10     0.49
2011ay      NGC2315                      0.303     0.76     0.04    0.292     0.70     0.07    0.300     0.57     0.05    0.245     0.92     0.34
2010ih      NGC2325                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -3.46     4.99    1.000    -3.03     1.69
2006li      UGC03664                     0.994     0.00     0.43    0.966     0.24     0.53    0.880     0.87     0.31    0.707     0.20     0.87
2010hq      UGC03691                     0.608    -0.65     0.10    0.609    -1.83     0.09    0.614    -4.38     0.03    0.540    -4.53     0.08
1998an      UGC03683                     0.703    -0.41     0.11    0.685    -1.84     0.10    0.681    -6.95     0.27    0.475    -7.29     1.01
2003ir      UGC03726                     0.534     0.15     0.07    0.539     0.01     0.10    0.563    -0.26     0.04    0.443    -0.24     0.19
2005lr      ESO492-002                   0.489     0.26     0.07    0.509     0.27     0.09    0.587     0.10     0.03    0.572     0.22     0.11
2009ag      ESO492-002                   0.958   -99.00    -9.00    0.964     0.31     0.58    0.989    -0.62     0.18    0.994     0.22     1.27
2007au      UGC03725                     0.941     0.93     0.33    0.940     1.13     0.56    0.926   -99.00    -9.00    0.775    -5.06    30.71
1982B       NGC2268                      0.495     0.42     0.06    0.503    -0.02     0.08    0.443    -1.44     0.01    0.458    -1.65     0.06
2000fa      UGC03770                     0.227     0.66     0.07    0.213    -0.25     0.07    0.115    -3.67     0.03    0.094    -4.57     0.18
2010ae      ESO162-017                   0.012     0.15     0.05    0.011     0.14     0.07    0.007     0.09     0.05    0.005     0.08     0.19
2001ee      NGC2347                      0.665     0.27     0.07    0.674    -0.41     0.08    0.626    -2.26     0.02    0.545    -2.67     0.06
2008fp      ESO428-014                   0.679     0.53     0.08    0.738     0.54     0.11    0.817     1.18     0.05    0.682     0.14     0.08
2008cm      NGC2369                      0.925    -0.83     0.15    0.942    -2.08     0.13    0.913    -4.30     0.03    0.909    -3.36     0.07
2010bj      NGC2357                      0.432     0.10     0.06    0.413    -0.52     0.07    0.354    -2.97     0.02    0.286    -3.75     0.07
2003ch      UGC03787                     0.614     1.17     0.12    0.599     1.01     0.17    0.573     0.99     0.15    0.310     0.51     0.66
2006bc      NGC2397                      0.538    -0.43     0.04    0.544    -0.42     0.06    0.535    -0.33     0.02    0.530    -0.24     0.10
2002A       UGC03804                     0.476    -0.04     0.07    0.467    -0.74     0.08    0.305    -2.94     0.02    0.263    -3.56     0.07
2011jk      UGC03843                     1.000    -2.35     0.26    1.000    -2.25     0.54    1.000    -2.24     1.20    1.000   -99.00    -9.00
1997do      UGC03845                     0.066     0.06     0.06    0.065    -0.53     0.07    0.056    -2.79     0.03    0.040    -3.52     0.14
1987L       NGC2336                      0.805    -0.56     0.14    0.793    -1.96     0.11    0.790    -4.56     0.02    0.806    -5.05     0.10
1962Q       NGC2276                      0.533     0.07     0.08    0.531    -0.64     0.09    0.547    -1.79     0.02    0.532    -1.84     0.06
1968V       NGC2276                      0.754     0.02     0.11    0.753    -0.97     0.10    0.762    -2.50     0.02    0.759    -2.39     0.06
1968W       NGC2276                      0.103     0.86     0.06    0.103     0.53     0.07    0.099    -0.47     0.01    0.092    -0.45     0.05
1993X       NGC2276                      0.939    -1.19     0.13    0.933    -2.34     0.11    0.923    -4.01     0.02    0.929    -3.87     0.07
2005dl      NGC2276                      0.244    -0.19     0.05    0.244    -0.53     0.07    0.250    -1.30     0.01    0.234    -1.30     0.05
1999ga      NGC2442                      0.486    -0.46     0.09    0.472    -1.14     0.10    0.373    -3.04     0.02    0.319    -3.20     0.07
2002kg?     NGC2403                      0.377    -0.04     0.09    0.365    -0.79     0.09    0.353    -3.05     0.02    0.281    -3.22     0.06
2004dj      NGC2403                      0.637    -0.77     0.09    0.626    -1.74     0.08    0.676    -3.36     0.01    0.619    -3.40     0.06
2003gh      NGC2466                      1.000     0.30     0.06    1.000    -0.40     0.15    1.000    -1.03     0.07    1.000    -1.41     0.17
1997di      UGC04015                     0.848    -0.31     0.24    0.827    -0.14     0.40    0.877     3.54     0.88    0.773   -99.00    -9.00
2014ak      NGC2446                      1.000    -1.13     0.33    1.000    -1.79     0.43    1.000    -1.66     0.33    1.000    -2.42     1.31
1995E       NGC2441                      0.371    -0.39     0.07    0.366    -1.02     0.08    0.297    -3.28     0.02    0.292    -3.70     0.06
2012dq      UGC04067                     0.236     0.34     0.15    0.227     0.49     0.25    0.212     0.29     0.19    0.301   -99.00    -9.00
2005ae      ESO209-009                   0.204    -0.69     0.03    0.226    -0.63     0.04    0.283    -0.35     0.02    0.218    -0.21     0.10
1975O       NGC2487                      0.673    -0.21     0.11    0.689    -0.31     0.17    0.593    -0.08     0.09    0.550    -0.48     0.39
2005en      UGC04132                     0.488     0.40     0.05    0.501     0.03     0.06    0.417    -1.60     0.01    0.317    -2.15     0.04
2005eo      UGC04132                     0.778    -0.17     0.06    0.800    -0.73     0.07    0.722    -2.38     0.01    0.591    -2.79     0.04
2006qo      UGC04133                     0.503    -0.61     0.06    0.477    -0.65     0.10    0.413    -0.48     0.10    0.393    -0.52     0.57
2010ja      NGC2513                      0.931    -1.63     0.14    0.914    -3.30     0.11    0.841    -8.80     1.14    0.581    -8.23     1.55
2003kx      UGC04078                     0.973    -4.43     0.16    0.983    -5.49     0.40    0.957    -7.18     0.38    1.000    -7.16     1.21
2000ce      UGC04195                     0.605     0.36     0.12    0.622     0.36     0.19    0.555     0.36     0.12    0.504     0.31     0.44
2006mq      ESO494-026                   0.598   -99.00    -9.00    0.715   -99.00    -9.00    0.920     0.56     0.18    0.917    -0.72     0.40
2013ak      ESO430-020                   0.825    -3.17     0.35    0.851    -3.35     0.32    0.922    -3.54     0.09    0.897    -3.59     0.30
2013gc      ESO430-020                   0.638     0.16     0.13    0.668     0.15     0.17    0.704     0.16     0.07    0.659     1.00     0.44
2003bm      UGC04226                     0.269     0.45     0.21    0.269     0.53     0.34    0.421     1.40     0.31    0.564    -0.71     0.70
1999gb      NGC2532                      0.502    -0.22     0.07    0.472    -0.81     0.07    0.404    -2.38     0.01    0.365    -2.50     0.04
2002hn      NGC2532                      0.105     0.61     0.04    0.095     0.27     0.05    0.056    -1.28     0.01    0.049    -1.44     0.04
1901A       NGC2535                      0.690    -1.64     0.09    0.622    -2.55     0.08    0.653    -4.69     0.03    0.708    -4.78     0.07
2008hn      NGC2545                      0.525     0.13     0.06    0.517     0.06     0.09    0.368    -0.16     0.05    0.284    -0.12     0.24
2002hc      NGC2559                      0.016    -0.13     0.05    0.014    -0.15     0.04    0.030    -0.12     0.02    0.037    -0.18     0.04
2014do      ESO431-002                   0.864     0.70     0.14    0.868     0.27     0.18    0.792    -1.20     0.06    0.853    -1.13     0.24
2013gq      NGC2554                      0.227     0.56     0.03    0.214     0.25     0.05    0.228    -2.61     0.01    0.293    -3.78     0.08
1997bn      UGC04329                     0.179     0.27     0.08    0.183     0.31     0.12    0.194     0.29     0.05    0.178     0.55     0.24
1960M       NGC2565                      0.875    -0.11     0.12    0.872    -0.16     0.18    0.800    -0.05     0.11    0.673     0.43     0.69
1992I       NGC2565                      0.795     2.16     0.28    0.789     1.74     0.36    0.657     0.97     0.15    0.533   -99.00    -9.00
2002he      UGC04322                     0.905     1.41     0.47    0.893     0.94     0.59    0.915   -99.00    -9.00    0.957    -0.79     1.71
2013fg      NGC2578                      0.949     0.75     0.35    0.950     0.64     0.53    0.903     0.69     0.38    0.925    -2.33     1.53
2007ax      NGC2577                      0.262     0.33     0.03    0.238     0.14     0.04    0.202     0.04     0.07    0.113    -0.22     0.42
2003hr      NGC2551                      1.000    -0.61     1.21    1.000     0.05     0.97    1.000    -2.43     0.96    0.997    -2.56     8.33
2005mc      UGC04414                     0.209     0.47     0.05    0.185     0.34     0.07    0.062     0.16     0.13    0.017    -0.71     1.39
2003bp      NGC2596                      0.736     0.21     0.09    0.703     0.23     0.13    0.539     0.26     0.05    0.424     0.14     0.25
1999aa      NGC2595                      0.488    -0.03     0.11    0.500    -0.05     0.17    0.425    -0.13     0.08    0.443     0.15     0.42
2008P       NGC2550A                     0.134     0.21     0.07    0.148     0.25     0.11    0.129     0.00     0.05    0.109     0.02     0.23
2007bd      UGC04455                     0.357     0.37     0.08    0.360     0.32     0.13    0.182    -0.15     0.13    0.252     0.13     0.61
1965P       NGC2599                      0.412     0.71     0.06    0.399     0.03     0.07    0.329    -2.89     0.02    0.339    -3.90     0.07
2006bb      UGC04468                     0.514    -0.30     0.10    0.451    -1.59     0.09    0.396    -6.69     0.31    0.254    -8.54     4.84
1920A       NGC2608                      0.440    -0.22     0.07    0.430    -0.94     0.08    0.444    -3.15     0.01    0.477    -3.42     0.05
2001bg      NGC2608                      0.697    -0.04     0.11    0.685    -1.34     0.09    0.746    -3.96     0.02    0.754    -4.27     0.07
2008bi      NGC2618                      0.058     0.54     0.04    0.053     0.49     0.06    0.022     0.11     0.12    0.466    -0.37     1.24
1999gd      NGC2623                      0.816    -0.77     0.13    0.878    -0.78     0.18    0.850    -0.81     0.05    0.688    -0.83     0.08
2012hi      UGC04512                     0.631     1.03     0.17    0.619     0.99     0.25    0.593     0.79     0.10    0.506     0.79     0.49
2002fj      NGC2642                      0.477    -0.26     0.08    0.449    -1.10     0.09    0.314    -3.62     0.02    0.279    -4.25     0.09
2008bh      NGC2642                      0.576    -0.39     0.09    0.548    -1.28     0.09    0.447    -3.66     0.02    0.396    -4.29     0.09
2010io      UGC04543                     0.097    -0.61     0.14    0.118    -2.03     0.13    0.068    -5.69     0.21    0.024    -6.09     0.90
2005ms      UGC04614                     1.000    -1.65     0.70    1.000    -2.47     0.80    1.000     0.06     0.47    1.000    -1.70     0.86
1938B       NGC2672                      0.607    -0.69     0.06    0.595    -0.74     0.09    0.856     0.19     0.29    0.191   -99.00    -9.00
1999X       CGCG180-022                  0.322     0.97     0.12    0.284     0.66     0.16    0.155     0.04     0.19    0.147    -0.05     1.29
2011B       NGC2655                      0.513     0.28     0.07    0.515    -0.31     0.08    0.498    -3.67     0.02    0.590    -4.26     0.10
1968E       NGC2713                      0.571    -1.08     0.04    0.571    -1.33     0.05    0.392    -3.65     0.02    0.351    -4.44     0.10
2014av      UGC04713                     0.359     0.67     0.06    0.353     0.63     0.09    0.245     0.34     0.04    0.206     0.24     0.22
2012hb      ESO090-015                   0.616    -0.36     0.05    0.572    -0.34     0.06    0.371    -0.16     0.03    0.274    -0.16     0.12
2011hn      IC2428                       0.800    -0.26     0.12    0.805    -1.83     0.09    0.720    -4.36     0.04    0.523    -4.83     0.14
1995F       NGC2726                      0.030     0.47     0.04    0.027     0.41     0.06    0.018     0.17     0.04    0.014     0.09     0.22
2013H       ESO036-019                   0.830     0.48     0.17    0.824     0.54     0.23    0.787     0.91     0.08    0.729     0.69     0.32
2003Z       NGC2742                      0.774    -0.40     0.09    0.788    -1.28     0.10    0.814    -3.51     0.02    0.816    -3.87     0.07
2008hv      NGC2765                      0.869    -1.64     0.11    0.890    -3.06     0.11    0.889    -7.68     0.48    0.462    -8.72     3.96
2012cq      UGC04792                     0.747    -1.03     0.07    0.736    -1.03     0.12    0.717    -0.87     0.11    0.600    -0.99     0.60
1987M       NGC2715                      0.110     0.19     0.06    0.104     0.18     0.10    0.064     0.02     0.05    0.059    -0.08     0.21
1999eh      NGC2770                      0.456     0.15     0.09    0.443    -0.92     0.08    0.440    -3.28     0.02    0.401    -3.77     0.07
2007uy      NGC2770                      0.440    -0.24     0.07    0.428    -1.06     0.07    0.422    -3.27     0.02    0.385    -3.77     0.06
2008D       NGC2770                      0.993    -4.35     0.17    0.989    -5.26     0.30    0.985    -7.80     0.43    0.986    -7.81     1.10
1993Z       NGC2775                      0.527    -0.27     0.05    0.523    -0.75     0.06    0.485    -3.41     0.01    0.505    -4.06     0.05
2000ds      NGC2768                      0.282     1.47     0.07    0.276     0.80     0.09    0.319    -3.90     0.03    1.000    -4.87     0.19
1985A       NGC2748                      0.497    -0.87     0.03    0.484    -0.94     0.04    0.445    -1.40     0.01    0.397    -1.48     0.05
2013ff      NGC2748                      0.927    -2.84     0.05    0.906    -3.07     0.06    0.895    -4.15     0.02    0.885    -3.77     0.07
1994ak      NGC2782                      0.734    -0.58     0.11    0.786    -1.99     0.09    0.794    -4.76     0.03    0.847    -4.66     0.09
2005am      NGC2811                      0.743     0.07     0.06    0.730     0.05     0.10    0.635     0.05     0.10    0.548     0.37     0.63
2011co      NGC2815                      0.851    -0.76     0.09    0.864    -1.62     0.10    0.910    -4.89     0.06    0.845    -5.34     0.23
2014ai      NGC2832                      0.660    -0.60     0.12    0.644    -2.03     0.09    0.865    -7.62     0.34    1.000    -8.72     2.32
2002bx      IC2461                       1.000    -3.45     0.89    1.000    -4.04     4.76    1.000    -3.41     0.17    1.000   -99.00    -9.00
1994L       NGC2848                      0.852    -1.61     0.12    0.853    -2.89     0.11    0.840    -5.09     0.05    0.872    -5.38     0.17
2013gg      UGC04958                     1.000   -99.00    -9.00    1.000    -0.53     3.01    1.000   -99.00    -9.00    1.000    -1.12     1.30
1912A       NGC2841                      0.529    -0.04     0.05    0.512    -0.79     0.06    0.377    -2.96     0.01    0.359    -3.61     0.06
1957A       NGC2841                      0.920    -0.91     0.11    0.914    -2.62     0.08    0.939    -5.65     0.04    0.932    -6.33     0.20
1972R       NGC2841                      0.750     0.44     0.10    0.739    -1.14     0.07    0.719    -3.68     0.02    0.704    -4.38     0.06
1999by      NGC2841                      0.932    -1.42     0.09    0.926    -2.90     0.07    0.952    -5.91     0.05    0.943    -6.65     0.25
2014cq      ESO091-011                   0.494     1.24     0.15    0.512     1.30     0.23    0.441     0.95     0.09    0.383     0.84     0.39
2003da      UGC04992                     0.220     0.61     0.08    0.208     0.57     0.12    0.162     0.48     0.08    0.115     0.57     0.47
2012fg      NGC2857                      0.039     0.40     0.08    0.037    -0.56     0.09    0.014    -3.93     0.05    0.014    -4.46     0.20
2013cg      NGC2891                      0.212     0.83     0.02    0.194     0.78     0.03    0.121     0.60     0.06    0.043     0.47     0.45
2007rb      NGC2889                      0.588    -0.25     0.06    0.596    -0.71     0.08    0.546    -2.44     0.01    0.529    -2.80     0.05
2007as      ESO018-018                   0.664     0.90     0.12    0.667     0.84     0.17    0.599     0.76     0.07    0.464     0.43     0.28
2005ip      NGC2906                      0.568    -0.93     0.04    0.563    -1.85     0.04    0.526    -2.77     0.01    0.471    -3.44     0.05
1998ar      NGC2916                      0.800    -0.29     0.10    0.788    -1.54     0.09    0.726    -4.19     0.02    0.634    -4.77     0.08
1975F       NGC2935                      0.218     0.43     0.03    0.224     0.55     0.05    0.167     0.76     0.03    0.181     1.00     0.12
1996Z       NGC2935                      0.016     7.98     0.16    0.017     8.15     0.26    0.012     7.39     0.10    0.008     6.98     0.53
2001fe      UGC05129                     0.849    -1.68     0.08    0.886    -2.57     0.09    0.732    -4.82     0.05    0.554    -5.50     0.22
2009ao      NGC2939                      0.650    -0.19     0.06    0.631    -0.82     0.07    0.614    -2.83     0.01    0.515    -3.41     0.05
2011cf      NGC2939                      0.373     0.29     0.05    0.354    -0.11     0.06    0.302    -1.98     0.01    0.234    -2.71     0.04
1995D       NGC2962                      0.955    -1.76     0.14    0.951    -3.68     0.12    0.984    -8.84     0.93    1.000   -10.03     8.25
2009jv      UGC05157                     0.467     0.04     0.05    0.482     0.02     0.08    0.414     0.02     0.04    0.319     0.13     0.17
2010fz      NGC2967                      0.587    -0.32     0.07    0.598    -1.01     0.08    0.554    -2.71     0.01    0.508    -3.05     0.05
2011in      NGC2966                      0.081    -0.72     0.02    0.087    -0.74     0.03    0.109    -1.04     0.01    0.090    -0.78     0.03
1970L       NGC2968                      1.000    -4.66     0.13    1.000    -6.35     0.38    1.000    -9.65     1.54    1.000    -9.99     5.68
2006ba      NGC2980                      0.858    -0.45     0.09    0.848    -1.35     0.09    0.857    -3.36     0.02    0.763    -3.51     0.06
2009lm      NGC2980                      0.770     0.17     0.09    0.761    -0.74     0.09    0.765    -2.71     0.02    0.657    -2.98     0.06
1999gh      NGC2986                      0.609     0.07     0.10    0.593    -1.04     0.10    1.000    -7.19     0.58    0.163    -7.54     2.32
2008gf      UGC05201                     1.000    -1.50     0.46    1.000    -1.90     0.82    1.000    -1.60     1.98    1.000    -4.49    35.32
2013ah      UGC05201                     0.858    -1.37     0.19    0.865    -0.98     0.33    0.827    -1.31     0.21    0.682    -0.80     0.74
2003jg      NGC2997                      0.067    -0.32     0.03    0.070    -0.39     0.04    0.056    -1.03     0.01    0.061    -1.12     0.04
2008eh      NGC2997                      0.608    -0.70     0.07    0.628    -1.28     0.08    0.599    -2.57     0.01    0.625    -2.81     0.06
2010hg      NGC3001                      0.943     0.12     0.32    0.940     0.06     0.45    0.918    -0.04     0.19    0.923    -0.28     0.84
2003W       UGC05234                     0.073     0.10     0.05    0.073    -0.39     0.06    0.030    -3.46     0.04    0.021    -4.62     0.25
2004gg      UGC05234                     0.434    -0.20     0.07    0.460    -0.97     0.07    0.351    -3.51     0.02    0.299    -4.39     0.08
2008H       ESO499-005                   0.040    -0.14     0.04    0.039    -0.39     0.06    0.028    -2.01     0.02    0.022    -2.51     0.09
2009mw      ESO499-005                   0.972    -2.06     0.14    0.955    -3.40     0.13    0.941    -5.78     0.09    0.916    -5.79     0.26
