# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2013dq      UGC00525                     0.502    -0.89     0.14    0.530    -2.55     0.12    0.583    -5.40     0.10    0.575    -5.43     0.26
2011fk      UGC00549                     0.047    -0.05     0.25    0.046    -0.07     0.25    0.037    -0.07     0.19    0.031     0.25     1.09
2005eb      UGC00556                     0.497     0.56     0.03    0.486     0.40     0.04    0.369    -0.54     0.01    0.241    -0.98     0.04
2010da?     NGC0300                      0.244    -1.11     0.07    0.249    -1.75     0.08    0.212    -4.30     0.02    0.181    -4.77     0.07
1986K       NGC0298                      0.934     0.11     0.45    0.926    -0.80     0.45    0.928   -99.00    -9.00    0.981   -99.00    -9.00
1999ge      NGC0309                      0.313    -0.30     0.07    0.319    -1.24     0.07    0.189    -3.46     0.02    0.173    -3.85     0.06
2008cx      NGC0309                      0.920    -2.08     0.12    0.968    -3.80     0.11    0.912    -6.26     0.07    0.868    -6.26     0.19
2012dt      NGC0309                      0.929    -1.93     0.14    0.976    -3.94     0.12    0.921    -6.43     0.09    0.879    -6.42     0.22
2011dq      NGC0337                      0.866    -1.30     0.09    0.830    -1.15     0.14    0.867    -0.86     0.07    0.844    -0.70     0.22
2014cx      NGC0337                      0.828    -1.09     0.09    0.790    -0.98     0.13    0.830    -0.82     0.06    0.806    -0.52     0.22
2009mf      IC0065                       0.536     0.08     0.08    0.534    -0.43     0.09    0.494    -1.88     0.02    0.402    -2.35     0.06
2006O       UGC00633                     0.700    -0.12     0.09    0.664    -0.98     0.09    0.531    -3.55     0.02    0.369    -4.15     0.10
2010gf      UGC00633                     0.660     0.36     0.10    0.623    -0.68     0.09    0.483    -3.42     0.02    0.332    -4.06     0.10
1998dn      NGC0337A                     0.828    -3.16     0.15    0.605    -6.31     0.32    0.723    -8.83     0.77    1.000    -8.76     1.47
2000dr      IC1610                       0.666    -0.09     0.10    0.677    -1.48     0.09    0.695    -6.54     0.21    1.000    -7.20     1.00
1998ef      UGC00646                     0.169     0.91     0.05    0.150     0.46     0.06    0.090    -3.74     0.05    0.098    -4.74     0.32
2009lo      UGC00717                     0.343     0.67     0.08    0.320     0.52     0.11    0.130    -0.63     0.07    0.127    -0.45     0.39
2014co      NGC0418                      0.468    -0.11     0.09    0.482    -1.10     0.09    0.407    -3.25     0.02    0.418    -3.45     0.07
1995Y       NGC0410                      0.503     0.54     0.08    0.489    -0.34     0.09    0.445    -5.38     0.06    0.347    -5.99     0.28
2000di      IC1637                       0.459    -0.13     0.08    0.495    -0.96     0.09    0.347    -3.20     0.02    0.357    -3.74     0.08
2013ct      NGC0428                      0.136    -0.06     0.07    0.130    -0.95     0.08    0.061    -4.61     0.04    0.035    -5.16     0.17
2006di      NGC0439                      0.287     0.18     0.06    0.289    -0.38     0.07    0.194    -4.89     0.07    0.076    -6.85     1.31
2012hd      IC1657                       0.421     0.24     0.04    0.426    -0.01     0.05    0.382    -1.47     0.01    0.272    -1.70     0.05
2008ep      UGC00826                     0.772    -0.03     0.23    0.756    -0.04     0.29    0.701     0.37     0.11    0.590     0.52     0.39
2011gj      UGC00849                     1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000     2.12     1.44    1.000    -0.15     2.00
