# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
1991ar      IC0049                       0.422     0.08     2.52    0.489    -0.29     2.02    0.426     0.60     3.70
2001dz      UGC00471                     0.218     0.78     3.88    0.113     0.63     3.17    0.143     0.11     2.61
2008gr      IC1579                       0.850     0.24     3.55    0.875     2.77    10.99    0.848     0.18     3.79
1940E       NGC0253                      0.555    -2.89     0.34    0.590    -3.44     0.30    0.620    -3.96     0.32
1995am      PGC002803                    0.778     0.28     2.41    0.829     0.49     2.50    0.850     1.48     4.73
1998de      NGC0252                      0.999   -99.00    -9.00    0.999    -0.50     8.69    0.999    -2.96     3.85
2005gl      NGC0266                      0.495    -0.09     1.51    0.506    -0.14     1.31    0.525     0.07     1.59
1985O       UGC00511                     0.742    -0.97     3.67    0.896    -3.04     2.35    0.811    -1.70     4.16
2005eb      UGC00556                     0.577    -0.73     0.81    0.626    -1.20     0.69    0.675    -1.68     0.71
2010da?     NGC0300                      0.322    -1.04     1.74    0.334    -1.76     1.54    0.373    -2.77     1.51
1986K       NGC0298                      0.962    -1.59     3.36    0.880    -1.26     3.97    0.856     2.55    24.58
2006gt      A005618-0137                 0.903    -1.24     5.14    0.890     0.27     5.36    0.996    -0.59    23.81
2006nz      A005629-0113                 0.004     2.80     0.76    0.003     2.58     0.67    0.004     3.19     0.73
2008ee      NGC0307                      0.330     0.68     0.56    0.347     0.69     0.50    0.339     0.69     0.56
1999ge      NGC0309                      0.310    -0.20     1.34    0.338    -0.22     1.19    0.325     0.10     1.53
2008cx      NGC0309                      0.871    -1.23     2.58    0.889    -0.92     3.17    0.870    -0.70     4.83
2012dt      NGC0309                      0.887    -0.62     3.41    0.897   -99.00    -9.00    0.873    -1.18     6.85
1999gl      NGC0317B                     0.000     3.29     0.72    0.000     3.84     0.63    0.000     4.27     0.65
2014dj      NGC0317B                     0.143    -0.11     0.62    0.158    -0.14     0.52    0.225    -0.14     0.51
1999ef      UGC00607                     0.734     1.21     5.96    0.426     1.92     5.96    0.746     0.86     4.34
2011dq      NGC0337                      0.850    -1.64     1.45    0.851    -1.69     1.36    0.845    -1.54     1.49
2014cx      NGC0337                      0.816    -1.33     1.45    0.817    -1.42     1.27    0.805    -1.27     1.39
2009mf      IC0065                       0.430     0.39     1.38    0.406     0.39     1.21    0.461     0.28     1.28
2006O       UGC00633                     0.740    -1.48     1.61    0.748    -1.82     1.49    0.808    -2.15     1.65
2010gf      UGC00633                     0.717    -0.97     1.89    0.724    -1.23     1.81    0.780    -1.92     1.73
1998dn      NGC0337A                     0.947    -5.80     1.20    0.978    -4.81     1.43    0.923    -4.52     1.76
2000dr      IC1610                       0.320     0.28     2.12    0.400     0.04     1.78    0.646     0.33     2.26
2003iz      UGC00638                     0.971     0.20    10.99    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1998ef      UGC00646                     0.258    -0.13     0.67    0.272    -0.50     0.64    0.254    -0.88     0.72
1970N       NGC0365                      0.826     0.63     3.10    0.895     3.77    14.18    0.821   -99.00    -9.00
2000dk      NGC0382                      0.429     0.35     1.20    0.435     0.46     1.13    0.449     0.36     1.19
2014co      NGC0418                      0.448     0.06     1.84    0.365     0.17     1.72    0.520     0.15     1.99
1991at      UGC00733                     0.995   -99.00    -9.00    0.964   -99.00    -9.00    0.949    -2.23     3.96
1995Y       NGC0410                      0.549     0.68     1.54    0.553     0.84     1.49    0.556     0.98     1.75
2000di      IC1637                       0.300    -0.04     1.46    0.119     0.22     1.52    0.121    -0.24     1.28
1967J       PGC004234                    0.308     0.91     2.11    0.366     0.68     1.69    0.367     0.75     1.83
2013ct      NGC0428                      0.154     0.15     1.23    0.152     0.18     1.20    0.135     0.04     1.29
2006eb      UGC00771                     0.744    -0.84     1.16    0.776    -0.78     1.06    0.755    -0.83     1.12
2006di      NGC0439                      0.435     0.13     1.05    0.565     0.27     1.05    0.479     0.16     1.09
2012hd      IC1657                       0.394     0.32     0.70    0.412     0.41     0.65    0.444     0.45     0.71
2005ir      A011643+0047                 0.540     0.98     2.28    0.270     0.23     1.68    0.781     1.82     2.21
2008ep      UGC00826                     0.690     0.28     3.28    0.634    -0.12     2.65    0.615     0.65     4.21
2007go      ESO475-016                   0.904    -1.27     2.23    0.901    -1.86     2.06    0.959    -1.98     2.40
2008gl      UGC00881                     0.666    -0.11     2.82    0.912    -0.27     2.83    0.629    -0.21     2.59
2002jy      NGC0477                      1.000   -99.00    -9.00    1.000    -4.91     3.54    1.000    -3.17     4.95
1976G       NGC0488                      0.310     1.68     5.49    0.533    -0.34     2.24    0.418    -0.41     2.11
2010eb      NGC0488                      0.367   -99.00    -9.00    0.574    -1.70     6.62    0.473   -99.00    -9.00
1992bo      ESO352-057                   0.967    -1.56     8.38    0.996    -3.21     3.95    0.988    -3.14     6.58
1971S       NGC0493                      0.721    -1.34     1.49    0.576    -1.35     1.22    0.676    -0.75     1.86
1999ej      NGC0495                      0.830    -0.09     2.62    0.851    -0.03     2.32    0.871     0.19     3.07
2003lc      UGC00934                     0.884    -0.63     4.10    0.906    -1.59     2.63    0.927    -1.26     3.26
2005ly      UGC00934                     0.596     0.04     2.01    0.647     0.21     1.99    0.710     0.40     2.48
1995Z       UGC00937                     0.511     0.31     1.95    0.587     0.09     1.68    0.510     0.34     1.90
1963S       PGC005092                    0.582     1.76     2.34    0.539     1.32     1.71    0.547     2.35     2.96
1966G       NGC0521                      0.686    -0.29     2.80    0.443     0.04     2.94    0.275    -0.72     1.96
2006G       NGC0521                      0.604     0.37     2.71    0.393    -0.04     2.16    0.240    -0.28     1.91
2000cx      NGC0524                      0.618    -0.62     2.52    0.576    -1.39     1.61    0.581    -0.79     2.58
2008Q       NGC0524                      0.671    -0.48     3.47    0.626    -0.32     3.20    0.625     1.29     8.69
2001en      NGC0523                      0.072     1.28     1.08    0.083     1.45     1.00    0.095     1.50     1.07
2008gg      NGC0539                      0.803   -99.00    -9.00    0.968   -99.00    -9.00    0.831     0.19     6.57
2008hh      IC0112                       0.567     0.19     1.50    0.601     0.14     1.37    0.605     0.27     1.61
1963N       NGC0536                      0.991    -4.67     1.38    1.000    -7.59     3.37    0.988    -5.93     1.41
1961Q       NGC0550                      0.787    -3.49     1.02    0.675    -2.92     0.84    0.855    -3.57     1.07
2005hj      A012648-0114                 0.302     0.30     2.00    0.217     0.33     1.95    0.226     0.31     1.62
2005hf      A012705+1907                 0.282     0.68     0.66    0.268     0.66     0.58    0.282     0.70     0.61
2007il      IC1704                       0.690    -0.13     1.68    0.686    -0.01     1.68    0.624    -0.14     1.67
1984M       IC0121                       0.913    -0.86     1.75    0.956    -0.91     1.72    0.901    -1.02     1.84
2005Q       ESO244-031                   0.773     0.11     3.02    0.804    -0.79     1.97    0.768    -0.60     2.34
