# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
1975A       NGC2207                      0.912     0.08     4.49    0.838   -99.00    -9.00    0.946    -1.28     2.98
1999ec      NGC2207                      0.815    -0.61     1.59    0.749    -0.38     1.60    0.865    -0.44     1.73
2003H       NGC2207                      0.505    -0.88     1.18    0.462    -0.89     1.09    0.528    -1.01     1.14
2013ai      NGC2207                      0.474    -0.22     1.57    0.435    -0.11     1.53    0.498     0.01     1.82
2005V       NGC2146                      0.046     0.28     0.24    0.072     0.54     0.20    0.083     0.74     0.20
2008M       ESO121-026                   0.874    -1.06     2.75    0.847    -1.85     1.84    0.960   -99.00    -9.00
2009mg      ESO121-026                   0.791    -0.48     2.20    0.770    -0.33     2.22    0.887     0.39     3.31
2012hr      ESO121-026                   0.989   -99.00    -9.00    0.960    -1.77     4.67    0.995   -99.00    -9.00
1993K       NGC2223                      0.666     0.06     2.09    0.723     0.42     2.29    0.750    -0.28     1.94
1986O       NGC2227                      0.445     0.28     1.67    0.480     0.71     1.86    0.457     0.46     1.88
2012ej      IC2166                       0.777    -0.16     2.15    0.891    -0.32     2.06    0.856    -0.85     1.70
1999ao      A062726-3550                 0.261     0.72     1.30    0.267     0.63     1.12    0.189     0.99     1.28
1993ai      UGC03483                     0.000     5.80     2.27    0.000     5.86     1.98    0.000     6.35     2.53
2002kf      A063715+4951                 0.843    -0.66     3.79    0.861     0.34     4.49    0.899    -0.50     3.67
2008bq      ESO308-025                   0.871    -1.23     1.89    0.914    -1.56     1.55    0.912    -1.30     1.62
2012hn      NGC2272                      0.810    -0.52     2.90    0.863    -0.60     2.80    0.845     2.71    14.18
1998fa      UGC03513                     0.204    -0.41     1.63    0.214    -0.43     1.35    0.255    -0.18     1.83
2003bq      UGC03513                     0.447    -3.52     3.46    0.384    -2.72     2.82    0.498    -3.06     4.77
2001fz      NGC2280                      0.755     0.33     3.34    0.819    -0.16     3.07    0.779     3.00    12.28
1997E       NGC2258                      0.883    -0.39     2.47    0.866    -0.34     2.00    0.901    -0.50     2.46
2000ev      UGC03500                     0.584     0.57     2.64    0.717     1.55     4.16    0.488    -0.17     1.99
2005dj      UGC03545                     0.578     1.36    10.99    0.566    -1.09     4.76    0.512   -99.00    -9.00
1999ed      UGC03555                     0.560     0.54     1.90    0.623     0.19     1.48    0.601     0.35     1.73
2004ge      UGC03555                     0.139     0.41     0.88    0.153     0.43     0.81    0.153     0.35     0.83
2000H       IC0454                       0.689     0.02     1.41    0.686    -0.27     1.09    0.731    -0.14     1.25
1998ec      UGC03576                     0.865    -1.59     2.47    0.877    -1.33     3.15    0.895    -2.80     2.33
2001ex      UGC03595                     0.001     5.86     1.06    0.001     6.06     0.95    0.001     6.31     1.07
2010ir      ESO491-012                   0.831    -0.00     1.81    0.818     0.06     1.69    0.819     0.07     1.82
2001C       PGC019975                    0.873    -0.26     3.84    0.935    -0.80     3.89    0.918    -1.29     4.73
2007bb      UGC03627                     0.925    -0.54     3.62    0.934   -99.00    -9.00    0.935    -0.13     4.49
2009ii      UGC03627                     0.913    -0.77     3.12    0.926    -1.77     2.35    0.924    -0.77     3.32
2005na      UGC03634                     0.386     0.23     0.75    0.394     0.22     0.67    0.412     0.20     0.71
2011ay      NGC2315                      0.342     0.65     0.74    0.353     0.69     0.64    0.386     0.76     0.70
2010ih      NGC2325                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -1.03     4.92
1998en      UGC03645                     1.000    -6.31     2.77    1.000    -4.98     1.12    1.000    -5.17     1.26
2006li      UGC03664                     0.912   -99.00    -9.00    0.889    -1.79     2.94    0.830     0.66     7.41
2000B       NGC2320                      0.527     0.31     1.29    0.687     0.33     1.18    0.614     0.31     1.27
2010hq      UGC03691                     0.512    -0.29     2.00    0.443    -0.37     1.65    0.537     0.10     2.59
1998an      UGC03683                     0.635     0.29     2.70    0.703     0.14     2.33    0.740     0.23     2.65
2004gd      NGC2341                      0.155     0.45     0.49    0.167     0.50     0.43    0.181     0.50     0.44
2005ai      NGC2314                      1.000   -99.00    -9.00    1.000    -3.52     3.66    1.000   -99.00    -9.00
2003ir      UGC03726                     0.700    -0.13     1.32    0.742     0.06     1.31    0.761    -0.13     1.28
2005lr      ESO492-002                   0.606     0.18     1.38    0.605    -0.00     1.12    0.656     0.06     1.23
2009ag      ESO492-002                   0.999    -0.97     6.84    0.993   -99.00    -9.00    0.989   -99.00    -9.00
2007au      UGC03725                     0.935     0.07     3.51    0.950    -0.52     3.23    0.928   -99.00    -9.00
2008ap      UGC03754                     0.310     0.34     3.45    0.274     0.49     3.35    0.181     0.57     3.15
1982B       NGC2268                      0.484     0.35     1.13    0.508     0.40     1.05    0.536     0.39     1.13
2003ix      UGC03746                     0.521     1.16     2.24    0.642     1.89     3.07    0.504     0.89     1.98
2000fa      UGC03770                     0.238    -0.45     1.37    0.257    -0.98     1.21    0.280    -1.38     1.34
2010ae      ESO162-017                   0.003     0.19     0.67    0.004     0.21     0.62    0.004     0.09     0.70
2001ee      NGC2347                      0.035     0.33     1.48    0.048     0.12     1.21    0.058     0.18     1.36
2008fp      ESO428-014                   0.536     0.33     1.22    0.553     0.34     1.10    0.587     0.39     1.24
2008cm      NGC2369                      0.939     1.01     6.14    0.985    -0.91     3.24    0.976    -1.03     3.56
2010bj      NGC2357                      0.461     0.42     1.39    0.520     0.74     1.38    0.474     0.76     1.44
2003ch      UGC03787                     0.710     0.95     2.48    0.721     1.02     2.32    0.730     0.56     2.07
2006bc      NGC2397                      0.566    -0.55     0.69    0.633    -0.61     0.62    0.601    -0.61     0.66
2002A       UGC03804                     0.488     0.01     1.25    0.502    -0.02     1.13    0.479     0.01     1.27
1998C       UGC03825                     0.469    -0.07     1.99    0.415    -0.11     1.76    0.475    -0.00     1.88
2004es      UGC03825                     0.849     0.01     4.04    0.784     1.29     5.96    0.870     0.19     4.22
1997do      UGC03845                     0.059    -0.62     1.02    0.046    -1.12     0.94    0.057    -1.59     1.03
2005D       UGC03856                     1.000    -1.93     8.47    1.000    -2.25     6.03    0.986     0.37    12.30
1987L       NGC2336                      0.853    -0.39     2.76    0.833     0.19     3.31    0.902    -0.04     3.55
1962Q       NGC2276                      0.529     0.29     1.86    0.610     0.44     1.90    0.571     0.30     1.85
1968V       NGC2276                      0.743     0.84     3.12    0.831     0.14     2.33    0.789     0.77     3.07
1968W       NGC2276                      0.110     0.55     1.12    0.137     0.67     1.08    0.130     0.69     1.16
1993X       NGC2276                      0.934    -0.00     4.21    0.980    -0.86     3.51    0.959    -0.91     3.05
2005dl      NGC2276                      0.245    -0.05     1.08    0.295    -0.04     1.02    0.276    -0.19     1.01
1992ak      UGC03862                     0.001     5.53     2.86    0.001     6.48     3.79    0.001     5.95     2.90
2006ai      ESO005-009                   0.038     0.03     1.76    0.032     0.08     1.60    0.017     0.47     3.25
2001eg      UGC03885                     0.655     0.91     3.12    0.640     1.11     3.12    0.690     2.35     6.57
2000du      UGC03920                     0.424     0.38     1.68    0.442     0.33     1.54    0.496     0.90     2.18
2006ow      UGC03908                     0.998    -3.76     1.75    1.000    -4.10     1.99    1.000    -3.29     1.17
1999ga      NGC2442                      0.540    -0.71     1.34    0.492    -0.61     1.23    0.515    -0.61     1.35
2002kg?     NGC2403                      0.579    -3.73     0.42    0.559    -5.53     0.22    0.716    -6.67     0.21
2004dj      NGC2403                      0.888    -5.05     0.42    0.854    -6.70     0.22    0.986    -8.57     0.23
1998Y       NGC2415                      0.088    -0.32     0.49    0.109    -0.24     0.47    0.151    -0.25     0.50
2000C       NGC2415                      0.107    -0.65     0.51    0.132    -0.58     0.49    0.182    -0.58     0.53
2008gh      UGC03957                     0.303     0.29     1.40    0.260     0.56     1.41    0.516     0.45     1.54
2001eo      UGC03963                     1.000    -3.52     2.56    1.000    -7.02    62.35    1.000    -4.12     3.80
2008hq      UGC03963                     0.835    -1.68     1.52    0.876    -1.80     1.33    0.871    -2.22     1.42
1992bg      A074156-6231                 0.353     1.79     2.08    0.346     1.38     1.50    0.372     1.54     1.68
2003gh      NGC2466                      0.217     0.84     0.92    0.257     0.77     0.81    0.298     0.96     0.98
2006qn      UGC04022                     0.293    -0.31     1.33    0.332    -0.59     1.06    0.326    -0.23     1.34
1997di      UGC04015                     0.779    -0.84     2.78    0.792    -1.69     2.65    0.861     3.52    24.57
2014ak      NGC2446                      0.963     1.81    24.57    0.949    -0.73     5.65    0.931    -0.53     4.65
2002bv      UGC04042                     0.689     0.38     2.16    0.714     0.92     2.53    0.688     0.44     2.14
1995E       NGC2441                      0.406    -0.51     1.24    0.402    -0.43     1.18    0.416    -0.38     1.34
2008bs      UGC04085                     0.567    -0.50     1.10    0.598    -0.53     1.01    0.586    -0.52     1.12
1997ef      UGC04107                     0.140     0.00     1.87    0.288     0.02     1.74    0.207     0.13     1.97
2005ae      ESO209-009                   0.351    -0.99     0.58    0.375    -0.98     0.47    0.377    -0.98     0.47
1975O       NGC2487                      0.476    -0.24     1.91    0.447    -0.53     1.54    0.600    -0.64     1.64
2005en      UGC04132                     0.487     0.55     1.12    0.551     0.56     0.97    0.506     0.60     1.04
2005eo      UGC04132                     0.768    -0.15     1.27    0.834    -0.18     1.16    0.770    -0.05     1.26
2006qo      UGC04133                     0.574    -0.84     1.01    0.543    -0.81     0.88    0.600    -0.94     0.89
2006jd      UGC04179                     0.885    -0.47     4.35    0.889    -1.40     3.09    0.965    -2.11     2.66
2010ja      NGC2513                      1.000    -0.44     4.21    1.000    -0.86     3.80    1.000    -1.30     4.57
2003kx      UGC04078                     0.985    -4.59     1.72    0.988    -5.27     3.08    0.958    -4.40     1.73
2000ce      UGC04195                     0.624     0.27     2.10    0.642     0.10     1.71    0.630     0.10     1.89
2006mq      ESO494-026                   1.000   -99.00    -9.00    0.970     0.14     4.36    0.989    -2.61     2.07
2000fn      NGC2526                      0.769    -0.65     1.48    0.637    -0.62     1.36    0.713    -0.32     1.93
2013ak      ESO430-020                   0.874    -2.76     1.09    0.790    -2.80     0.99    0.887    -2.85     0.99
2013gc      ESO430-020                   0.660     0.15     2.10    0.597     0.03     1.73    0.689     0.23     2.00
2003bm      UGC04226                     0.504   -99.00    -9.00    0.587   -99.00    -9.00    0.609     0.43     3.55
1988ah      UGC04244                     0.156     0.11     2.03    0.195    -0.31     1.58    0.193     0.09     1.92
1999gb      NGC2532                      0.560    -0.17     1.37    0.608    -0.09     1.32    0.560    -0.23     1.32
2002hn      NGC2532                      0.105     0.78     0.75    0.121     0.87     0.70    0.116     0.87     0.72
1901A       NGC2535                      0.412    -0.98     1.99    0.306    -0.97     1.65    0.346    -0.90     2.06
2006te      A081144+4133                 0.295     0.82     1.50    0.290     1.06     1.46    0.330     1.01     1.54
2008hn      NGC2545                      0.562    -0.06     0.98    0.597    -0.16     0.84    0.583    -0.06     0.97
2002hc      NGC2559                      0.025    -0.10     0.42    0.030    -0.09     0.36    0.036    -0.10     0.37
2007ay      UGC04310                     0.874    -0.33     3.29    0.661    -0.34     3.52    0.641    -0.83     2.83
1988af      MCG+08-15-057                0.213     0.22     3.07    0.385     0.44     2.92    0.224    -0.08     3.00
2014do      ESO431-002                   0.653    -0.87     2.29    0.705    -0.62     2.41    0.606    -1.09     1.81
2013gq      NGC2554                      0.273     0.62     0.61    0.290     0.58     0.54    0.290     0.59     0.60
1997bn      UGC04329                     0.198     0.09     1.25    0.207     0.07     1.10    0.221     0.12     1.31
1960M       NGC2565                      0.904    -0.11     2.04    0.908    -0.27     1.79    0.903    -0.13     2.08
1992I       NGC2565                      0.839     4.88    17.37    0.848   -99.00    -9.00    0.840   -99.00    -9.00
2002he      UGC04322                     0.510   -99.00    -9.00    0.227     0.56     3.02    0.342     1.64     7.41
2013fg      NGC2578                      0.894     0.21     4.49    0.933   -99.00    -9.00    0.978   -99.00    -9.00
2007ax      NGC2577                      0.377     0.33     0.53    0.399     0.32     0.47    0.383     0.30     0.52
2002an      NGC2575                      0.868     3.79    24.57    1.000   -99.00    -9.00    0.766   -99.00    -9.00
2003hr      NGC2551                      0.995    -3.98    10.00    1.000   -99.00    -9.00    1.000    -4.72     9.21
1961B       IC2363                       0.834     1.10     3.99    0.815     0.57     2.82    0.813     0.88     3.75
2005mc      UGC04414                     0.375     1.08     0.96    0.363     0.97     0.82    0.392     0.92     0.87
2003bp      NGC2596                      0.670     0.04     1.49    0.661     0.17     1.44    0.685     0.04     1.46
1999aa      NGC2595                      0.553    -0.23     1.72    0.652    -0.16     1.69    0.641     0.50     2.52
2008P       NGC2550A                     0.166    -0.02     1.20    0.155     0.12     1.15    0.177     0.06     1.26
2004ak      UGC04436                     1.000    -2.98     3.82    1.000    -3.90     4.33    1.000    -3.54     5.46
2007bd      UGC04455                     0.428     0.19     1.39    0.402     0.40     1.42    0.379    -0.07     1.23
1965P       NGC2599                      0.406     0.69     1.31    0.377     0.52     1.09    0.404     0.76     1.35
1954ad?     UGC04467                     0.402     1.90     1.88    0.490     2.23     1.99    0.420     1.60     1.53
2006bb      UGC04468                     0.474    -0.00     2.13    0.523     0.16     2.14    0.598     0.33     2.67
1920A       NGC2608                      0.447     0.03     1.36    0.390     0.03     1.23    0.459    -0.07     1.31
2001bg      NGC2608                      0.706     0.56     2.53    0.615     0.86     2.62    0.726     0.83     2.84
2008bi      NGC2618                      0.054     0.68     0.53    0.055     0.67     0.48    0.055     0.72     0.54
1999gd      NGC2623                      0.783    -1.18     2.16    0.779    -0.75     2.30    0.811    -1.25     2.25
2002fj      NGC2642                      0.477     0.05     1.43    0.489     0.17     1.47    0.512     0.29     1.68
2008bh      NGC2642                      0.554     0.05     1.79    0.569    -0.18     1.47    0.594    -0.05     1.78
2007aq      IC2409                       0.947   -99.00    -9.00    0.938   -99.00    -9.00    0.975   -99.00    -9.00
2005ms      UGC04614                     1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1938B       NGC2672                      0.632    -1.39     0.90    0.404    -1.36     0.81    0.172    -1.37     0.87
2003je      NGC2668                      0.716    -0.24     1.97    0.748    -0.28     1.80    0.760    -0.29     1.95
2004gl      MCG+08-16-031                0.092    -0.79     2.10    0.161    -1.01     1.67    0.148    -1.04     1.91
2004fw      UGC04633                     0.531    -0.46     1.18    0.530    -0.31     1.08    0.542    -0.51     1.10
1999X       CGCG180-022                  0.479     1.65     2.75    0.476     1.23     2.13    0.556     1.11     2.07
2003Y       IC0522                       0.708     0.26     1.88    0.751     0.58     2.03    0.810     0.09     1.71
2011B       NGC2655                      0.539     0.15     1.09    0.547     0.27     1.05    0.541     0.18     1.10
2000dv      UGC04671                     0.276     0.23     1.12    0.333     0.26     1.06    0.352     0.28     1.15
2001ff      UGC04685                     0.085     0.26     0.64    0.092     0.30     0.57    0.088     0.28     0.61
1968E       NGC2713                      0.589    -1.23     0.63    0.537    -1.19     0.57    0.589    -1.20     0.62
2014av      UGC04713                     0.357     0.17     0.98    0.412     0.37     0.94    0.381     0.46     1.06
2001J       UGC04729                     0.572    -0.50     2.71    0.449    -0.97     1.99    0.534    -0.53     2.31
2011hn      IC2428                       0.790    -0.17     2.23    0.810    -0.04     2.24    0.739     0.93     3.70
1995F       NGC2726                      0.011     0.67     0.53    0.012     0.68     0.48    0.012     0.70     0.52
2013H       ESO036-019                   0.733     0.94     3.79    0.829     1.05     3.75    0.785     1.90     5.96
2003Z       NGC2742                      0.770    -0.04     1.90    0.836     0.54     2.53    0.790    -0.28     1.75
2008hv      NGC2765                      0.858    -0.97     2.47    0.655    -1.69     1.76    0.555    -1.43     2.18
1987M       NGC2715                      0.139     0.11     1.03    0.203     0.14     1.01    0.187     0.17     1.11
2005mf      UGC04798                     0.708     0.70     3.44    0.658     0.36     2.98    0.568     0.53     3.15
2013V       UGC04798                     0.754     0.14     2.98    0.697     0.98     4.34    0.610    -0.31     2.31
1999eh      NGC2770                      0.463     0.54     1.78    0.483     0.46     1.58    0.486     0.91     2.15
2007uy      NGC2770                      0.448     0.11     1.44    0.467     0.14     1.33    0.470    -0.14     1.31
2008D       NGC2770                      0.987    -3.52     2.11    0.995    -4.50     2.14    0.999    -5.98    21.18
1993Z       NGC2775                      0.269    -0.32     0.82    0.075    -0.25     0.75    0.079    -0.20     0.83
2000ds      NGC2768                      0.286     1.62     1.30    0.257     1.57     1.14    0.329     1.70     1.35
1985A       NGC2748                      0.295    -0.94     0.52    0.179    -1.02     0.44    0.249    -1.08     0.47
2013ff      NGC2748                      0.559    -2.61     0.86    0.331    -2.66     0.72    0.447    -2.88     0.77
1994ak      NGC2782                      0.784     0.05     2.56    0.861    -0.00     2.47    0.741    -0.11     2.56
2003T       UGC04864                     0.745    -0.16     2.58    0.735    -0.08     2.36    0.717    -0.53     2.08
2009cz      NGC2789                      0.755    -0.18     1.68    0.771    -0.01     1.66    0.813    -0.28     1.68
2005am      NGC2811                      0.773     0.00     1.06    0.754     0.07     0.97    0.747    -0.05     1.03
2011co      NGC2815                      0.820    -0.36     1.77    0.818    -0.51     1.55    0.887     0.27     2.50
2006jc      UGC04904                     0.416     0.83     2.88    0.447   -99.00    -9.00    0.429     0.94     3.17
2003ab      UGC04930                     0.504     0.36     2.42    0.446     1.17     3.25    0.598    -0.19     1.93
2014ai      NGC2832                      0.607     0.10     2.68    0.631     0.12     2.42    0.719     0.35     3.05
2002bx      IC2461                       0.987    -3.68     6.95    0.685    -4.99     7.55    0.663   -99.00    -9.00
1994L       NGC2848                      0.768    -0.57     3.89    1.000    -2.22     2.77    0.819    -1.29     3.76
1999ar      A092016+0033                 0.052     8.84     5.31    0.175     5.33     4.74    0.002     2.86     2.31
1991K       NGC2851                      0.558     1.01     1.65    0.583     1.17     1.61    0.563     1.17     1.82
1912A       NGC2841                      0.563    -0.98     0.90    0.571    -1.46     0.81    0.581    -1.96     0.88
1957A       NGC2841                      0.932    -1.41     2.41    0.937    -2.39     1.79    0.941    -2.80     2.15
1972R       NGC2841                      0.777    -0.33     1.90    0.786    -0.51     1.95    0.796    -1.37     1.85
1999by      NGC2841                      0.944    -2.31     1.71    0.947    -2.88     1.55    0.951    -3.33     1.81
2002hv      UGC04974                     0.944   -99.00    -9.00    0.934   -99.00    -9.00    0.956    -0.50     4.16
2014cq      ESO091-011                   0.580     1.15     2.90    0.612     1.19     2.52    0.641     1.04     2.55
2003da      UGC04992                     0.299     0.56     1.32    0.361     0.54     1.16    0.320     0.82     1.38
2008ht      UGC05002                     0.687    -0.09     1.42    0.682    -0.18     1.27    0.737    -0.07     1.44
2012fg      NGC2857                      0.050     0.77     1.51    0.047     1.54     1.91    0.050     0.76     1.60
2013cg      NGC2891                      0.145     0.91     0.25    0.167     0.90     0.22    0.164     0.91     0.24
2007rb      NGC2889                      0.591    -0.37     1.05    0.636    -0.36     0.99    0.616    -0.36     1.07
2003I       IC2481                       0.788     0.17     2.28    0.831     0.10     1.99    0.792    -0.49     1.63
2007as      ESO018-018                   0.647     0.45     2.22    0.698     0.69     2.22    0.719     0.37     2.39
2005ip      NGC2906                      0.592     0.23     1.12    0.607     0.18     0.99    0.604     0.31     1.16
2002au      UGC05100                     0.820    -0.99     2.40    0.913    -0.80     2.16    0.907    -1.37     1.65
1998ar      NGC2916                      0.790     0.00     2.10    0.805    -0.08     1.88    0.810     0.01     2.16
2005K       NGC2923                      0.823     3.99    24.57    0.751    -1.82     3.02    0.804   -99.00    -9.00
1975F       NGC2935                      0.188    -0.33     0.45    0.226    -0.24     0.43    0.544    -0.14     0.50
1996Z       NGC2935                      0.001     8.64     2.15    0.001    11.10     4.91    0.004   -99.00    -9.00
2004al      ESO565-025                   0.536    -0.74     0.98    0.685    -0.80     0.89    0.669    -0.91     0.96
2001fe      UGC05129                     0.849    -2.53     1.43    0.637    -2.46     1.38    0.786    -3.41     1.45
2009ao      NGC2939                      0.717     0.03     1.28    0.756     0.04     1.20    0.766     0.01     1.27
2011cf      NGC2939                      0.360     0.53     0.88    0.395     0.45     0.75    0.411     0.43     0.81
1993C       NGC2954                      0.848     0.84     5.49    0.793     0.36     3.58    0.821     0.60     5.02
2000I       NGC2958                      0.440     0.13     0.88    0.426     0.19     0.82    0.463     0.15     0.86
1995D       NGC2962                      0.924    -0.12     4.15    0.938    -0.78     2.90    0.954    -0.29     3.66
2009jv      UGC05157                     0.504    -0.21     0.97    0.462    -0.27     0.84    0.577    -0.24     0.87
1998ck      ESO434-020                   0.100     0.75     1.37    0.124     0.87     1.23    0.097     0.70     1.20
2010fz      NGC2967                      0.564    -0.13     1.51    0.460    -0.37     1.25    0.560     0.33     1.94
2011in      NGC2966                      0.032    -1.41     0.32    0.031    -1.48     0.27    0.035    -1.50     0.28
1970L       NGC2968                      1.000    -4.02     2.57    1.000    -4.00     2.67    1.000    -3.06     2.77
2006ba      NGC2980                      0.860    -0.25     1.95    0.851    -0.17     1.82    0.858     0.08     2.32
2009lm      NGC2980                      0.773     0.34     1.99    0.765     0.16     1.68    0.776     1.18     2.75
1999gh      NGC2986                      0.609     0.53     2.07    0.663     0.50     1.86    0.709     0.34     2.08
2008gf      UGC05201                     1.000    -2.62     3.83    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2013ah      UGC05201                     0.842    -0.94     3.51    0.858    -3.36     2.48    0.853    -2.40     2.85
2003jg      NGC2997                      0.061    -0.47     0.48    0.070    -0.46     0.43    0.073    -0.51     0.46
2008eh      NGC2997                      0.564    -0.19     1.54    0.593    -0.39     1.33    0.588    -0.39     1.49
2003ao      NGC2993                      0.294     0.40     0.96    0.297     0.46     0.91    0.267     0.69     1.08
2010hg      NGC3001                      0.882    -0.47     3.62    0.942     0.81     7.09    0.973   -99.00    -9.00
2003jz      UGC05225                     0.242     0.98     0.65    0.282     1.04     0.61    0.233     1.06     0.66
2003W       UGC05234                     0.058    -0.51     0.79    0.073    -0.93     0.73    0.068    -1.38     0.80
2004gg      UGC05234                     0.378    -0.83     1.37    0.453    -1.31     1.26    0.422    -1.89     1.29
2008H       ESO499-005                   0.035    -0.23     0.69    0.041    -0.21     0.60    0.042    -0.22     0.64
2009mw      ESO499-005                   0.923    -0.99     4.83    0.959    -1.52     3.82    0.951    -1.62     4.57
1989D       NGC2963                      0.875     0.47     3.10    0.886    -0.67     1.69    0.897     0.88     4.34
1961F       NGC3003                      0.729    -1.36     1.56    0.665    -1.21     1.57    0.769    -1.40     1.67
2012hs      ESO213-002                   0.775     0.57     1.98    0.772     0.29     1.58    0.765     0.09     1.60
1965E       PGC028304                    0.904     0.06     6.35    0.741    -3.15     6.44    0.565    -1.61     3.62
1995al      NGC3021                      0.733    -1.49     0.85    0.767    -1.91     0.80    0.773    -2.53     0.82
2002bh      UGC05286                     0.761     2.83    12.28    0.632     0.80     4.41    0.647     0.13     4.04
2009mu      ESO374-003                   0.450    -0.09     1.65    0.342     0.31     1.65    0.388    -0.13     1.50
2001er      UGC05301                     0.920    -3.72     1.45    0.967    -4.61     1.95    0.806    -3.33     1.37
1983E       NGC3044                      0.402    -0.41     0.89    0.399    -0.37     0.79    0.445    -0.37     0.85
2004de      NGC3054                      0.508    -0.07     1.72    0.495     0.45     1.87    0.919    -0.69     1.79
2006T       NGC3054                      0.284    -0.46     0.96    0.273    -0.25     0.93    0.567    -0.64     0.98
2008br      IC2522                       0.324     0.56     1.35    0.333     0.54     1.22    0.373     0.51     1.33
2008co      IC2522                       0.104     0.10     0.70    0.109     0.12     0.64    0.128     0.17     0.69
1993J       NGC3031                      0.668    -3.38     0.31    0.691    -5.32     0.15    0.668    -5.77     0.16
2004am      NGC3034                      0.663    -3.44     0.16    0.739    -3.72     0.13    0.769    -3.91     0.13
2008iz      NGC3034                      0.049     0.11     0.12    0.073    -0.10     0.08    0.097    -0.24     0.07
2014J       NGC3034                      0.873    -3.79     0.29    0.921    -3.93     0.27    0.927    -3.95     0.29
2008ae      IC0577                       0.748     0.70     2.39    0.760     0.25     1.76    0.635     0.39     2.13
2009am      NGC3060                      0.858    -0.73     1.47    0.869    -0.63     1.39    0.898    -0.48     1.69
2007aw      NGC3072                      0.483    -0.05     0.78    0.534    -0.08     0.69    0.403    -0.15     0.73
1998W       NGC3075                      0.563    -0.62     1.91    0.568    -0.75     1.62    0.663    -0.59     1.81
2001gb      IC0582                       0.668     0.66     2.51    0.667     0.44     2.01    0.618     0.95     2.82
2009ba      IC0582                       0.867   -99.00    -9.00    0.835     0.56     4.41    0.798   -99.00    -9.00
2007al      A095919-1928                 0.214     0.92     1.18    0.243     0.71     0.96    0.197     0.82     1.14
1965N       NGC3074                      0.146     0.32     1.80    0.181     0.12     1.57    0.133    -0.10     1.52
2002cp      NGC3074                      0.919     0.21    12.29    0.985   -99.00    -9.00    0.905   -99.00    -9.00
2007cj      IC2531                       0.006     0.14     0.52    0.008     0.23     0.42    0.009     0.25     0.43
2013E       IC2532                       0.446     0.72     2.13    0.600     0.51     1.87    0.491     0.76     2.31
2004ej      NGC3095                      0.636    -0.00     2.03    0.593     0.13     1.90    0.607    -0.37     1.69
2008bp      NGC3095                      0.806    -0.26     2.59    0.753    -0.66     1.81    0.773    -0.48     2.14
1994K       PGC028944                    0.160   -99.00    -9.00    0.111   -99.00    -9.00    0.144     0.42     3.99
2007S       UGC05378                     0.810    -2.28     1.23    0.842    -2.11     1.19    0.887    -2.26     1.32
2005kh      NGC3094                      0.939    -0.83     4.65    0.804   -99.00    -9.00    0.926   -99.00    -9.00
2007ag      UGC05392                     0.499     0.07     1.50    0.519     0.07     1.26    0.328     0.33     1.48
2001ci      NGC3079                      0.398    -0.37     0.60    0.474    -0.45     0.50    0.514    -0.52     0.52
2013ee      NGC3079                      0.730    -2.02     0.69    0.814    -2.17     0.60    0.830    -2.30     0.64
1993ag      A100335-3527                 0.660     1.97     4.82    0.660     2.01     4.64    0.705     1.65     3.62
1983J       NGC3106                      0.392     0.33     1.59    0.464     0.27     1.43    0.390     0.29     1.57
2009gt      NGC3106                      0.894     0.04     7.41    0.965    -1.93     3.55    0.848     0.82     9.29
2006bx      UGC05434                     1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -1.28     4.22
1999ca      NGC3120                      0.826    -2.19     0.83    0.829    -1.65     0.96    0.839    -1.56     1.14
2010F       NGC3120                      0.682     1.06     2.53    0.691     0.21     1.61    0.704     0.45     2.04
1997cx      NGC3057                      0.182    -0.01     2.15    0.157    -0.26     1.90    0.191     0.05     2.26
2004ap      PGC029306                    0.930     1.12     6.14    0.877    -0.32     2.41    0.873   -99.00    -9.00
2009kl      IC2548                       0.543     0.62     2.68    0.622     1.02     2.92    0.620     2.20     5.79
1992J       A100900-2638                 0.934   -99.00    -9.00    0.910     0.50     3.51    0.914    -0.00     3.07
2001S       UGC05491                     0.953   -99.00    -9.00    0.912    -1.03     4.05    0.944    -1.39     3.52
2002bl      UGC05499                     0.646    -0.17     1.57    0.703    -0.21     1.38    0.714    -0.25     1.54
2012gl      NGC3153                      0.898    -0.58     4.82    0.856   -99.00    -9.00    0.928   -99.00    -9.00
2008hx      NGC3154                      0.865    -1.37     0.78    0.878    -1.52     0.68    0.870    -1.48     0.72
1999gf      UGC05515                     0.804     1.21     5.49    0.809     0.88     5.24    0.883   -99.00    -9.00
2012cw      NGC3166                      0.801    -0.65     1.62    0.814    -0.60     1.47    0.825    -0.40     1.81
1997C       NGC3160                      1.000    -0.37     4.28    1.000    -0.79    17.54    1.000   -99.00    -9.00
1984E       NGC3169                      0.719    -0.24     2.18    0.906    -0.92     2.10    0.762    -0.38     2.11
2003cg      NGC3169                      0.301     0.34     0.56    0.434     0.32     0.50    0.347     0.25     0.52
2005kx      NGC3197                      0.235     0.83     1.27    0.247     0.94     1.22    0.251     0.76     1.18
