 1950D                  130.77266667  18.16333333     -8.0    -12.0  Anon.                          130.77500000  18.16666667
 1950F                  211.19450000   8.80144444    -11.0      1.0  UGC08995                       211.19762500   8.80116667
 1950G                  146.02583333   9.35055556      3.0      2.0  Anon.                          146.02500000   9.35000000
 1950H                  226.86733333  19.59150000     11.0    -22.0  NGC5857                        226.86408333  19.59761111
 1950I                  227.08691667  19.19194444    -11.0     -1.0  MCG+03-39-008                  227.09016667  19.19222222
 1950J                  229.37354167  19.76750000     -5.0      3.0  Anon.                          229.37500000  19.76666667
 1950K                  230.44825000  17.43416667     -6.0      3.0  Anon.                          230.45000000  17.43333333
 1950L                  235.53979167  21.96352778     -7.0     -8.0  PGC094270                      235.54191667  21.96575000
 1950M                  158.32466667  64.75033333      2.0      3.0  NGC3266                        158.32333333  64.74950000
 1950N                  255.93625000   0.42444444     -0.0    -13.0  PGC161045                      255.93529167   0.42805556
 1950O                  243.78912500  18.95400000     10.0    -12.8  Anon.                          243.78750000  18.95833333
 1951A                  328.82720833  -4.30222222      8.0     -8.0  Anon.                          328.82500000  -4.30000000
 1951B                  210.91025000  11.38233333    -10.0     15.0  MCG+02-36-026                  210.91308333  11.37816667
 1951C                  154.77162500   8.09777778    -12.0     -8.0  Anon.                          154.77500000   8.10000000
 1951D                  167.95166667   3.69972222      6.0     -1.0  Anon.                          167.95000000   3.70000000
 1951E                  231.22304167   8.31611111     -7.0     -2.0  Anon.                          231.22500000   8.31666667
 1951F                    0.04125000  -6.37652778     18.0     -9.0  MCG-01-01-016                    0.03625000  -6.37402778
 1951G                    2.64195833  -6.29611111      6.0      2.0  PGC000744                        2.64029167  -6.29666667
 1951H                  210.98041667  54.36138889    350.0     45.0  NGC5457                        210.80225000  54.34894444
 1951J                   84.46975000   0.12697222    -23.5     13.4  UGC03331                        84.47629167   0.12325000
 1952A                   28.18908333  36.62186111     -5.0     12.0  UGC01347                        28.19083333  36.61852778
 1952B                  141.50287500  29.45305556      9.0     11.0  Anon.                          141.50000000  29.45000000
 1952C                  195.04862500  -3.35277778     -5.0    -10.0  Anon.                          195.05000000  -3.35000000
 1952D                  169.37195833  -3.06250000    -11.0     15.0  Anon.                          169.37500000  -3.06666667
 1952E                  197.45279167  -3.48611111     10.0    -10.0  Anon.                          197.45000000  -3.48333333
 1952F                  187.10058333  13.33277778      2.0     -2.0  Anon.                          187.10000000  13.33333333
 1952G                  218.34666667   4.44375000    -19.0    -25.0  NGC5668                        218.35195833   4.45069444
 1952H                  222.15912500   6.81791667      5.0     12.0  PGC052879                      222.15775000   6.81458333
