# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2009if      IC2070                       0.415     1.26     0.83    0.453     0.51     0.29
2011do      ESO055-023                   0.507     0.28     0.45    0.531     0.59     0.22
2005dy      UGC03042                     0.081     3.10     1.16    0.103     1.60     0.24
1999dp      UGC03046                     0.392    -0.98     0.48    0.405    -1.61     9.00
2008V       NGC1591                      0.346    -0.32     0.08    0.343    -0.30     0.04
2007rz      NGC1590                      0.334    -0.10     0.16    0.600     0.42     0.08
2005aq      NGC1599                      0.308     1.15     0.21    0.337     1.14     0.10
1997cy      A043254-6142                 0.342     7.37     9.00    0.224     6.37     9.00
2009K       NGC1620                      0.014    -0.03     0.58    0.033     0.83     0.25
2010kg      NGC1633                      0.266     0.36     0.37    0.202     1.09     0.25
2004B       IC0390                       0.317    -1.55     2.10    0.307    -4.74     9.10
1990aj      NGC1640                      0.621     0.20     0.37    0.645     0.62     0.21
1995G       NGC1643                      0.447     0.55     0.16    0.852     0.88     0.09
1999et      NGC1643                      0.295     2.16     0.25    0.571     1.89     0.11
2001ef      IC0381                       0.065    -0.68     0.28    0.074    -0.29     0.14
2011jz      ESO085-001                   0.381    -0.15     0.27    0.333    -0.08     0.11
1986N       NGC1667                      0.251     1.35     0.23    0.213     1.38     0.09
2001B       IC0391                       0.123     0.19     0.09    0.145     0.17     0.04
2004ff      ESO552-040                   0.323     3.60     1.52    0.401     1.88     0.29
2006gc      UGC03219                     0.596    -2.64     9.00    0.753     4.98     2.64
1992bh      A045927-5849                 0.113     0.84     0.45    0.131     1.51     0.27
2012ap      NGC1729                      0.721     1.70     0.40    0.337     2.64     0.29
2006le      UGC03218                     0.940    -1.25     0.73    0.989    -0.94     0.52
2011M       UGC03218                     0.276     2.03     1.04    0.338     0.99     0.27
2005dr      UGC03229                     0.352     0.54     0.58    0.409     0.68     0.29
2009ad      UGC03236                     0.074    -2.07     9.02    0.105    -0.72     9.00
2006aw      ESO085-038                   0.075     0.63     0.43    0.091     0.08     0.14
2007U       ESO552-065                   0.919    -2.77     0.50    0.956    -2.41     0.27
2011gx      ESO252-010                   0.626    -2.82     0.42    0.678    -2.11     0.12
1993af      NGC1808                      1.000    -4.59     9.00    1.000    -5.23     9.01
2004gw      PGC016812                    0.600    -0.32     0.79    0.716    -2.20     9.00
2001di      UGC03259                     0.793     2.39     3.05    0.696    -0.25     0.39
2011ka      ESO119-046                   0.447    -0.75     0.68    0.516    -0.46     0.26
2007Z       PGC016993                    0.012    -5.05     9.25    0.057    -3.29     9.02
1953L?      UGC03267                     0.025    -2.04     9.01    0.040    -0.51     9.00
2006is      A051734-2346                 0.480     2.43     9.00    0.418     1.69     9.00
2010jr      ESO362-018                   0.947     0.08     0.09    0.908     0.50     0.04
2012H       IC0411                       1.000    -5.42     9.12    1.000    -4.56     9.02
2012gk      ESO305-021                   0.161     1.33     1.00    0.167     0.53     0.30
2012cb      UGC03302                     0.358    -0.12     0.40    0.354     0.41     0.23
2010ko      NGC1954                      0.837     0.80     1.17    0.918    -3.46     9.00
2011fi      NGC1954                      0.756    -1.26     0.30    0.849    -1.03     0.27
2013ex      NGC1954                      0.317    -0.07     0.40    0.394     1.49     0.66
2009jz      ESO159-023                   0.977    -1.39     3.36    1.000     0.90     0.97
1992ba      NGC2082                      0.547     0.88     0.09    0.583     1.31     0.05
1998eb      NGC1961                      0.262     0.69     0.15    0.272     0.96     0.07
2001is      NGC1961                      0.549    -1.30     0.06    0.535    -0.88     0.03
2013cc      NGC1961                      0.793    -3.10     0.05    0.756    -2.19     0.03
2014I       ESO487-036                   0.740    -1.57     0.71    0.649    -0.30     0.57
2001ez      PGC017642                    0.201     0.11     0.14    1.000     0.61     0.06
1993ac      PGC017787                    1.000    -8.32    13.54    1.000    -5.78     9.16
2004J       ESO554-033                   0.750    -0.29     0.25    0.736    -0.15     0.12
2003hx      NGC2076                      0.012     0.23     0.70    0.011     2.05     0.52
2003hz      PGC017866                    0.052    -0.16     0.89    0.098     0.40     0.37
2005gn      ESO488-030                   0.161    -0.85     0.31    0.206     0.11     0.19
2005io      UGC03361                     0.712     0.39     0.76    0.648     1.52     0.58
2006ke      UGC03365                     1.000    -1.75     1.40    0.709    -1.55     0.60
2009mi      IC2151                       0.688     0.23     0.30    0.690     0.12     0.04
1997B       IC0438                       1.000     1.82     0.69   -9.000    -2.65     9.01
2001gc      UGC03375                     0.065    -0.63     0.49    0.077    -0.53     0.20
2003ij      UGC03336                     0.669     0.00     0.57    0.681     1.01     0.42
2006nr      UGC03336                     0.868    -1.40     1.00    0.915    -3.28     9.00
2004ep      IC2152                       0.187     1.36     0.26    0.232     1.67     0.14
1996by      UGC03379                     0.642     0.71     0.61    0.502     0.41     0.24
2012fd      ESO488-051                   0.039     1.64     0.73    0.036     0.91     0.21
1995ad      NGC2139                      0.394     0.48     0.08    0.426     1.05     0.05
2007pl      ESO205-018                   0.011    -0.04     0.31    0.013     0.09     0.14
2010lt      UGC03378                     1.000    -4.31     9.05    1.000    -1.78     9.00
2002av      ESO489-007                  -9.000    -4.65     9.43    0.014    -2.63     9.02
1996bn      UGC03430                     0.475     0.87     0.36    0.557     1.06     0.09
2002em      UGC03430                     0.794     0.63     0.54    0.917     1.84     0.21
1996bv      UGC03432                     0.000    -1.46     0.87    0.001     0.29     0.23
2003kb      UGC03432                     0.685    -1.23     0.33    0.749    -1.33     0.12
1975A       NGC2207                      0.888    -3.08     9.00    0.901    -0.05     9.00
1999ec      NGC2207                      0.768    -2.76     0.10    0.780    -2.01     0.02
2003H       NGC2207                      0.386     0.57     0.33    0.403     0.64     0.04
2013ai      NGC2207                      0.339    -0.22     0.22    0.353     0.41     0.04
2005V       NGC2146                      0.002    -0.63     0.20    0.003    -0.19     0.07
2008M       ESO121-026                   0.623    -1.92     0.25    0.632    -1.56     0.14
2009mg      ESO121-026                   0.451     0.49     0.62    0.472     0.21     0.25
2012hr      ESO121-026                   0.996    -5.38     9.01    0.978    -0.25     0.94
1999ao      A062726-3550                 1.000     1.42     0.74    0.796     2.77     0.51
1993ai      UGC03483                     0.002    -0.36     2.96    0.001     3.24     0.70
2011hu      ESO365-029                   0.748    -4.98     9.08    0.507    -3.52     9.02
2014cc      NGC2255                      0.549     0.81     0.53    0.582     0.69     0.24
2014cj      ESO087-031                   0.294     1.27     1.49    0.253     0.47     0.39
2002kf      A063715+4951                 0.887     0.07     0.38    0.892     0.86     0.24
2012hn      NGC2272                      1.000    -5.05     9.06    1.000    -5.18     9.14
1998fa      UGC03513                     0.309     1.51     0.57    1.000     0.54     0.13
2003bq      UGC03513                     0.912    -1.79     1.15    1.000    -2.28     0.88
2001fz      NGC2280                      0.404    -0.40     0.40    0.440     0.56     0.27
2012Q       ESO366-018                   0.255    -2.13     9.00    0.303    -3.69     9.43
1997E       NGC2258                      0.905    -3.20    23.58    0.815    -3.90     9.01
2000ev      UGC03500                     0.350     1.97     0.21    0.383     1.64     0.05
2010iz      UGC03552                     0.104     0.41     0.18    0.109     0.93     0.05
2005dj      UGC03545                     0.488     0.33     0.99    0.491    -0.77     0.29
1999ed      UGC03555                     0.311    -0.80     0.15    0.361    -0.14     0.08
2004ge      UGC03555                     0.027     0.23     0.25    0.038     0.65     0.11
1998ec      UGC03576                     0.623    -0.51     0.30    0.628    -0.47     0.16
2001ex      UGC03595                     0.005     3.47     0.94    1.000     3.12     0.24
2012fm      UGC03528                     0.025    -1.41     0.65    0.165     0.77     0.24
2010kw      ESO162-002                   0.225    -0.33     0.28    0.233     0.34     0.18
2001C       PGC019975                    0.955    -0.08     0.61    0.942     0.36     0.24
2007bb      UGC03627                     0.861     1.14     0.65    0.885     1.11     0.31
2009ii      UGC03627                     0.838     1.19     0.65    0.867     0.11     0.19
2011ay      NGC2315                      0.174    -0.10     9.00    0.184     1.03     9.00
1998en      UGC03645                     1.000    -2.07     1.23    1.000    -4.13     1.37
2006li      UGC03664                     0.830    -0.47     0.55    0.811     1.64     0.61
2000B       NGC2320                      0.043     0.08     0.40    0.027     1.12     0.25
2010hq      UGC03691                     0.486    -0.97     0.13    0.141    -0.67     0.06
1998an      UGC03683                     0.537    -7.27    12.64    0.135    -3.99     9.01
2010ie      NGC2333                      0.944    -0.24     0.65    0.956     1.99     0.87
2004gd      NGC2341                      0.195     0.57     0.16    0.198     0.90     0.06
2005ai      NGC2314                      1.000    -8.21    10.21    1.000    -5.15     9.08
2003ir      UGC03726                     0.642     1.03     0.47    0.609     1.75     0.24
2007au      UGC03725                     0.976    -7.59    22.11    0.882    -2.75     9.00
2008ap      UGC03754                     0.142     1.77     0.42    0.139     1.38     0.14
1982B       NGC2268                      0.237     1.64     0.27    0.288     1.81     0.11
2003ix      UGC03746                     0.137     1.12     0.49    0.121     1.18     0.25
2000fa      UGC03770                     0.066    -0.07     0.25    0.063     0.53     0.14
2010ae      ESO162-017                   0.009     0.48     0.24    0.008     0.60     0.13
2001ee      NGC2347                      0.358     0.21     0.21    0.415     0.24     0.08
2008cm      NGC2369                      0.757     4.15     6.25    1.000    -3.05     9.00
2010bj      NGC2357                      0.106     1.03     0.38    0.141     1.71     0.21
2003ch      UGC03787                     1.000     0.27     1.76    0.587    -2.08     9.00
2002A       UGC03804                     0.177    -0.13     0.07    0.210     0.07     0.04
1998C       UGC03825                     0.508     1.53     0.70    0.306     1.60     0.27
2004es      UGC03825                     1.000    -0.34     0.39    0.972     0.42     0.23
1997do      UGC03845                     0.040     0.85     0.19    0.042     0.68     0.09
2005D       UGC03856                     0.991     0.26     2.94    0.944     1.59     1.61
1987L       NGC2336                      0.618     1.04     0.15    0.651     1.31     0.08
1962Q       NGC2276                      0.299     0.35     0.08    0.335     0.52     0.04
1968V       NGC2276                      0.594     0.14     0.07    0.623     0.49     0.04
1968W       NGC2276                      0.015     0.07     0.08    0.024     0.55     0.04
1993X       NGC2276                      0.887    -1.04     0.08    0.897    -0.82     0.04
2005dl      NGC2276                      0.075    -0.98     0.04    0.096    -0.62     0.02
1992ak      UGC03862                     0.001     0.15     1.15    1.000     1.12     0.86
2011gw      IC2200                       0.350    -0.14     0.28    0.230     0.78     0.17
2001eg      UGC03885                     0.669     1.76     0.49    0.658     1.85     0.24
2000du      UGC03920                     0.327    -0.22     0.23    0.595     0.58     0.13
1999ga      NGC2442                      0.335    -0.46     0.08    0.345     0.00     0.04
2002kg?     NGC2403                      0.247    -0.95     0.01    0.272    -0.52     0.01
2004dj      NGC2403                      0.530    -1.41     0.01    0.558    -0.93     0.01
1998Y       NGC2415                      0.429    -0.22     0.04    0.396     0.08     0.02
2000C       NGC2415                      0.592    -0.35     0.04    0.551    -0.08     0.02
2008gh      UGC03957                     0.334    -3.13     9.00    0.324    -1.52     9.00
2001eo      UGC03963                     1.000    -7.40     9.64    1.000    -1.37     0.80
2008hq      UGC03963                     0.322    -0.43     1.85    0.463    -0.08     0.76
1992bg      A074156-6231                 0.108     1.68     0.70    0.090     2.39     0.45
2006qn      UGC04022                     0.113     0.59     0.22    0.121     0.39     0.04
1997di      UGC04015                     0.749     0.63     0.75    0.745     3.17     1.21
2002bv      UGC04042                     0.494     4.76     4.22    0.505     0.84     0.24
1995E       NGC2441                      0.217     0.26     0.16    0.244     0.12     0.07
2012dq      UGC04067                     0.131     0.49     0.29    0.150     0.62     0.14
1987P       PGC022178                    0.142     0.37     0.11    0.149     0.55     0.05
2008bs      UGC04085                     0.463    -0.09     0.33    0.451    -0.18     0.03
2005en      UGC04132                     0.157    -1.26     0.21    0.203    -0.53     0.08
2005eo      UGC04132                     0.581    -0.01     0.28    0.591     0.27     0.11
2006jd      UGC04179                     0.581    -0.63     0.36    0.615    -0.39     0.18
2010ja      NGC2513                      1.000    -1.61     1.35    1.000    -4.28     9.01
2003kx      UGC04078                     0.974    -0.50     1.48    1.000    -3.90     9.03
2000ce      UGC04195                     0.431     0.43     0.34    0.426     1.07     0.20
2010H       IC0494                       0.109     0.70     0.70    0.114     0.58     0.22
2000fn      NGC2526                      0.650    -0.11     0.12    0.678     0.03     0.06
2003bm      UGC04226                     0.224     0.62     0.15    0.233     0.66     0.06
1988ah      UGC04244                     0.301     0.28     0.13    0.156     0.53     0.05
1999gb      NGC2532                      0.198     1.22     0.39    0.255     1.09     0.10
2002hn      NGC2532                      0.010     0.00     0.34    0.020     1.04     0.10
1901A       NGC2535                      0.461    -1.23     0.05    0.460    -0.74     0.02
2006te      A081144+4133                 0.037    -0.15     0.74    0.038    -0.73     0.33
2008hn      NGC2545                      0.220     0.28     0.22    0.246     0.01     0.09
2010al      UGC04286                     0.551    -0.04     0.08    0.576    -0.03     0.04
2007ay      UGC04310                     0.353    -0.25     0.22    0.370     0.33     0.14
2013gq      NGC2554                      0.251     2.47     1.25    0.203     2.81     0.42
1997bn      UGC04329                     0.055     0.61     0.50    0.054     0.46     0.23
1960M       NGC2565                      0.557     0.51     0.09    0.600     0.70     0.05
1992I       NGC2565                      0.314     3.70     0.54    0.384     1.30     9.00
2002he      UGC04322                     1.000    -1.05     2.78    1.000    -2.76     9.01
2007ax      NGC2577                      0.160     1.27     0.25    0.578     1.12     0.07
2003hr      NGC2551                      0.949    -1.66     0.21    1.000    -1.32     0.07
1961B       IC2363                       0.804     2.38     0.45    0.800     2.84     0.23
2005mc      UGC04414                     0.022     2.09     0.55    0.045     1.54     0.13
2003bp      NGC2596                      0.321    -0.45     0.35    0.346    -0.35     0.16
1999aa      NGC2595                      0.243     0.42     0.09    0.283     0.67     0.04
2008P       NGC2550A                     0.077     1.33     0.08    0.089     2.97     0.04
2004ak      UGC04436                     1.000    -5.51     2.59    1.000    -6.47     1.41
2007bd      UGC04455                     0.068    -1.12     0.40    0.101    -0.29     0.19
1965P       NGC2599                      0.263     1.86     0.15    0.309     2.50     0.08
1954ad?     UGC04467                     0.016    -0.16     2.74    0.115     1.47     0.58
2006bb      UGC04468                     1.000    -3.92     9.02    1.000    -1.72     9.00
1920A       NGC2608                      0.368     0.83     0.06    0.390     1.31     0.04
2001bg      NGC2608                      0.857     1.38     9.00    0.841     2.00     9.00
2008bi      NGC2618                      0.015     0.12     0.18    0.020     0.86     0.08
1999gd      NGC2623                      0.656    -0.14     0.15    0.658    -0.17     0.04
2012hi      UGC04512                     0.440     1.60     0.91    0.452     1.05     0.19
2002fj      NGC2642                      0.196     0.15     0.28    0.234     0.35     0.04
2008bh      NGC2642                      0.300    -0.05     0.27    0.353     0.31     0.04
2010io      UGC04543                     0.043    -0.38     0.02    0.047    -0.04     0.01
2013bl      UGC04578                     0.384     0.15     0.50    0.449     0.65     0.20
2007aq      IC2409                       0.902     0.11     0.29    0.905     0.27     0.15
2005ms      UGC04614                     1.000    -7.47    13.60    1.000    -2.86     9.00
2003je      NGC2668                      0.346     0.54     0.33    0.385     0.61     0.07
2004fw      UGC04633                     0.214    -0.64     0.28    0.188     0.11     0.20
1999X       CGCG180-022                  0.076     2.70     2.05    0.102     0.24     0.31
2003Y       IC0522                       0.329    -0.45     0.20    0.432    -0.11     0.10
2011hr      NGC2691                      0.190     0.02     0.24    0.236     0.98     0.12
2011B       NGC2655                      0.385    -2.88     9.00    0.396     2.86     0.70
2000dv      UGC04671                     0.258     0.39     0.06    0.326     0.69     0.02
2001ff      UGC04685                     0.033    -0.03     0.08    0.042     0.25     0.03
1968E       NGC2713                      0.228     0.16     0.10    0.270    -0.14     0.04
2014av      UGC04713                     0.116     4.22     0.51    1.000     1.95     9.00
2001J       UGC04729                     0.540    -0.80     0.04    0.551    -0.54     0.02
2011hn      IC2428                       0.745    -0.05     0.10    0.723     0.41     0.06
1995F       NGC2726                      0.014     0.25     0.25    0.015     0.08     0.07
2003Z       NGC2742                      0.821     1.47     0.18    0.817     1.04     0.06
2008hv      NGC2765                      0.287    -1.62     0.71    1.000    -2.43     0.23
2012ai      NGC2755                      0.344     0.60     0.24    0.374     0.81     0.04
2012cq      UGC04792                     0.625     0.01     0.49    0.608     0.08     0.08
1987M       NGC2715                      0.022     1.31     0.45    0.033     0.71     0.13
2005mf      UGC04798                     0.307    -0.31     0.32    0.309     0.00     0.18
2013V       UGC04798                     0.378     0.62     0.48    0.374     0.62     0.24
1999eh      NGC2770                      0.240     3.88     0.39    0.246     2.37     9.00
2007uy      NGC2770                      0.225     3.39     0.31    0.231     3.94     0.18
2008D       NGC2770                      0.988    -2.15     0.38    0.988    -1.07     0.26
1993Z       NGC2775                      0.527     0.89     0.08    0.523     0.83     0.03
2000ds      NGC2768                      0.249     2.75     0.77    0.170     2.74     0.19
1985A       NGC2748                      0.183     1.61     0.28    0.244     1.41     0.12
2013ff      NGC2748                      0.710     1.69     0.62    0.842     1.00     0.21
1994ak      NGC2782                      0.743    -0.21     0.10    0.745     0.22     0.04
2003T       UGC04864                     0.322    -0.31     0.36    0.341     0.07     0.19
2009cz      NGC2789                      0.705     1.10     0.41    0.692     0.73     0.12
2005am      NGC2811                      0.620     1.51     0.94    0.603     0.85     0.26
2011co      NGC2815                      0.948    -4.08     9.03    1.000    -2.28     9.00
1999as      A091630+1339                 0.160     6.02     0.86    0.289     6.48     0.12
2006jc      UGC04904                     0.374     1.02     0.08    0.355     1.32     0.03
2003ab      UGC04930                     0.199    -0.24     0.12    0.232     0.00     0.04
2014ai      NGC2832                      0.870    -3.45     9.00    0.645    -1.69     9.00
1994L       NGC2848                      0.767    -0.63     0.34    0.798    -0.65     0.14
1999ar      A092016+0033                 1.000    -4.23     9.77    1.000     4.08     0.75
1991K       NGC2851                      0.603    -1.54     1.68    0.447     1.42     0.83
2009mx      NGC2839                      0.826     1.07     1.07    0.687    -1.31     9.00
1912A       NGC2841                      0.317    -0.57     0.03    0.363    -0.12     0.01
1957A       NGC2841                      0.888    -0.66     0.10    0.907    -0.85     0.03
1972R       NGC2841                      0.646     1.44     0.10    0.686     1.36     0.04
1999by      NGC2841                      0.904    -1.10     0.08    0.921    -1.25     0.03
2002hv      UGC04974                     0.929    -1.18     1.63    0.911    -3.39     9.00
2003da      UGC04992                     0.113     0.18     0.43    0.113     0.49     0.26
2012gn      UGC04981                     0.037     0.40     0.09    0.042     0.54     0.04
2008ht      UGC05002                     0.514    -0.21     0.19    0.532     0.02     0.09
2012fg      NGC2857                      0.004    -0.34     0.18    0.007    -0.10     0.07
2003I       IC2481                       0.589     1.95     0.09    0.598     2.10     0.04
2014R       UGC05055                     0.178     0.80     0.43    0.218     0.80     0.13
1999bd      A093029+1626                 1.000     0.50     0.76    0.636     8.61     1.72
2013gs      UGC05066                     0.199     0.75     0.44    0.222     0.46     0.18
2005ip      NGC2906                      0.473     0.93     0.07    0.478     0.65     0.02
2002au      UGC05100                     0.542    -0.62     0.06    0.557    -0.86     0.02
1998ar      NGC2916                      0.637     0.85     0.08    0.661     1.06     0.04
2005K       NGC2923                      0.754     1.03     0.23    0.718     1.34     0.13
2004al      ESO565-025                   1.000    -1.02     0.21    0.727    -0.30     0.12
2010jn      NGC2929                      0.055     0.32     0.22    0.070     0.13     0.08
2005M       NGC2930                      0.704     2.66     0.30    0.676     1.76     0.10
2001fe      UGC05129                     0.628    -0.61     0.24    0.641    -0.49     0.09
2009ao      NGC2939                      0.252    -0.19     0.42    0.281     0.06     0.20
2011cf      NGC2939                      0.084     0.20     0.45    0.103     0.45     0.21
1993C       NGC2954                      1.000    -8.09    12.48    0.817    -4.94     9.05
2000I       NGC2958                      0.195     3.41     0.45    0.230     4.22     0.23
2013bk      IC0553                       0.485    -1.70     0.56    0.634    -0.60     0.45
1995D       NGC2962                      0.831    -1.68     9.00    0.851    -1.33     9.00
2004bh      UGC05161                     0.367     0.25     0.49    0.252     0.26     0.24
2009jv      UGC05157                     0.214    -0.60     0.20    0.234    -0.04     0.11
1998ck      ESO434-020                   0.014    -1.23     3.69    0.058     0.46     0.38
2010fz      NGC2967                      0.419     0.05     0.10    0.448     0.47     0.05
2011in      NGC2966                      0.008     0.34     0.10    0.017     0.39     0.03
1970L       NGC2968                      0.079    -7.03     9.88    0.164    -4.16     9.00
2006ba      NGC2980                      0.694    -0.34     0.22    0.701    -0.12     0.11
2009lm      NGC2980                      0.498     1.13     0.41    0.539     0.87     0.16
1999gh      NGC2986                      0.132    -6.00     9.04    0.403     1.97     1.19
2008gf      UGC05201                     1.000    -4.12     0.46    1.000    -3.57     0.16
2013ah      UGC05201                     0.608     0.28     0.17    0.620    -0.02     0.05
2003jg      NGC2997                      0.021     0.08     0.14    0.029     0.39     0.05
2008eh      NGC2997                      0.405     1.43     0.32    0.439     2.30     0.19
2003ao      NGC2993                      0.546     1.27     0.04    0.500     1.06     0.01
2003jz      UGC05225                     0.267     1.30     0.64    0.164     1.39     0.24
2003W       UGC05234                     0.006     2.32     0.50    0.009     0.61     0.06
2004gg      UGC05234                     0.151     2.09     0.25    0.175     0.79     0.04
2008H       ESO499-005                   0.006     0.99     0.46    0.008     1.27     0.21
2009mw      ESO499-005                   0.918     0.00     0.38    0.924     0.06     0.18
1989D       NGC2963                      0.807     3.14     2.10    0.804     1.21     0.43
1961F       NGC3003                      0.506    -1.46     0.09    0.539    -1.83     0.01
1965E       PGC028304                    0.758    -2.70     0.28    0.760    -1.91     0.15
1995al      NGC3021                      0.638     1.51     0.23    0.697     1.04     0.08
2002bh      UGC05286                     0.506     1.07     0.52    0.534     2.59     0.34
2009mu      ESO374-003                   0.174     0.20     0.28    0.180     0.48     0.13
2001er      UGC05301                     0.894    -1.46     0.42    0.885    -1.68     0.16
1983E       NGC3044                      0.205     2.09     0.05    0.217     2.37     0.03
2004de      NGC3054                      0.297     2.74     1.64    1.000     1.61     0.42
2006T       NGC3054                      0.063    -0.10     0.51    1.000     0.27     0.23
2008br      IC2522                       0.100     4.00     0.77    0.125     2.40     0.15
2008co      IC2522                       0.016     2.11     0.35    0.024     2.10     0.12
1993J       NGC3031                      0.057    -0.07     0.02    0.122     0.14     0.01
2004am      NGC3034                      0.277     0.65     0.05    0.354     0.08     0.01
2008iz      NGC3034                      0.004     0.57     0.03    0.005     0.67     0.01
2014J       NGC3034                      0.556    -0.48     0.05    0.649    -1.05     0.01
2008ae      IC0577                       0.672     1.40     0.29    0.659     1.17     0.11
2009am      NGC3060                      0.569     0.20     0.38    0.652     0.29     0.18
2007aw      NGC3072                      0.355     1.62     1.01    1.000     0.81     0.28
1998W       NGC3075                      0.399     0.83     0.29    0.430     1.20     0.17
2007P       ESO566-036                   0.174    -0.00     0.36    0.252     0.49     0.18
2001gb      IC0582                       0.440     0.40     0.34    0.486     0.74     0.19
2009ba      IC0582                       0.767     0.53     0.57    0.778     0.54     0.28
2007al      A095919-1928                 0.506     5.47     3.03    0.251     1.66     0.13
1965N       NGC3074                      0.043    -0.15     0.41    0.058     1.20     0.31
2002cp      NGC3074                      0.887     0.04     0.67    0.918     2.18     0.86
2007cj      IC2531                       0.002    -2.22     9.47    1.000    -1.00     9.04
2013E       IC2532                       0.411    -3.62     9.04    0.056    -1.03     9.00
2004ej      NGC3095                      0.512     0.60     0.11    0.543     1.08     0.05
2008bp      NGC3095                      0.792     0.07     0.13    0.802     0.07     0.04
1994K       PGC028944                    0.582    -3.77     9.00    0.568    -0.32     0.44
2007S       UGC05378                     0.616    -1.07     0.22    0.658    -0.95     0.03
2005kh      NGC3094                      0.926    -0.30     0.25    0.924     0.71     0.18
2001ci      NGC3079                      0.077     0.31     0.03    0.107     0.50     0.01
2013ee      NGC3079                      0.450    -0.21     0.02    0.471    -0.19     0.01
1983J       NGC3106                      0.098    -0.42     0.42    0.142     0.00     0.21
2009gt      NGC3106                      0.918    -4.63     9.00    0.885    -3.64     9.00
2006bx      UGC05434                     1.000    -0.87     1.83    1.000    -5.12     9.03
1999ca      NGC3120                      0.590     0.25     0.10    0.621     0.71     0.03
2010F       NGC3120                      0.412     0.82     0.10    0.449     1.28     0.03
1997cx      NGC3057                      0.136     1.60     0.24    0.129     1.39     0.09
2004ap      PGC029306                    0.793     0.67     1.63    0.823    -2.45     9.00
1992J       A100900-2638                 0.808    -4.56     9.03    0.714    -2.92     9.00
2012gw      ESO316-038                   0.189    -2.91     9.01    0.138     1.49     0.46
2001S       UGC05491                     0.817     1.34     1.04    0.820     0.70     0.40
2002bl      UGC05499                     0.254    -0.32     0.11    0.287    -0.09     0.04
2008hx      NGC3154                      0.685    -0.83     0.18    0.678    -0.40     0.08
1999gf      UGC05515                     1.000    -5.00     9.07    0.780    -2.50     9.00
2012cw      NGC3166                      1.000    -2.46     3.95    1.000    -0.38     9.00
1997C       NGC3160                      1.000    27.32   133.95    1.000     1.50    10.75
1984E       NGC3169                      0.505     0.28     0.09    0.537     0.49     0.04
2003cg      NGC3169                      0.018     2.38     0.17    0.048     2.22     0.04
2005kx      NGC3197                      0.032     1.45     1.19    0.022    -0.10     0.38
2012cl      ESO263-023                   1.000     5.67   154.29    1.000    -8.66     9.20
2008gx      NGC3144                      0.310     0.92     9.00    0.338     1.77     9.00
2002bf      CGCG266-031                  0.010    -0.04     0.96    0.039     0.31     0.26
2011dd      NGC3178                      0.268    -0.24     0.27    0.314    -0.33     0.06
2001ie      UGC05542                     1.000    -8.46    53.66    0.547     1.86     1.31
1972H       NGC3147                      0.552     0.38     0.13    0.611     0.74     0.06
1997bq      NGC3147                      0.771     0.80     0.21    0.806     1.08     0.11
2006gi      NGC3147                      0.988    -2.21     0.34    0.987    -1.64     0.20
2008fv      NGC3147                      0.356    -0.24     0.08    0.423     0.02     0.03
2002bo      NGC3190                      0.232     1.92     0.46    0.225     2.59     0.09
2002cv      NGC3190                      0.641     0.18     0.45    0.623     0.75     0.09
1921B       NGC3184                      0.803     0.68     0.51    0.828     0.42     9.00
1921C       NGC3184                      0.980    -4.28     9.00    0.985    -2.48     9.00
1937F       NGC3184                      0.748     1.92     0.73    0.777     0.80     9.00
1999gi      NGC3184                      0.143    -0.78     0.14    0.165     1.96     0.09
2010dn?     NGC3184                      0.194     0.79     0.28    0.219     1.92     9.00
1953D       NGC3200                      0.854    -0.88     0.52    0.851    -0.59     0.28
1988B       NGC3191                      0.277     0.92     0.19    0.270     2.21     0.05
2002jm      IC0603                       1.000     2.71     3.13    1.000     2.35     0.79
2009jy      NGC3208                      0.680     0.86     0.64    0.297    -1.55     9.00
1966J       NGC3198                      1.000    -2.47     0.06    1.000    -2.78     0.03
1999bw?     NGC3198                      0.911    -1.64     0.04    0.925    -1.54     0.02
1988I       PGC086944                    0.032     4.31     3.08    0.052     3.28     0.78
1961L       NGC3221                      0.969    -3.85     1.97    0.955    -3.46     0.51
1999Z       UGC05608                     0.383    -1.93     0.29    0.385    -0.55     0.22
2008ef      NGC3241                      0.155     0.82     0.29    0.203     1.05     0.10
2001M       NGC3240                      0.471    -0.17     0.25    0.507     0.37     0.14
2012A       NGC3239                      0.524    -0.81     0.02    0.521    -0.13     0.01
2010ev      NGC3244                      0.078     0.58     0.05    0.103     0.49     0.02
2008at      UGC05645                     0.130    -2.81     9.01    0.214     1.49     0.43
2001db      NGC3256                     -9.000    -5.44     9.01    1.000     4.59     0.06
2010hx      NGC3258                      1.000    -2.42     9.00    0.841     3.26     0.56
1999gj      NGC3251                      1.000     2.21     0.86    1.000    -2.02     9.01
1941B       NGC3254                      0.845    -0.93     0.17    0.849    -0.78     0.04
1991S       UGC05691                     0.636    -0.27     9.00    0.644     0.53     9.00
1993N       UGC05695                     0.871    -0.31     0.15    0.849    -0.58     0.04
1994N       UGC05695                     0.756     0.80     0.17    0.719     0.36     0.05
2009bb      NGC3278                      0.925    -1.13     0.14    0.859    -0.09     0.09
1985C       ESO436-036                   0.021     1.30     1.22    0.006     2.30     0.46
2007av      NGC3279                      0.303    -0.86     0.10    1.000    -0.24     0.05
