# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2005eb      UGC00556                     0.257     2.13     0.89    0.194     0.90     0.26
2010da?     NGC0300                      0.100     0.51     0.03    0.117     0.69     0.02
1986K       NGC0298                      0.933     1.09     1.60    0.925     0.60     0.54
2008en      UGC00564                     0.843    -0.09     0.37    0.850     0.39     0.23
2006gt      A005618-0137                 1.000    -5.08     9.11    0.870    -3.44     9.01
2006nz      A005629-0113                 0.323     5.97     0.77    0.106     3.86     0.06
2008ee      NGC0307                      0.500     1.21     0.18    0.281     1.14     0.06
1999ge      NGC0309                      0.087     0.50     0.09    0.107     0.86     0.04
2008cx      NGC0309                      0.800    -1.00     0.07    0.827    -0.40     0.05
2012dt      NGC0309                      0.822     2.05     0.31    0.847     3.61     0.31
2007nq      UGC00595                     0.807    -3.77     9.01    0.775    -1.99     9.00
2010jo      UGC00595                     0.596     3.02     1.13    0.471     1.40     0.20
1999gl      NGC0317B                     0.002     0.77     0.82    0.002     0.65     0.37
2014dj      NGC0317B                     0.057    -0.47     0.49    0.079    -0.46     0.21
2005ef      A005822+0040                 0.731     5.77    11.22    0.274     5.03     9.02
2005ho      A005924+0000                 0.205     4.93     0.06    0.151     4.49     0.03
2011dq      NGC0337                      0.869    -2.38     0.04    0.865    -1.71     0.02
2014cx      NGC0337                      0.820    -2.22     0.04    0.817    -1.54     0.02
1998dn      NGC0337A                     0.619     0.22     0.35    0.655    -0.09     0.14
2000dr      IC1610                       0.115    -5.72     9.02    0.238     0.79     0.89
2003iz      UGC00638                     0.213    -6.38     9.61    1.000    -6.28    10.81
2005eg      A010208-0052                 0.458     8.68     0.57    0.276     6.93     0.16
2010jb      IC1615                       0.067     0.99     0.22    0.080     1.09     0.08
1970N       NGC0365                      0.555     1.43     0.33    0.541     1.37     0.15
2005mp      A010445+0003                -9.000    -2.99     9.86    0.051     1.53     0.20
2005it      A010445+0030                 0.638     7.29     2.82    0.907    12.11    12.23
2000dk      NGC0382                      0.688     1.73     0.37    0.519     1.86     0.12
2005ga      A010743-0102                 0.322     7.25     1.20    0.243     6.22     0.37
2005fr      A010822-0005                 0.056     1.54     2.25    0.156    -0.44     9.08
2009lo      UGC00717                     0.053    -0.89     0.14    0.074    -0.02     0.08
2014co      NGC0418                      0.202     2.98     0.23    0.233     5.19     0.30
1991at      UGC00733                     0.962    -5.12     9.01    0.981    -2.32     9.00
2005go      A011049+0100                 1.000     3.06     9.00    0.895     9.68    54.97
2005kt      A011058+0016                 0.059     3.05     0.27    0.118     4.10     0.12
1995Y       NGC0410                      0.596     0.78     0.64    0.476     3.36     0.64
2000di      IC1637                       1.000     2.49     0.30    1.000     4.43     0.31
1967J       PGC004234                    0.433     0.68     0.40    1.000     1.38     0.19
2005ia      A011135-0000                 1.000     1.46     0.27    0.407     5.78     1.03
2013ct      NGC0428                      0.032     0.26     0.03    0.042     0.75     0.02
2006eb      UGC00771                     0.641    -0.09     0.13    0.649    -0.15     0.05
2006di      NGC0439                      0.246    -2.74     9.00    0.075     1.21     0.31
2012hd      IC1657                       0.106     0.69     0.26    0.147     0.91     0.09
2005gb      A011612+0047                 0.099     4.45     0.14    0.083     4.64     0.07
2005lg      A011620-0048                 0.029    -1.70     9.13    0.051    -0.49     9.04
2005ir      A011643+0047                 0.455     0.49     0.09    0.447     0.67     0.04
2008ep      UGC00826                     0.596     0.90     0.56    0.596     1.08     0.26
SDSS6968    A011813-0054                 0.156     5.44     0.21    0.131     4.79     0.08
2007go      ESO475-016                   0.890    -1.76     0.21    0.864    -1.33     0.11
2011gj      UGC00849                     1.000     0.23     0.87    1.000     0.28     0.35
2008gl      UGC00881                     1.000    -4.41     9.03    1.000    -2.82     9.00
2002jy      NGC0477                      0.999    -3.89     0.85    0.996    -3.65     0.28
2005gc      A012137-0058                 0.258     5.55     0.35    0.217     4.88     0.15
1976G       NGC0488                      0.778     0.69     0.29    0.811     0.65     0.13
2010eb      NGC0488                      0.995    -4.16     9.00    0.994    -3.64     9.00
1992bo      ESO352-057                   1.000    -4.32     9.03    1.000    -3.90     9.01
1971S       NGC0493                      0.586    -0.44     0.03    0.609    -0.17     0.02
1990A       NGC0500                      0.803     2.45     0.94    0.604     3.77     0.58
1999ej      NGC0495                      1.000    -4.23     9.06    1.000    -2.67     9.00
2003lc      UGC00934                     0.928    -0.33     0.92    0.951    -3.33     9.00
2005ly      UGC00934                     0.477    -0.59     0.21    0.501     0.67     0.17
1995Z       UGC00937                     0.315     0.28     0.23    0.340     0.22     0.05
1963S       PGC005092                    0.536     3.60     0.35    0.475     2.97     0.11
1966G       NGC0521                      0.633     0.12     9.00    0.664     0.54     9.00
2006G       NGC0521                      0.450     0.54     9.00    0.502     1.02     9.00
2000cx      NGC0524                      0.885    -6.13     9.08    0.863    -2.50     9.00
2008Q       NGC0524                      0.997    -5.27     9.01    0.983    -3.08     9.00
1992am      PGC005247                    0.978    -0.56     0.67    0.873     0.36     0.46
2001en      NGC0523                      0.013     1.46     0.17    0.014     1.35     0.06
2008gg      NGC0539                      0.582     0.76     0.57    0.614     1.90     0.46
2008hh      IC0112                       0.453     0.75     0.16    0.445     0.63     0.07
2005gy      A012606+0040                 0.000    -3.55     9.32    0.036    -6.37    16.35
1963N       NGC0536                      0.877    -2.12     0.63    0.854    -2.15     0.17
1961Q       NGC0550                      1.000    -1.91     2.01    1.000    -3.58     9.01
2005hj      A012648-0114                 0.453     1.27     0.18    0.370     1.05     0.09
2005hf      A012705+1907                -9.000    -4.21     9.03    0.504     2.08     0.61
2007il      IC1704                       0.365    -0.46     0.21    0.413     0.32     0.03
1984M       IC0121                       0.916    -0.10     0.36    0.905     0.14     0.18
