# Hicken et al. 2009
# Tables 3 and 4: MLCS2K2 Light Curve Fits
#
#SN Ia     Delta    Deltae   A(V)     A(V)e    (B-V)    (B-V)e   mB       mBe      mV       mVe      E(B-V)   E(B-V)e  zCMB     mU       mUe     (U-B)     (U-B)e   E(U-B)   E(U-B)e  Dm15U    Dm15Ue   Dm15B    Dm15Be   Dm15V    Dm15Ve   DtU      DtB      DtV
1993O     -0.0300   0.0720   0.0480   0.0340  -0.1800   0.0700  17.5800   0.0500  17.7200   0.0500   0.0282   0.0200   0.0519 -99.9900  -9.9900 -99.9900  -9.9900   0.0200   0.0142 -99.9900  -9.9900   1.2300   0.0700   0.7100   0.0800 -99.9900   2.1300   3.6100
1993ag    -0.0190   0.0940   0.1020   0.0660   0.0200   0.1000  17.8200   0.0900  17.7800   0.0700   0.0600   0.0388   0.0500 -99.9900  -9.9900 -99.9900  -9.9900   0.0426   0.0275 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900   6.6700   6.6700
1994D      0.3610   0.0490   0.0090   0.0090  -0.0400   0.0400  11.7800   0.0400  11.8200   0.0200   0.0053   0.0053   0.0031  11.1400   0.0900  -0.6200   0.1000   0.0038   0.0038   1.7100   0.1200   1.3500   0.0700   0.8100   0.0500   0.8100   0.6500   0.4900
1994S     -0.1730   0.0780   0.0470   0.0340  -0.0200   0.0800  14.7600   0.0500  14.7800   0.0600   0.0276   0.0200   0.0160 -99.9900  -9.9900 -99.9900  -9.9900   0.0196   0.0142 -99.9900  -9.9900 -99.9900  -9.9900   0.6800   0.0900 -99.9900   1.9700   1.9700
1994T      0.7460   0.1060   0.0530   0.0420   0.1800   0.0500  17.3200   0.0300  17.1400   0.0400   0.0312   0.0247   0.0357 -99.9900  -9.9900 -99.9900  -9.9900   0.0222   0.0175 -99.9900  -9.9900   1.3600   0.0500   0.8700   0.0600 -99.9900   0.8700   0.8700
1994ae    -0.2360   0.0440   0.0490   0.0320  -0.0400   0.0700  12.9500   0.0600  12.9900   0.0300   0.0288   0.0188   0.0055 -99.9900  -9.9900 -99.9900  -9.9900   0.0204   0.0133 -99.9900  -9.9900   0.9800   0.1500   0.6400   0.0400 -99.9900   7.9600   0.9900
1995D     -0.2290   0.0480   0.0680   0.0440  -0.1000   0.0700  13.1700   0.0600  13.2500   0.0500   0.0400   0.0259   0.0077 -99.9900  -9.9900 -99.9900  -9.9900   0.0284   0.0184 -99.9900  -9.9900   1.0200   0.0700   0.6500   0.0700 -99.9900   1.9800   2.0200
1995E     -0.0930   0.0660   1.4600   0.0640   0.7000   0.0700  16.6800   0.0500  15.9700   0.0500   0.8588   0.0376   0.0117 -99.9900  -9.9900 -99.9900  -9.9900   0.6097   0.0267 -99.9900  -9.9900   1.1100   0.1100   0.6100   0.0800 -99.9900   2.8700   2.8700
1995ac    -0.3160   0.0520   0.1060   0.0550  -0.1100   0.0600  17.0600   0.0400  17.1300   0.0400   0.0624   0.0324   0.0488 -99.9900  -9.9900 -99.9900  -9.9900   0.0443   0.0230 -99.9900  -9.9900   0.7700   0.0700   0.5800   0.0800 -99.9900   2.7800   3.8300
1995ak     0.1300   0.0800   0.2590   0.0720   0.0300   0.0800  16.0000   0.0600  15.9400   0.0600   0.1524   0.0424   0.0220 -99.9900  -9.9900 -99.9900  -9.9900   0.1082   0.0301 -99.9900  -9.9900 999.0000 999.0000   0.8600   0.0700 -99.9900   1.0100   0.8600
