# SITEPH_SDSS SITE PHOTOMETRY - Sat Jan  3 16:51:45 2015
# SN           mj  mjerr    mj.5 mjerr    mj1  mjerr    mj2  mjerr    sbj     mh  mherr   mh.5  mherr    mh1  mherr    mh2  mherr    sbh     mk  mkerr   mk.5  mkerr    mk1  mkerr    mk2  mkerr    sbk  host                          snx     sny
2011fp      18.74   4.82  21.23  15.16  19.86   8.08  18.59   4.49  22.22  17.67   3.66  20.89  16.16  19.22   7.49  17.45   3.31  21.14  17.98   5.24  19.97  13.13  18.81   7.67  17.72   4.64  21.46  NGC0057                     325.6   220.2
2003ld      14.93   0.83  17.16   2.33  15.66   1.17  14.22   0.60  18.41  14.16   0.73  16.40   2.05  14.91   1.03  13.44   0.52  17.64  13.91   0.81  16.25   2.36  14.70   1.16  13.17   0.57  17.39  UGC00148                    360.9   366.9
2005mg      14.58   0.71  16.60   1.79  15.14   0.92  13.80   0.50  18.05  13.68   0.58  15.68   1.47  14.24   0.75  12.92   0.41  17.16  13.38   0.63  15.36   1.57  13.93   0.81  12.63   0.45  16.86  UGC00155                    329.6   316.1
2007lf     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.11   3.51  20.92  20.27  19.43  10.25  18.05   5.43  20.59  A001645+0112                242.6   196.2
2006J       15.56   1.11  18.44   4.20  16.98   2.14  15.51   1.09  19.03  14.82   0.99  17.71   3.74  16.22   1.88  14.77   0.96  18.30  14.50   1.06  17.45   4.11  15.94   2.05  14.45   1.03  17.98  IC0013                      209.0   214.6
1994Z      -99.00   0.01 -99.00   0.01 -99.00   0.01  20.02   8.69 -99.00  17.04   2.75  18.62   5.67  17.41   3.25  15.94   1.66  20.52  18.64   7.09  19.64  11.27  18.95   8.19  18.64   7.09  22.11  NGC0087                     185.4   203.2
1990ae     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01  20.90  16.27  19.90  10.25  20.29  12.28 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  A002251+0649                215.0   236.0
1997cw      15.42   1.04  17.95   3.34  16.43   1.66  14.92   0.83  18.90  14.68   0.92  17.18   2.93  15.68   1.47  14.18   0.73  18.15  14.53   1.07  17.00   3.35  15.52   1.69  14.03   0.85  18.01  NGC0105                     192.5   202.4
2007A       15.40   1.03  17.85   3.20  16.37   1.61  14.92   0.83  18.87  14.79   0.97  17.30   3.09  15.79   1.54  14.31   0.78  18.27  14.56   1.09  17.03   3.38  15.55   1.71  14.08   0.87  18.04  NGC0105                     201.4   208.7
2005hk      19.03   5.49  20.51  10.85  19.38   6.45  18.03   3.47  22.51 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01  22.09  34.74 -99.00   0.01 -99.00   0.01 -99.00  UGC00272                    267.4   290.5
2004dd      16.59   1.79  18.72   4.77  17.27   2.45  15.65   1.16  20.07  16.28   1.93  18.50   5.38  17.04   2.75  15.17   1.16  19.75  15.64   1.79  17.84   4.93  16.32   2.44  14.74   1.18  19.12  NGC0124                     242.5   240.6
2000fd      18.70   4.73  20.48  10.72  19.30   6.24  18.39   4.09  22.18  20.29  12.28 -99.00   0.01 -99.00   0.01  19.10   7.09  23.77  19.83  12.28  22.84  49.13  20.89  20.06  20.58  17.37  23.31  UGC00291                    231.7   239.6
2014da      13.13   0.36  15.39   1.03  13.89   0.52  12.41   0.26  16.61  12.42   0.33  14.68   0.93  13.18   0.46  11.70   0.24  15.90  12.13   0.35  14.39   1.01  12.89   0.50  11.40   0.25  15.60  NGC0128                     378.3   386.1
2008ds      18.39   4.09  20.90  13.02  19.54   6.95  18.42   4.15  21.87  19.54   8.69  24.06  69.49 -99.00   0.01  19.85  10.03  23.02  18.39   6.34 -99.00   0.01 -99.00   0.01  18.83   7.77  21.87  UGC00299                    251.1   214.2
2004fe      15.70   1.18  18.46   4.23  16.97   2.13  15.51   1.09  19.17  15.15   1.15  18.03   4.32  16.50   2.14  14.96   1.05  18.63  14.92   1.28  17.84   4.93  16.29   2.41  14.71   1.16  18.39  NGC0132                     403.6   399.2
1997dm      16.09   1.42  20.51  10.85  18.87   5.11  17.24   2.41  19.57  15.14   1.15  19.38   8.05  17.68   3.68  16.16   1.83  18.62  14.98   1.32  19.72  11.70  17.83   4.90  16.17   2.28  18.46  ESO294-017                  403.8   407.2
2009gj      17.07   2.23  17.03   2.19  15.50   1.08  14.21   0.60  20.55  15.95   1.66  15.90   1.63  14.39   0.81  13.06   0.44  19.43  16.00   2.11  15.91   2.03  14.14   0.89  13.00   0.53  19.48  NGC0134                    1570.3  1756.3
2014cz      14.85   0.80  18.55   4.41  17.03   2.19  15.53   1.10  18.33  14.13   0.72  17.82   3.93  16.31   1.96  14.81   0.98  17.61  13.85   0.78  17.53   4.27  16.02   2.13  14.53   1.07  17.33  ESO294-021                  194.0   196.0
2003ip      20.02   8.69  25.29  98.27 -99.00   0.01  19.68   7.41  23.50 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01  20.45  16.38  19.76  11.92 -99.00   0.01 -99.00  UGC00327                    177.9   199.1
1990K       15.55   1.11  15.72   1.20  14.23   0.60  12.89   0.33  19.02  14.91   1.03  15.09   1.12  13.58   0.56  12.17   0.29  18.38  14.84   1.23  15.01   1.34  13.51   0.67  12.07   0.34  18.32  NGC0150                     658.2   664.3
1966I       16.44   1.67  19.28   6.17  17.83   3.17  16.53   1.74  19.92  15.83   1.57  18.52   5.43  17.09   2.81  15.89   1.62  19.30  15.94   2.05  19.27   9.50  17.73   4.68  16.06   2.16  19.42  PGC002065                   224.9   224.2
2012K      -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.49   3.37 -99.00   0.01  23.30  49.13  17.60   3.55  20.97  17.47   4.15  19.72  11.66  18.34   6.19  17.44   4.09  20.95  PGC002065                   210.6   240.2
2009em      15.37   1.02  16.34   1.60  14.87   0.81  13.40   0.41  18.85  14.75   0.96  15.68   1.47  14.28   0.77  12.86   0.40  18.23  14.38   1.00  15.32   1.54  13.91   0.81  12.48   0.42  17.86  NGC0157                     625.3   581.5
2006ld      18.92   5.24  20.88  12.90  19.54   6.95  18.12   3.62  22.40  19.01   6.81  20.70  14.81  19.35   7.97  18.35   5.01  22.49  17.93   5.12  19.70  11.58  18.51   6.69  17.44   4.09  21.41  UGC00348                    175.9   169.9
1996bl      16.16   1.47 -99.00   0.01 -99.00   0.01 -99.00   0.01  19.64  15.68   1.47 -99.00   0.01 -99.00   0.01 -99.00   0.01  19.16  14.90   1.27 -99.00   0.01 -99.00   0.01 -99.00   0.01  18.38  A003617+1123                210.2   225.0
2001dj     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  18.04   4.34  20.07  11.06  18.71   5.92  18.11   4.49  21.51  17.25   3.75  19.15   9.01  17.83   4.89  17.15   3.58  20.73  NGC0180                     531.5   477.2
2004ex      18.03   3.47  22.09  22.54  19.86   8.08  17.76   3.07  21.51  17.41   3.25  20.68  14.65  19.01   6.81  17.05   2.76  20.89  17.98   5.24 -99.00   0.01 -99.00   0.01  17.41   4.04  21.46  NGC0182                     391.2   332.9
2003gi      17.37   2.56  19.32   6.29  17.97   3.37  16.28   1.55  20.85  16.87   2.53  19.21   7.45  17.57   3.51  15.89   1.62  20.34  16.66   2.86  19.34   9.83  17.52   4.24  15.57   1.73  20.14  IC1561                      274.6   269.4
2005ct      14.64   0.73  16.83   2.00  15.29   0.98  13.79   0.49  18.11  13.95   0.66  16.17   1.84  14.61   0.90  13.09   0.44  17.43  13.60   0.70  15.74   1.87  14.24   0.94  12.77   0.48  17.08  NGC0207                     186.1   177.7
1954R       20.02   8.69  20.02   8.69  18.52   4.34  16.77   1.94  23.50 -99.00   0.01 -99.00   0.01  17.10   2.82  17.28   3.07 -99.00 -99.00   0.01 -99.00   0.01  17.88   5.01 -99.00   0.01 -99.00  NGC0210                    1265.3  1268.2
2003C       15.80   1.24  18.63   4.57  17.12   2.28  15.57   1.12  19.27  15.05   1.10  17.91   4.09  16.38   2.03  14.82   0.99  18.53  14.84   1.24  17.56   4.31  16.07   2.18  14.64   1.13  18.32  UGC00439                    296.7   292.3
2005db      15.53   1.10  18.01   3.44  16.49   1.71  14.94   0.84  19.01  14.68   0.92  17.11   2.83  15.61   1.42  14.12   0.72  18.16  14.43   1.02  16.85   3.11  15.35   1.56  13.87   0.79  17.91  NGC0214                     402.8   380.5
2006ep      18.10   3.58  21.53  17.37  19.38   6.45  17.44   2.65  21.58  17.22   2.98  19.51   8.55  18.12   4.52  16.70   2.34  20.70  16.87   3.15  19.30   9.64  17.80   4.82  16.42   2.56  20.35  NGC0214                     428.7   375.6
2008eo      17.15   2.31  19.49   6.81  18.13   3.64  16.84   2.01  20.63  16.20   1.86  18.55   5.49  17.20   2.96  15.83   1.57  19.68  16.06   2.16  19.32   9.73  17.52   4.24  15.60   1.75  19.54  UGC00442                    246.5   247.6
2011fq      17.29   2.47  19.99   8.55  18.50   4.31  16.82   1.99  20.77  17.00   2.70  19.33   7.87  18.00   4.28  16.64   2.28  20.48  16.33   2.46  18.69   7.28  17.31   3.86  15.95   2.06  19.81  UGC00442                    254.6   245.8
2001ii      16.19   1.48  20.47  10.66  18.96   5.33  17.47   2.68  19.66  15.40   1.29  19.69   9.29  18.18   4.63  16.69   2.34  18.88  15.21   1.47  19.42  10.16  17.91   5.07  16.47   2.62  18.69  UGC00444                    260.4   256.5
1973U       17.28   2.46  19.82   7.92  18.33   3.99  16.88   2.05  20.76  17.79   3.88 -99.00   0.01  21.36  20.06  17.10   2.82  21.27  15.87   1.99  18.14   5.64  16.78   3.01  15.52   1.69  19.35  IC0043                      260.8   257.8
2006et      15.70   1.19  19.03   5.49  17.53   2.76  16.02   1.37  19.18  15.13   1.14  18.51   5.40  17.01   2.71  15.47   1.33  18.61  14.72   1.17  18.13   5.62  16.61   2.79  15.04   1.36  18.20  NGC0232                     263.6   273.7
1982S       16.17   1.47  19.93   8.34  18.40   4.12  16.91   2.07  19.64  15.30   1.23  19.02   6.84  17.51   3.42  16.02   1.72  18.78  15.23   1.48  19.17   9.07  17.59   4.39  16.05   2.16  18.71  ESO150-020                  329.7   327.6
2007L       18.92   5.24 -99.00   0.01  21.67  18.57  18.74   4.82  22.40  17.77   3.84 -99.00   0.01 -99.00   0.01  17.39   3.23  21.25  18.08   5.49  21.56  27.26  19.76  11.92  17.98   5.24  21.56  UGC00466                    229.3   202.2
1991ar      17.34   2.52  19.97   8.49  18.34   4.01  16.76   1.93  20.81  16.37   2.02  18.41   5.16  17.08   2.79  16.04   1.73  19.85  17.22   3.70  22.84  49.13  19.01   8.43  16.35   2.48  20.70  IC0049                      221.8   242.7
2001dz      18.27   3.88  23.28  38.92  21.69  18.74  20.19   9.37  21.75  17.35   3.17  21.76  24.10  20.26  12.10  18.91   6.51  20.83  16.46   2.60  21.42  25.59  19.93  12.85  18.48   6.60  19.94  UGC00471                    413.1   421.1
2008gr      18.08   3.55  21.28  15.54  19.78   7.77  18.39   4.09  21.55  20.05  10.99 -99.00   0.01 -99.00   0.01  21.80  24.57  23.53  17.27   3.79  19.84  12.38  18.49   6.63  17.41   4.04  20.75  IC1579                      243.7   218.0
1940E       12.98   0.34   9.43   0.07   8.08   0.04   6.66   0.02  16.46  12.22   0.30   8.64   0.06   7.27   0.03   5.81   0.02  15.70  11.91   0.32   8.32   0.06   6.92   0.03   5.42   0.02  15.39  NGC0253                    2349.8  2327.3
1995am      17.24   2.41  19.86   8.08  18.40   4.12  16.91   2.08  20.72  16.83   2.49  19.75   9.54  18.12   4.52  16.45   2.09  20.31  17.75   4.73 -99.00   0.01  20.89  20.06  17.13   3.55  21.23  PGC002803                   233.4   216.2
1998de     -99.00   0.01  24.10  56.74 -99.00   0.01 -99.00   0.01 -99.00  19.54   8.69  20.46  13.25  19.41   8.19  20.29  12.28  23.02  17.30   3.84  20.03  13.50  18.47   6.57  17.09   3.47  20.78  NGC0252                     219.7   292.8
2005gl      16.23   1.51  18.78   4.90  17.25   2.43  15.75   1.21  19.70  15.43   1.31  17.86   4.01  16.38   2.03  14.97   1.06  18.91  15.39   1.59  17.74   4.71  16.32   2.44  14.91   1.28  18.87  NGC0266                     768.1   813.5
1985O       18.15   3.66  21.09  14.18  19.45   6.69  17.30   2.48  21.63  16.66   2.30  18.58   5.58  17.32   3.12  16.25   1.91  20.14  17.47   4.15  19.90  12.69  18.47   6.57  16.72   2.94  20.95  UGC00511                    351.2   355.8
2005eb      14.87   0.81  17.26   2.43  15.79   1.24  14.42   0.66  18.35  14.04   0.69  16.44   2.08  14.97   1.06  13.58   0.56  17.52  13.63   0.71  15.99   2.10  14.54   1.08  13.16   0.57  17.10  UGC00556                    216.0   223.1
2010da?     16.53   1.74  13.05   0.35  11.49   0.17   8.32   0.04  20.01  15.78   1.54  12.24   0.30  10.94   0.17   7.84   0.04  19.26  15.27   1.51  12.27   0.38  10.55   0.17   7.47   0.04  18.75  NGC0300                    2205.0  2301.3
1986K       17.95   3.34  18.05   3.51  16.98   2.14  16.88   2.05  21.43  17.82   3.93  17.94   4.15  17.28   3.07  16.84   2.51  21.30  21.33  24.57 -99.00   0.01  16.25   2.36  15.54   1.70  24.81  NGC0298                     269.0   311.4
2006gt      18.88   5.12  23.44  41.90  21.93  20.95  20.53  10.99  22.35  18.49   5.36  22.96  41.90  21.45  20.95  19.85  10.03  21.97  20.58  17.37  23.90  80.24  22.40  40.12  21.33  24.57  24.06  A005618-0137                235.0   211.5
2006nz      14.74   0.76 -99.00   0.01 -99.00   0.01 -99.00   0.01  18.22  13.96   0.67 -99.00   0.01 -99.00   0.01 -99.00   0.01  17.44  13.68   0.72 -99.00   0.01 -99.00   0.01 -99.00   0.01  17.16  A005629-0113                221.3   224.4
2008ee      14.06   0.56  16.23   1.52  14.72   0.76  13.15   0.37  17.54  13.36   0.50  15.55   1.38  14.03   0.69  12.44   0.33  16.83  13.11   0.56  15.26   1.50  13.76   0.75  12.21   0.37  16.59  NGC0307                     431.1   441.4
1999ge      15.96   1.34  18.83   5.02  17.35   2.54  15.89   1.30  19.44  15.23   1.19  18.10   4.48  16.62   2.26  15.17   1.16  18.71  15.31   1.53  18.31   6.12  16.80   3.05  15.25   1.50  18.79  NGC0309                     458.1   481.5
2008cx      17.38   2.58  20.06   8.86  18.61   4.54  17.39   2.59  20.86  17.35   3.17  19.78   9.68  18.39   5.12  17.37   3.20  20.83  17.80   4.82  22.23  37.14  19.76  11.92  17.80   4.82  21.27  NGC0309                     426.4   505.5
2012dt      17.99   3.41  20.77  12.28  19.25   6.09  17.93   3.31  21.47 -99.00   0.01  22.21  29.63  21.80  24.57 -99.00   0.01 -99.00  18.55   6.81  22.60  43.95  20.34  15.54  18.55   6.81  22.03  NGC0309                     530.2   515.4
1999gl      14.63   0.72  17.50   2.72  16.00   1.36  14.49   0.68  18.10  13.83   0.63  16.77   2.42  15.25   1.20  13.68   0.59  17.31  13.45   0.65  16.41   2.54  14.89   1.26  13.30   0.61  16.93  NGC0317B                    261.8   262.1
2014dj      14.30   0.62  17.28   2.46  15.76   1.22  14.16   0.58  17.78  13.41   0.52  16.44   2.08  14.90   1.03  13.27   0.48  16.89  12.93   0.51  16.02   2.13  14.47   1.04  12.78   0.48  16.41  NGC0317B                    260.6   261.6
1999ef      19.20   5.96 -99.00   0.01 -99.00   0.01  24.54  69.49  22.68  18.72   5.96  22.78  38.54  21.25  19.09  19.77   9.64  22.20  17.57   4.34  22.02  33.71  20.55  17.11  19.06   8.62  21.05  UGC00607                    190.5   200.5
2011dq      16.13   1.45  16.10   1.43  14.85   0.80  13.71   0.47  19.61  15.51   1.36  15.47   1.33  14.10   0.71  12.90   0.41  18.99  15.24   1.48  15.20   1.46  14.02   0.85  12.59   0.44  18.72  NGC0337                     565.9   552.3
2014cx      16.14   1.45  16.09   1.42  14.78   0.78  13.79   0.49  19.62  15.36   1.27  15.32   1.24  14.03   0.69  12.95   0.42  18.84  15.09   1.39  15.06   1.36  13.91   0.80  12.58   0.44  18.57  NGC0337                     564.8   554.2
2009mf      16.03   1.38  17.22   2.39  15.73   1.20  14.14   0.58  19.51  15.26   1.21  16.39   2.03  14.96   1.05  13.41   0.52  18.74  14.92   1.28  16.04   2.15  14.63   1.12  13.08   0.55  18.40  IC0065                      305.7   320.4
2006O       16.36   1.61  19.14   5.80  17.67   2.94  16.29   1.56  19.84  15.71   1.49  18.56   5.54  17.08   2.79  15.63   1.44  19.19  15.47   1.65  18.22   5.85  16.79   3.03  15.39   1.59  18.95  UGC00633                    175.5   151.0
2010gf      16.71   1.89  19.57   7.06  18.08   3.55  16.64   1.83  20.19  16.14   1.81  18.86   6.36  17.42   3.28  16.06   1.75  19.62  15.57   1.73  18.20   5.80  16.80   3.04  15.49   1.66  19.05  UGC00633                    170.0   188.0
1998dn      15.54   1.10  15.28   0.98  15.24   0.96  14.69   0.74  19.02  15.50   1.35  15.25   1.20  15.29   1.23  14.34   0.79  18.98  15.44   1.63  15.69   1.83 -99.00   0.01  14.21   0.93  18.92  NGC0337A                    417.3   236.2
2000dr      16.96   2.12  20.21   9.46  18.58   4.47  16.90   2.06  20.44  16.10   1.78  18.75   6.04  17.34   3.15  16.04   1.73  19.58  16.15   2.26  18.78   7.58  17.46   4.12  16.11   2.22  19.63  IC1610                      406.2   422.2
2003iz      20.53  10.99  23.85  50.75  23.03  34.74  22.04  21.97  24.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01  22.42  40.54  20.87  19.85  19.79  12.10 -99.00  UGC00638                    320.8   293.8
1998ef      14.46   0.67  17.20   2.37  15.77   1.23  14.43   0.66  17.94  13.87   0.64  16.69   2.33  15.23   1.19  13.84   0.63  17.34  13.66   0.72  16.49   2.64  15.04   1.35  13.63   0.71  17.13  UGC00646                    441.4   446.0
1970N       17.78   3.10  21.54  17.44  20.06   8.86  18.72   4.77  21.26  20.61  14.18 -99.00   0.01 -99.00   0.01 -99.00   0.01  24.08 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  NGC0365                     252.6   265.5
2000dk      15.73   1.20  18.66   4.64  17.14   2.31  15.61   1.14  19.21  15.12   1.13  18.17   4.62  16.62   2.26  14.97   1.06  18.60  14.77   1.19  18.02   5.35  16.39   2.52  14.63   1.12  18.25  NGC0382                     229.9   233.3
2014co      16.65   1.84  19.75   7.65  18.20   3.76  16.62   1.82  20.13  16.02   1.72  19.01   6.80  17.46   3.34  16.00   1.70  19.50  15.88   1.99  19.14   8.93  17.56   4.33  15.85   1.97  19.36  NGC0418                     231.2   217.8
1991at     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.27   3.79  20.90  20.16  19.49  10.54  18.17   5.71  20.75  UGC00733                    159.6   215.3
1995Y       16.27   1.54  18.97   5.35  17.51   2.73  16.08   1.42  19.75  15.71   1.49  18.35   5.01  16.92   2.60  15.52   1.36  19.19  15.59   1.75  18.38   6.30  16.88   3.17  15.39   1.59  19.07  NGC0410                     412.3   396.1
2000di      16.15   1.46  19.22   6.01  17.73   3.02  16.26   1.54  19.62  15.75   1.52  18.82   6.24  17.35   3.17  15.87   1.60  19.23  14.92   1.28  17.83   4.89  16.38   2.51  15.02   1.34  18.40  IC1637                      446.3   445.4
1967J       16.94   2.10  19.49   6.81  18.02   3.46  16.47   1.70  20.42  15.98   1.68  18.57   5.55  17.05   2.76  15.52   1.36  19.46  15.69   1.83  18.65   7.13  16.92   3.23  15.22   1.47  19.17  PGC004234                   222.3   222.7
2013ct      15.78   1.23  14.80   0.78  13.36   0.40  11.88   0.20  19.26  15.25   1.20  14.12   0.71  12.67   0.37  11.22   0.19  18.73  14.93   1.29  13.89   0.80  12.45   0.41  11.14   0.22  18.41  NGC0428                     348.5   329.7
2006eb      15.65   1.16  18.34   4.00  16.84   2.01  15.40   1.03  19.13  14.98   1.06  17.68   3.68  16.18   1.85  14.72   0.94  18.45  14.63   1.12  17.37   3.95  15.85   1.97  14.38   1.00  18.10  UGC00771                    294.2   288.3
2006di      15.44   1.05  18.44   4.19  16.94   2.10  15.46   1.06  18.92  14.95   1.05  18.12   4.50  16.56   2.20  14.97   1.06  18.42  14.58   1.09  17.51   4.23  16.04   2.15  14.60   1.11  18.06  NGC0439                     919.5   934.1
2012hd      14.56   0.70  16.57   1.78  15.03   0.87  13.40   0.41  18.04  13.92   0.65  15.98   1.68  14.39   0.81  12.72   0.38  17.39  13.63   0.71  15.61   1.76  14.09   0.87  12.43   0.41  17.10  IC1657                      268.8   269.9
2005ir      17.12   2.28  23.82  49.92  22.21  23.83  20.26   9.68  20.60  15.97   1.68  21.71  23.53  20.19  11.70  18.66   5.78  19.45  16.02   2.12  21.85  31.17  20.32  15.44  18.79   7.63  19.49  A011643+0047                213.0   224.8
2008ep      17.91   3.28  21.26  15.35  19.70   7.49  18.01   3.44  21.39  16.96   2.65  20.18  11.66  18.62   5.67  17.04   2.75  20.44  17.50   4.21  24.34  98.27  20.45  16.38  17.60   4.41  20.98  UGC00826                    196.8   191.6
