# SITEPH_SDSS SITE PHOTOMETRY - Sat Jan  3 16:51:45 2015
# SN           mj  mjerr    mj.5 mjerr    mj1  mjerr    mj2  mjerr    sbj     mh  mherr   mh.5  mherr    mh1  mherr    mh2  mherr    sbh     mk  mkerr   mk.5  mkerr    mk1  mkerr    mk2  mkerr    sbk  host                          snx     sny
2001eb      15.23   0.95  17.38   2.57  15.90   1.30  14.40   0.65  18.71  14.54   0.87  16.77   2.42  15.23   1.19  13.70   0.59  18.01  14.17   0.91  16.34   2.46  14.84   1.23  13.35   0.62  17.65  NGC1589                     837.9   861.9
2007rz      14.62   0.72  16.80   1.97  15.32   1.00  13.91   0.52  18.10  13.92   0.65  16.08   1.76  14.62   0.90  13.22   0.47  17.40  13.55   0.68  15.70   1.84  14.24   0.94  12.87   0.50  17.03  NGC1590                     231.0   240.7
2005aq      16.85   2.02  19.24   6.07  17.73   3.02  16.12   1.44  20.33  16.51   2.15  18.72   5.96  17.25   3.02  15.89   1.62  19.99  16.29   2.41  18.73   7.41  17.06   3.44  15.91   2.02  19.77  NGC1599                     184.9   201.6
1996D       14.37   0.64  17.08   2.25  15.58   1.12  14.02   0.55  17.85  13.61   0.57  16.33   1.98  14.83   0.99  13.26   0.48  17.09  13.21   0.58  15.95   2.06  14.45   1.03  12.85   0.49  16.69  NGC1614                     332.0   339.6
2009K       15.17   0.93  17.20   2.36  15.69   1.18  14.14   0.58  18.65  14.59   0.89  16.55   2.19  15.09   1.12  13.57   0.56  18.07  14.13   0.89  16.18   2.29  14.66   1.14  13.14   0.57  17.61  NGC1620                     691.5   687.4
2006lf      16.25   1.53  18.67   4.65  17.08   2.24  15.46   1.06  19.72  15.29   1.22  17.58   3.51  16.07   1.75  14.53   0.87  18.76  14.87   1.25  17.27   3.79  15.70   1.83  14.10   0.88  18.35  UGC03108                    282.9   283.4
1999em      15.46   1.07  14.51   0.69  13.01   0.34  11.46   0.17  18.94  14.90   1.03  13.92   0.65  12.38   0.32  10.82   0.16  18.38  14.84   1.24  13.79   0.76  12.16   0.36  10.54   0.17  18.32  NGC1637                     394.7   361.1
2004B       16.50   1.72  19.13   5.75  17.63   2.89  16.16   1.47  19.98  15.87   1.60  18.41   5.16  16.95   2.63  15.54   1.38  19.35  15.51   1.68  18.66   7.17  16.94   3.25  15.10   1.39  18.99  IC0390                      297.8   324.2
1990aj      17.97   3.37  18.30   3.93  16.69   1.87  14.96   0.84  21.45  16.87   2.53  17.23   3.00  15.68   1.47  14.24   0.76  20.34  17.04   3.41  17.57   4.34  15.65   1.79  14.03   0.85  20.52  NGC1640                     470.7   534.7
1995G       16.08   1.42  18.68   4.68  17.22   2.39  15.83   1.26  19.56  15.34   1.26  17.77   3.85  16.38   2.02  15.12   1.13  18.82  15.18   1.45  17.56   4.33  16.20   2.31  14.95   1.30  18.66  NGC1643                     328.2   348.2
1999et      16.28   1.55  19.05   5.55  17.54   2.77  16.02   1.37  19.76  15.81   1.56  18.54   5.48  17.03   2.73  15.53   1.37  19.29  15.14   1.42  17.75   4.72  16.30   2.41  14.88   1.26  18.62  NGC1643                     338.5   322.2
2001ef      14.84   0.80  16.49   1.71  14.99   0.85  13.39   0.41  18.32  14.14   0.72  15.83   1.58  14.29   0.78  12.70   0.37  17.62  13.75   0.75  15.41   1.60  13.90   0.80  12.33   0.39  17.23  IC0381                      361.6   368.3
1995bd      15.49   1.08  18.00   3.42  16.52   1.73  15.15   0.92  18.96  14.55   0.87  17.03   2.74  15.57   1.40  14.22   0.75  18.03  14.23   0.93  16.82   3.07  15.31   1.53  13.87   0.79  17.71  UGC03151                    246.4   267.0
1986N       15.46   1.07  18.13   3.63  16.60   1.80  15.02   0.87  18.94  14.62   0.90  17.26   3.04  15.74   1.51  14.18   0.74  18.10  14.42   1.02  17.00   3.34  15.52   1.69  13.98   0.83  17.90  NGC1667                     524.6   504.4
1997aa      18.30   3.93  20.45  10.60  18.90   5.18  17.61   2.86  21.78  17.88   4.04  20.29  12.28  18.60   5.64  16.94   2.62  21.36  18.19   5.79  19.30   9.64  18.23   5.87  18.83   7.77  21.67  IC2102                      371.2   321.0
2001ep      16.28   1.55  18.34   4.01  16.96   2.12  15.57   1.12  19.76  15.66   1.45  17.87   4.03  16.39   2.04  15.00   1.07  19.14  15.78   1.90  17.79   4.80  16.45   2.59  15.02   1.34  19.25  NGC1699                     213.1   211.3
2001B       15.34   1.01  15.58   1.12  14.08   0.56  12.53   0.28  18.82  14.67   0.92  14.92   1.03  13.42   0.52  11.91   0.26  18.15  14.41   1.01  14.64   1.13  13.19   0.58  11.62   0.28  17.89  IC0391                      381.9   369.4
2004ff      15.92   1.32  19.47   6.73  17.94   3.32  16.39   1.63  19.40  15.15   1.15  18.71   5.93  17.18   2.93  15.62   1.43  18.63  14.98   1.32  18.47   6.58  16.95   3.26  15.44   1.63  18.46  ESO552-040                  233.2   218.8
2006gc      17.23   2.40  20.69  11.83  19.21   5.98  17.92   3.30  20.71  18.39   5.12 -99.00   0.01 -99.00   0.01  21.36  20.06  21.87 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  UGC03219                    201.7   204.3
1992bh      18.17   3.70  23.97  53.49  21.96  21.19  20.29   9.83  21.65  17.53   3.44  21.93  26.15  20.63  14.33  19.22   7.49  21.01  20.14  14.18 -99.00   0.01 -99.00   0.01 -99.00   0.01  23.62  A045927-5849                220.2   224.3
2012ap      20.77  12.28 -99.00   0.01 -99.00   0.01  17.67   2.94  24.25  17.74   3.79  19.34   7.92  18.04   4.34  17.91   4.09  21.22 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  NGC1729                     245.4   230.2
2006le      17.55   2.78  21.09  14.18  19.38   6.45  17.39   2.59  21.03  16.24   1.90  19.29   7.72  17.75   3.80  16.09   1.77  19.72  16.80   3.05  20.03  13.50  18.55   6.81  16.59   2.76  20.28  UGC03218                    481.0   509.5
2011M       15.86   1.28  18.86   5.10  17.31   2.49  15.72   1.20  19.33  15.05   1.10  17.90   4.08  16.42   2.06  14.92   1.04  18.53  14.68   1.15  17.50   4.21  16.03   2.13  14.55   1.08  18.16  UGC03218                    484.0   469.1
2005dr      17.28   2.46  21.62  18.17  20.12   9.09  18.69   4.71  20.76  16.43   2.08  20.61  14.22  19.14   7.22  17.71   3.74  19.91  16.48   2.63  20.56  17.17  19.07   8.65  17.72   4.64  19.96  UGC03229                    301.0   301.1
2009ad      15.90   1.30  19.89   8.19  18.38   4.08  16.85   2.01  19.38  15.18   1.17  19.12   7.14  17.62   3.59  16.10   1.78  18.66  14.73   1.18  18.58   6.91  17.07   3.45  15.61   1.76  18.21  UGC03236                    197.2   209.5
2002cy      17.91   3.28  20.96  13.37  19.20   5.96  17.64   2.90  21.39  17.01   2.71  20.02  10.85  18.47   5.30  16.64   2.28  20.49 -99.00   0.01 -99.00   0.01 -99.00   0.01  20.58  17.37 -99.00  NGC1762                     233.7   213.8
2006aw      15.19   0.94  18.00   3.42  16.46   1.69  14.94   0.83  18.67  14.52   0.86  17.36   3.18  15.82   1.56  14.26   0.76  18.00  14.27   0.95  17.00   3.34  15.51   1.68  14.01   0.84  17.75  ESO085-038                  297.3   286.5
2007U       17.38   2.58  21.08  14.11  19.57   7.06  18.12   3.62  20.86  16.70   2.34  21.00  16.98  19.34   7.92  17.63   3.60  20.17  17.06   3.44  21.01  21.19  19.48  10.48  17.88   5.01  20.54  ESO552-065                  226.1   206.3
1993af     -99.00   0.01 -99.00   0.01 -99.00   0.01  16.57   1.77 -99.00 -99.00   0.01  19.85  10.03  16.24   1.90 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  NGC1808                     877.4  1184.7
2004gw      17.56   2.80  20.35  10.08  18.86   5.10  17.43   2.63  21.04  16.98   2.66  19.90  10.25  18.44   5.24  16.80   2.46  20.45  17.57   4.34 -99.00   0.01 -99.00   0.01  17.27   3.79  21.05  PGC016812                   175.2   182.4
2003F       16.03   1.38  18.84   5.03  17.37   2.56  15.90   1.30  19.51  15.38   1.28  18.33   4.98  16.81   2.47  15.25   1.20  18.86  14.91   1.28  17.69   4.59  16.21   2.32  14.79   1.21  18.39  UGC03261                    259.8   278.8
2003gw      15.96   1.34  19.18   5.90  17.69   2.96  16.19   1.49  19.44  15.02   1.08  18.11   4.50  16.63   2.28  15.22   1.19  18.50  14.84   1.24  18.15   5.66  16.63   2.82  15.07   1.37  18.32  UGC03252                    171.3   190.3
2014aj      15.81   1.25  18.95   5.31  17.46   2.67  16.01   1.37  19.29  15.13   1.14  18.32   4.96  16.83   2.49  15.35   1.26  18.61  14.88   1.26  18.13   5.61  16.63   2.81  15.10   1.40  18.36  UGC03252                    192.6   197.5
2005el      19.27   6.14  21.93  20.95  20.43  10.48  18.74   4.82  22.75  17.39   3.23  19.88  10.14  18.33   4.96  16.99   2.68  20.87  16.65   2.84  19.93  12.90  17.95   5.18  16.15   2.26  20.12  NGC1819                     587.9   604.3
2004gq      15.63   1.15  15.08   0.89  13.62   0.46  12.27   0.25  19.11  14.97   1.06  14.42   0.82  12.99   0.42  11.58   0.22  18.45  14.88   1.26  14.29   0.96  12.73   0.47  11.35   0.25  18.36  NGC1832                     272.9   315.7
2009kr      15.93   1.32  15.44   1.05  14.04   0.55  12.69   0.30  19.41  15.38   1.28  14.85   1.00  13.43   0.52  11.97   0.27  18.86  15.07   1.37  14.56   1.09  13.13   0.56  11.81   0.31  18.55  NGC1832                     294.7   257.7
2001di      18.92   5.24  21.79  19.65  20.29   9.83  18.66   4.64  22.40 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.88   5.01  21.74  29.63  19.64  11.27  17.54   4.28  21.36  UGC03259                    414.2   460.3
2007Z       15.25   0.97  18.13   3.63  16.64   1.83  15.17   0.93  18.73  14.38   0.80  17.26   3.03  15.76   1.52  14.29   0.77  17.85  13.98   0.83  16.85   3.11  15.36   1.57  13.90   0.80  17.46  PGC016993                   459.4   450.8
1953L?      16.08   1.41  19.57   7.06  18.07   3.54  16.57   1.77  19.56  15.57   1.40  19.13   7.20  17.63   3.60  16.11   1.79  19.05  15.29   1.52  18.91   8.04  17.39   4.00  15.84   1.96  18.77  UGC03267                    281.4   282.6
2006is     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  A051734-2346                219.4   224.3
2012fi      19.49   6.81  20.92  13.13  19.78   7.77  18.39   4.09  22.97  18.60   5.64  23.30  49.13  19.54   8.69  16.89   2.56  22.08  18.14   5.64  20.34  15.54  18.83   7.77  16.89   3.17  21.61  PGC017166                   164.3   158.9
2013fp      18.20   3.75  21.53  17.37  19.20   5.96  16.98   2.14  21.67  17.10   2.82  18.97   6.69  17.63   3.60  16.19   1.85  20.58  15.98   2.08  17.95   5.16  16.52   2.68  15.13   1.41  19.45  IC0421                      372.9   395.6
2010ko      17.46   2.66  19.60   7.17  17.85   3.20  16.48   1.70  20.93  17.39   3.23  19.12   7.17  17.64   3.62  17.35   3.17  20.87  17.57   4.34  18.68   7.24  17.64   4.49  17.13   3.55  21.05  NGC1954                     419.4   315.6
2011fi      19.03   5.49  19.96   8.43  18.97   5.36  20.02   8.69  22.51  17.74   3.79  19.27   7.67  18.00   4.28  17.51   3.41  21.22  17.47   4.15  18.92   8.08  17.75   4.73  16.33   2.46  20.95  NGC1954                     370.7   344.5
2013ex      18.03   3.47  19.75   7.67  18.30   3.93  17.01   2.17  21.51  17.88   4.04  18.65   5.75  17.85   3.99  17.60   3.55  21.36  16.82   3.07  19.04   8.55  17.27   3.79  15.30   1.52  20.30  NGC1954                     460.5   496.1
1999ek      16.38   1.62  19.48   6.77  17.96   3.37  16.37   1.62  19.86  15.38   1.28  18.44   5.24  16.93   2.62  15.37   1.27  18.86  15.01   1.34  17.83   4.90  16.37   2.50  15.00   1.33  18.49  UGC03329                    366.5   344.2
2009jz      18.17   3.70  23.44  41.90  21.75  19.27  19.11   5.71  21.65  18.22   4.73  21.77  24.19  20.48  13.37  18.97   6.69  21.70  16.85   3.12  21.69  28.98  19.67  11.42  17.64   4.49  20.33  ESO159-023                  240.2   222.3
1992ba      15.74   1.21  15.19   0.94  13.94   0.53  12.64   0.29  19.22  15.09   1.12  14.52   0.86  13.17   0.46  11.87   0.25  18.57  14.83   1.23  14.29   0.96  13.06   0.54  11.80   0.30  18.31  NGC2082                     576.8   554.1
1998eb      16.16   1.47  18.54   4.39  16.98   2.14  15.42   1.04  19.64  15.40   1.29  17.66   3.66  16.17   1.84  14.68   0.93  18.88  15.00   1.33  17.22   3.69  15.74   1.87  14.35   0.98  18.48  NGC1961                    1112.7  1133.9
2001is      16.80   1.97  19.11   5.71  17.58   2.82  16.04   1.39  20.28  15.83   1.58  18.08   4.43  16.58   2.22  15.15   1.15  19.31  15.55   1.71  17.80   4.82  16.31   2.43  14.80   1.21  19.03  NGC1961                    1128.0  1102.1
2013cc      17.18   2.34  19.44   6.66  17.93   3.31  16.40   1.64  20.65  15.68   1.47  17.59   3.54  16.26   1.92  15.21   1.18  19.16  16.21   2.32  18.09   5.53  16.79   3.04  15.67   1.81  19.69  NGC1961                    1182.8  1088.5
2001ez      15.33   1.00  17.51   2.74  16.04   1.39  14.61   0.72  18.81  14.54   0.87  16.80   2.46  15.29   1.23  13.81   0.62  18.02  14.46   1.04  16.65   2.84  15.18   1.45  13.74   0.75  17.94  PGC017642                   253.2   260.1
2004J       16.78   1.95  20.28   9.80  18.86   5.10  17.42   2.63  20.26  16.37   2.01  20.01  10.75  18.50   5.38  17.03   2.74  19.84  15.49   1.67  18.75   7.48  17.30   3.84  15.99   2.10  18.97  ESO554-033                  205.0   195.8
2003hx      13.63   0.46  14.69   0.74  13.19   0.37  11.76   0.19  17.11  12.76   0.38  13.83   0.63  12.31   0.31  10.83   0.16  16.24  12.37   0.40  13.48   0.66  11.90   0.32  10.37   0.16  15.85  NGC2076                     459.0   449.3
2003hz      15.44   1.05  18.53   4.36  17.05   2.21  15.62   1.14  18.92  14.67   0.92  17.83   3.94  16.33   1.98  14.86   1.01  18.15  14.51   1.06  17.96   5.19  16.36   2.49  14.72   1.17  17.98  PGC017866                   227.4   226.1
2005gn      15.93   1.32  20.63  11.50  19.12   5.73  17.60   2.85  19.40  15.60   1.41  20.31  12.38  18.84   6.29  17.32   3.13  19.08  15.03   1.35  19.46  10.39  17.97   5.22  16.50   2.66  18.51  ESO488-030                  270.6   277.7
2005io      19.08   5.64  21.53  17.37  19.68   7.41  17.32   2.51  22.56  18.49   5.36  20.17  11.58  18.86   6.34  17.60   3.55  21.97  18.32   6.14 -99.00   0.01  20.14  14.18  16.47   2.62  21.80  UGC03361                    186.8   196.1
2006ke      15.44   1.06  18.49   4.29  16.94   2.10  15.28   0.98  18.92  14.66   0.92  17.73   3.77  16.17   1.84  14.50   0.85  18.14  14.34   0.98  17.25   3.75  15.78   1.91  14.17   0.91  17.82  UGC03365                    472.6   482.9
1997B       17.31   2.49  19.38   6.45  17.71   3.00  16.13   1.45  20.79  16.62   2.26  18.31   4.94  16.94   2.62  15.62   1.43  20.10  15.73   1.86  17.29   3.81  15.99   2.10  14.92   1.28  19.21  IC0438                      719.0   770.7
2001gc      15.33   1.00  18.43   4.18  16.94   2.10  15.44   1.05  18.81  14.55   0.87  17.62   3.59  16.13   1.80  14.65   0.91  18.02  14.21   0.93  17.31   3.85  15.80   1.92  14.32   0.97  17.69  UGC03375                    317.6   322.0
2009J       17.34   2.52  19.52   6.90  18.17   3.70  17.17   2.33  20.81  17.53   3.44  20.92  16.38  19.01   6.81  17.19   2.94  21.01  16.44   2.58  19.39  10.03  17.82   4.87  16.14   2.25  19.91  IC2160                      745.1   712.0
2009iw      16.08   1.41  18.84   5.03  17.30   2.48  15.78   1.23  19.55  15.54   1.37  18.31   4.93  16.80   2.46  15.21   1.18  19.01  15.01   1.33  17.48   4.16  16.07   2.18  14.76   1.19  18.49  IC2160                      729.8   716.9
2003ij     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.60   4.41  19.86  12.48  18.53   6.75  17.57   4.34  21.08  UGC03336                    352.5   317.5
2006nr      19.78   7.77  21.53  17.37  20.29   9.83  19.89   8.19  23.26  17.57   3.51  20.38  12.79  18.97   6.69  17.60   3.55  21.05  17.09   3.47  21.56  27.26  19.26   9.46  17.11   3.51  20.56  UGC03336                    307.2   334.6
2004ep      15.03   0.87  15.86   1.28  14.30   0.62  12.48   0.27  18.51  14.38   0.81  15.24   1.20  13.64   0.57  11.82   0.25  17.86  14.12   0.89  14.93   1.29  13.40   0.64  11.60   0.28  17.60  IC2152                      325.2   321.4
1996by      18.15   3.66  20.43  10.48  19.03   5.49  17.44   2.65  21.63  17.01   2.71  18.97   6.69  17.69   3.70  16.42   2.06  20.49  16.13   2.23  18.53   6.75  16.97   3.30  15.64   1.78  19.60  UGC03379                    450.4   420.4
2012fd      14.99   0.86  18.24   3.82  16.73   1.91  15.17   0.93  18.47  14.34   0.79  17.66   3.65  16.14   1.81  14.53   0.86  17.82  14.13   0.89  17.45   4.11  15.93   2.04  14.32   0.97  17.61  ESO488-051                  261.9   254.7
1995ad      16.28   1.55  17.05   2.21  15.61   1.14  14.18   0.59  19.76  15.29   1.22  15.90   1.62  14.77   0.97  13.60   0.56  18.76  14.89   1.27  15.60   1.75  14.25   0.94  13.10   0.55  18.37  NGC2139                     796.5   762.2
2007pl      14.15   0.58  17.59   2.84  16.18   1.48  14.85   0.80  17.63  13.41   0.52  16.86   2.53  15.45   1.32  14.11   0.71  16.89  13.20   0.58  16.65   2.85  15.24   1.49  13.90   0.80  16.68  ESO205-018                  257.7   259.0
2010lt      17.25   2.42  20.31   9.93  18.80   4.94  17.26   2.43  20.73  16.23   1.89  19.18   7.37  17.71   3.74  16.23   1.89  19.71  15.91   2.02  18.91   8.05  17.38   3.97  15.91   2.03  19.39  UGC03378                    204.0   195.6
2002av     -99.00   0.01  25.43 105.05  24.10  56.74  22.42  26.26 -99.00  19.01   6.81  23.21  46.98  21.48  21.19  20.02  10.85  22.49 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  ESO489-007                  171.4   200.1
1996bn      16.06   1.40  18.74   4.82  17.10   2.26  15.20   0.94  19.54  15.14   1.14  17.69   3.70  16.10   1.78  14.34   0.79  18.62  14.79   1.20  17.29   3.83  15.74   1.87  13.99   0.84  18.26  UGC03430                    278.9   270.6
2002em      17.16   2.32  19.63   7.24  18.08   3.55  16.45   1.68  20.64  16.56   2.20  19.06   6.95  17.51   3.41  15.77   1.53  20.04  15.78   1.90  17.81   4.85  16.50   2.65  15.20   1.46  19.25  UGC03430                    257.4   274.9
1996bv      15.67   1.17  18.36   4.03  16.87   2.03  15.42   1.04  19.15  14.76   0.96  17.47   3.34  15.96   1.67  14.52   0.86  18.24  14.49   1.05  17.20   3.66  15.70   1.83  14.24   0.94  17.97  UGC03432                    243.0   242.6
2003kb      16.07   1.41  18.85   5.05  17.32   2.50  15.83   1.26  19.55  15.22   1.19  17.86   4.01  16.39   2.04  14.98   1.06  18.70  15.09   1.39  17.95   5.17  16.41   2.54  14.82   1.22  18.57  UGC03432                    246.7   247.1
1975A       18.59   4.49  19.30   6.24  18.66   4.64  17.83   3.17  22.07 -99.00   0.01  19.85  10.03 -99.00   0.01 -99.00   0.01 -99.00  16.75   2.98  18.19   5.79  16.85   3.12  16.69   2.90  20.23  NGC2207                    1103.7  1218.6
1999ec      16.34   1.59  17.79   3.11  16.42   1.66  15.19   0.94  19.82  15.86   1.60  17.51   3.41  15.98   1.68  14.45   0.83  19.34  15.58   1.73  17.20   3.66  15.69   1.83  14.18   0.91  19.05  NGC2207                    1245.9  1175.1
2003H       15.68   1.18  17.33   2.52  15.80   1.24  14.26   0.61  19.16  15.03   1.09  16.61   2.25  15.13   1.14  13.54   0.55  18.51  14.67   1.14  16.26   2.38  14.78   1.20  13.24   0.59  18.15  NGC2207                    1113.2  1161.4
2013ai      16.31   1.57  17.73   3.02  16.38   1.62  15.05   0.88  19.79  15.77   1.53  17.55   3.47  15.89   1.62  14.36   0.80  19.25  15.68   1.82  17.33   3.88  15.81   1.93  14.43   1.02  19.16  NGC2207                    1215.6  1152.3
2005V       12.21   0.24  13.12   0.36  11.58   0.18  10.35   0.10  15.69  11.33   0.20  12.27   0.31  10.67   0.15   9.32   0.08  14.81  10.87   0.20  11.84   0.31  10.19   0.15   8.75   0.07  14.35  NGC2146                     970.6   968.0
2008M       17.52   2.75  18.43   4.18  17.31   2.49  16.19   1.49  21.00  16.17   1.84  17.19   2.94  15.91   1.63  15.04   1.09  19.65 -99.00   0.01 -99.00   0.01 -99.00   0.01  16.82   3.07 -99.00  ESO121-026                  680.7   737.3
2009mg      17.04   2.20  18.12   3.62  16.76   1.93  15.32   1.00  20.52  16.57   2.22  18.11   4.49  16.26   1.91  14.78   0.97  20.05  16.98   3.31  18.75   7.49  16.62   2.80  14.66   1.14  20.46  ESO121-026                  653.7   696.7
2012hr     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  18.18   4.64  19.48   8.43  17.77   3.84  18.35   5.01  21.66 -99.00   0.01 -99.00   0.01 -99.00   0.01  19.08   8.69 -99.00  ESO121-026                  702.1   792.1
1993K       16.93   2.09  18.32   3.96  17.00   2.16  15.60   1.14  20.41  16.65   2.29  18.28   4.87  16.74   2.39  15.26   1.21  20.13  15.82   1.94  17.38   3.97  15.91   2.02  14.43   1.02  19.30  NGC2223                     307.6   366.0
1986O       16.44   1.67  17.64   2.90  16.16   1.47  14.64   0.73  19.92  16.19   1.86  17.66   3.65  15.84   1.58  14.11   0.71  19.67  15.76   1.88  17.17   3.61  15.45   1.63  13.85   0.78  19.24  NGC2227                     274.6   249.8
2012ej      16.99   2.15  18.65   4.62  16.99   2.15  15.29   0.98  20.46  16.41   2.05  18.27   4.84  16.42   2.06  14.72   0.94  19.89  15.53   1.70  16.86   3.13  15.54   1.70  14.23   0.93  19.01  IC2166                      297.9   276.8
1999ao      15.90   1.30  21.18  14.81  19.65   7.31  18.10   3.59  19.38  15.10   1.12  20.15  11.51  18.67   5.82  17.17   2.92  18.57  14.92   1.28  20.07  13.73  18.56   6.85  17.02   3.37  18.40  A062726-3550                220.0   224.3
1993ai      17.11   2.27  21.20  14.94  19.73   7.60  18.29   3.92  20.59  16.33   1.98  20.33  12.48  18.80   6.18  17.42   3.27  19.81  16.40   2.53  20.72  18.49  19.04   8.55  17.70   4.60  19.88  UGC03483                    340.7   317.0
2002kf      18.22   3.79  21.18  14.81  19.75   7.67  18.42   4.15  21.70  18.11   4.49  20.78  15.35  19.38   8.08  18.30   4.91  21.58  17.20   3.66  20.51  16.85  19.01   8.43  17.44   4.09  20.68  A063715+4951                221.5   224.7
2008bq      16.71   1.89  21.00  13.63  19.56   7.02  18.09   3.56  20.19  15.80   1.55  19.98  10.64  18.54   5.47  17.06   2.77  19.28  15.42   1.62  19.72  11.70  18.21   5.84  16.76   2.99  18.90  ESO308-025                  172.3   154.8
2012hn      17.64   2.90  18.68   4.68  17.32   2.51  15.96   1.34  21.11  17.08   2.80  18.42   5.18  16.70   2.34  15.19   1.17  20.56  20.14  14.18 -99.00   0.01  18.83   7.77  15.04   1.36  23.62  NGC2272                     245.8   306.8
1998fa      16.39   1.63  20.18   9.33  18.68   4.68  17.08   2.24  19.87  15.50   1.35  19.10   7.10  17.62   3.59  16.13   1.81  18.97  15.69   1.83  19.85  12.43  18.25   5.94  16.50   2.66  19.17  UGC03513                    254.9   255.5
2003bq      17.68   2.96  21.27  15.44  19.78   7.77  18.30   3.93  21.16  16.98   2.66  20.27  12.14  18.78   6.12  17.42   3.27  20.45  17.04   3.41  22.02  33.71  20.39  15.94  17.86   4.96  20.52  UGC03513                    270.5   256.5
2001fz      17.95   3.34  18.66   4.64  17.52   2.75  15.75   1.22  21.43  17.28   3.07  17.86   4.01  17.04   2.75  16.76   2.41  20.76  19.83  12.28 -99.00   0.01  17.09   3.47  14.65   1.13  23.31  NGC2280                    1146.5  1230.9
1997E       17.29   2.47  19.57   7.06  18.21   3.77  16.88   2.05  20.77  16.35   2.00  18.93   6.57  17.43   3.28  15.89   1.62  19.83  16.33   2.46  18.62   7.06  17.21   3.68  16.02   2.12  19.81  NGC2258                     446.4   470.0
2000ev      17.43   2.63  19.49   6.81  18.17   3.70  17.05   2.21  20.91  17.94   4.15  21.05  17.37  19.48   8.43  17.04   2.75  21.42  15.87   1.99  18.10   5.55  16.73   2.95  15.45   1.63  19.35  UGC03500                    385.8   397.3
2005dj      20.53  10.99 -99.00   0.01 -99.00   0.01  18.22   3.79  24.01  18.22   4.73 -99.00   0.01  19.10   7.09  17.35   3.17  21.70 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  UGC03545                    224.9   234.0
1999ed      16.72   1.90  19.37   6.42  17.93   3.31  16.49   1.71  20.19  15.69   1.48  18.48   5.32  16.98   2.66  15.50   1.35  19.17  15.58   1.73  18.50   6.67  16.95   3.26  15.36   1.57  19.05  UGC03555                    220.1   228.3
2004ge      15.04   0.88  17.83   3.16  16.33   1.58  14.82   0.79  18.52  14.38   0.81  17.14   2.88  15.66   1.45  14.16   0.73  17.86  13.98   0.83  16.77   3.01  15.27   1.51  13.76   0.75  17.46  UGC03555                    231.2   235.8
2000H       16.07   1.41  18.49   4.29  16.97   2.13  15.43   1.05  19.55  15.04   1.09  17.31   3.10  15.85   1.59  14.46   0.84  18.52  14.86   1.25  17.09   3.48  15.66   1.80  14.28   0.96  18.34  IC0454                      182.9   202.7
1998ec      17.29   2.47  21.05  13.97  19.46   6.72  17.82   3.15  20.77  17.34   3.15  21.91  25.81  20.00  10.72  17.99   4.24  20.81  16.22   2.33  19.49  10.54  18.03   5.38  16.63   2.82  19.70  UGC03576                    363.1   374.7
2001ex      15.46   1.06  19.48   6.78  17.97   3.38  16.37   1.61  18.94  14.75   0.95  18.77   6.08  17.26   3.04  15.65   1.45  18.22  14.53   1.07  18.64   7.09  17.12   3.54  15.47   1.65  18.01  UGC03595                    321.5   317.5
2010ir      16.62   1.81  18.16   3.68  16.65   1.84  15.36   1.01  20.10  15.99   1.69  17.44   3.30  16.02   1.72  14.61   0.90  19.47  15.68   1.82  17.10   3.49  15.71   1.85  14.18   0.91  19.16  ESO491-012                  240.4   254.7
2001C       18.25   3.84  20.17   9.29  18.66   4.64  17.01   2.17  21.73  17.79   3.88  19.69   9.29  18.14   4.56  16.68   2.32  21.27  17.75   4.73  22.84  49.13  18.47   6.57  16.10   2.21  21.23  PGC019975                   210.8   219.8
2007bb      18.12   3.62  20.88  12.90  19.47   6.75  18.25   3.84  21.60 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.64   4.49 -99.00   0.01  20.34  15.54  17.98   5.24  21.12  UGC03627                    184.2   194.1
2009ii      17.80   3.12  20.96  13.37  19.52   6.88  18.12   3.62  21.28  16.70   2.34  20.21  11.83  18.56   5.53  17.00   2.70  20.17  16.98   3.31  20.21  14.65  18.68   7.24  17.25   3.75  20.46  UGC03627                    201.9   187.0
2005na      14.71   0.75  18.48   4.27  17.00   2.16  15.50   1.08  18.19  13.98   0.67  17.78   3.85  16.29   1.94  14.79   0.97  17.46  13.65   0.71  17.44   4.09  15.95   2.06  14.46   1.04  17.12  UGC03634                    199.2   190.7
