#SN    zhel   zcmb   ebvmw mjdmax    bmag     err    s      err     clr     err     cos     use
2007co 0.0270 0.0266 0.113 54264.49  16.451   0.046  0.948  0.013   0.081   0.015    1       1
2007cq 0.0259 0.0247 0.109 54280.36  15.838   0.045  0.920  0.017   0.020   0.016    1       1
2007F  0.0236 0.0242 0.017 54123.19  15.901   0.012  1.068  0.013  -0.015   0.010    1       1
2007N  0.0129 0.0140 0.040 54123.28 -99.999  -9.999  0.500  0.200 -99.999  -9.999    1       1
2007O  0.0362 0.0366 0.023 54124.40  16.780   0.045  0.933  0.036  -0.029   0.021    1       1
2007qe 0.0240 0.0229 0.038 54428.94  16.048   0.018  1.053  0.010   0.064   0.010    1       1
2007R  0.0308 0.0312 0.047 54128.65  16.652   0.049  0.816  0.022  -0.086   0.022    0       1
2007S  0.0139 0.0134 0.028 54143.96  15.823   0.014  1.130  0.012   0.408   0.008    1       1
2007sr 0.0055 0.0067 0.047 54448.13  12.757   0.035  0.989  0.023   0.118   0.014    1       1
2008af 0.0335 0.0341 0.034 54500.69  16.782   0.079  0.851  0.029  -0.001   0.027    1       1
2008bf 0.0240 0.0251 0.035 54554.15  15.735   0.019  1.040  0.020   0.027   0.014    1       1
