#SN    zhel   zcmb   ebvmw mjdmax    bmag     err    s      err     clr     err     cos     use
1997bp 0.0083 0.0094 0.044 50549.70  13.915   0.021  0.966  0.022   0.158   0.013    1       1
1997bq 0.0094 0.0096 0.024 50557.35  14.328   0.036  0.884  0.017   0.022   0.023    0       1
1997br 0.0053 0.0063 0.113 50556.96  13.305   0.082  0.914  0.041   0.183   0.041    0       1
1997cn 0.0162 0.0170 0.027 50580.38 -99.999  -9.999  0.500  0.200 -99.999  -9.999    0       0
1997cw 0.0171 0.0159 0.073 50629.36  15.989   0.062  1.130  0.041   0.420   0.026    1       1
1997dg 0.0308 0.0297 0.078 50719.56  16.829   0.038  0.929  0.049  -0.047   0.020    1       1
1997do 0.0101 0.0105 0.063 50765.83  14.271   0.041  0.944  0.029   0.006   0.025    1       1
1997E  0.0135 0.0135 0.124 50467.41  15.114   0.052  0.811  0.020   0.024   0.018    1       1
1997Y  0.0159 0.0164 0.017 50485.87  15.279   0.071  0.909  0.066  -0.051   0.019    0       1
1998ab 0.0271 0.0279 0.017 50913.58  16.060   0.031  0.939  0.024   0.029   0.022    1       1
1998aq 0.0037 0.0043 0.014 50930.28  12.305   0.010  0.955  0.009  -0.145   0.008    1       1
1998bp 0.0104 0.0102 0.076 50936.21  15.320   0.034  0.585  0.014   0.231   0.017    1       1
1998bu 0.0030 0.0042 0.025 50951.90  12.103   0.014  0.954  0.016   0.262   0.010    1       1
1998co 0.0181 0.0170 0.043 50987.87  15.670   0.087  0.632  0.171   0.048   0.025    0       0
1998D  0.0123 0.0130 0.015 50870.59 -99.999  -9.999  1.600  0.000 -99.999  -9.999    0       0
1998de 0.0167 0.0156 0.057 51026.15  17.360   0.026  0.573  0.007   0.647   0.014    1       1
1998dh 0.0089 0.0077 0.068 51028.96  13.859   0.037  0.907  0.017   0.032   0.022    0       1
1998dm 0.0065 0.0055 0.044 51059.42  14.637   0.084  1.065  0.071   0.222   0.051    1       1
1998dx 0.0542 0.0537 0.041 51071.47  17.552   0.039  0.799  0.038  -0.094   0.021    1       1
1998ec 0.0199 0.0201 0.085 51088.67  16.168   0.111  0.975  0.070   0.121   0.057    0       1
1998ef 0.0177 0.0167 0.073 51113.18  14.828   0.037  0.902  0.030  -0.084   0.019    1       1
1998eg 0.0248 0.0235 0.123 51109.93  16.110   0.054  0.919  0.065  -0.008   0.021    0       1
1998es 0.0106 0.0096 0.032 51142.26  13.844   0.016  1.140  0.010   0.084   0.010    1       1
1998V  0.0176 0.0172 0.196 50890.54  15.078   0.083  1.001  0.039  -0.021   0.027    1       1
