# LGA_SNAN run on Thu Aug  7 15:23:29 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1983E       15.15   0.08  15.56   0.10  14.11   0.05  12.80   0.03  18.63  0.320  -1.84   0.24  14.39   0.07  14.81   0.08  13.34   0.04  12.00   0.02  17.87  0.329  -1.89   0.26  14.09   0.07  14.50   0.09  13.04   0.05  11.71   0.03  17.56  0.360  -1.79   0.26  NGC3044            374.1    394.7
1983G       14.14   0.05  14.52   0.06  13.00   0.03  11.46   0.01  17.62  0.746  -2.74   0.23  13.45   0.04  13.82   0.05  12.31   0.03  10.76   0.01  16.92  0.765  -2.79   0.31  13.22   0.05  13.60   0.06  12.08   0.03  10.51   0.01  16.70  0.773  -2.79   0.51  NGC4753            417.7    387.4
1983I       16.04   0.11  15.81   0.10  14.38   0.05  12.94   0.03  19.52  0.474  -0.68   0.45  15.48   0.11  15.24   0.10  13.73   0.05  12.31   0.03  18.95  0.546  -0.65   0.52  15.13   0.11  14.89   0.10  13.39   0.05  12.00   0.03  18.60  0.526  -0.66   0.53  NGC4051            377.3    349.5
1983N       15.43   0.09  12.50   0.02  11.13   0.01   9.40   0.01  18.91  0.567  -0.44   0.34  14.94   0.09  11.97   0.02  10.55   0.01   8.87   0.01  18.41  0.569  -0.31   0.33  14.59   0.09  11.65   0.02  10.26   0.01   8.65   0.01  18.07  0.582  -0.44   0.43  NGC5236           1024.6   1076.5
1983P       13.26   0.03  14.07   0.05  12.50   0.02  10.87   0.01  16.74  0.037  -1.01   0.52  12.38   0.03  13.18   0.04  11.62   0.02  10.01   0.01  15.86  0.038  -1.08   0.56  12.02   0.03  12.82   0.04  11.26   0.02   9.67   0.01  15.50  0.038  -1.17   0.58  NGC5746            390.9    595.7
1983S       15.99   0.11  16.47   0.14  14.89   0.07  13.12   0.03  19.47  0.801  -2.53   0.66  15.37   0.10  15.85   0.13  14.26   0.06  12.46   0.03  18.85  0.815  -2.51   0.77  15.04   0.11  15.52   0.14  13.96   0.07  12.19   0.03  18.52  0.839  -2.73   1.12  NGC1448            367.0    410.3
1983U       15.12   0.07  15.42   0.08  13.89   0.04  12.32   0.02  18.60  0.294  -0.20   0.14  14.45   0.06  14.75   0.07  13.21   0.03  11.62   0.02  17.93  0.323  -0.14   0.16  14.18   0.07  14.48   0.08  12.95   0.04  11.36   0.02  17.66  0.345  -0.20   0.17  NGC3227            417.6    401.9
1983V       16.07   0.12  16.04   0.12  14.55   0.06  13.04   0.03  19.55  0.566  -0.46   0.57  15.35   0.11  15.32   0.10  13.81   0.05  12.30   0.03  18.82  0.617  -0.59   0.63  15.20   0.13  15.17   0.12  13.63   0.06  12.09   0.03  18.68  0.617  -0.44   0.70  NGC1365            757.9    670.9
1984E       17.11   0.20  17.46   0.23  16.03   0.12  14.67   0.06  20.59  0.924  -1.01   1.06  16.62   0.19  16.95   0.22  15.55   0.12  14.12   0.06  20.10  0.932  -0.83   1.14  16.57   0.24  16.95   0.28  15.34   0.13  13.75   0.06  20.05  0.938  -0.74   1.87  NGC3169            360.9    416.4
1984N       16.33   0.13  17.49   0.22  15.98   0.11  14.50   0.06  19.81  0.985  -4.95   6.78  15.48   0.11  16.62   0.19  15.13   0.09  13.64   0.05  18.96  0.950  -4.28   5.22  15.33   0.13  16.46   0.22  14.98   0.11  13.50   0.06  18.81  0.978  -4.90  77.01  NGC7184            332.0    453.8
1985A       13.77   0.04  14.00   0.04  12.54   0.02  11.25   0.01  17.25  0.485  -2.16   0.20  12.95   0.04  13.18   0.04  11.72   0.02  10.45   0.01  16.43  0.503  -2.28   0.22  12.63   0.04  12.86   0.04  11.40   0.02  10.12   0.01  16.11  0.522  -2.31   0.23  NGC2748            302.2    291.2
1985H       16.81   0.16  16.07   0.11  14.63   0.06  13.16   0.03  20.29  0.317  -0.39   0.35  16.26   0.14  15.50   0.10  13.96   0.05  12.42   0.02  19.73  0.309  -0.25   0.36  15.77   0.15  15.05   0.11  13.76   0.06  12.35   0.03  19.25  0.340  -0.55   0.49  NGC3359            531.3    523.0
1985L       17.64   0.24  17.23   0.20  15.70   0.10  14.32   0.05  21.12  0.730  -0.19   0.51  17.09   0.21  16.71   0.18  15.42   0.10  14.20   0.06  20.57  0.777  -0.17   0.69  16.49   0.21  16.10   0.18  14.72   0.09  13.51   0.05  19.97  0.782  -0.49   0.83  NGC5033            770.0    755.0
1985P       16.38   0.14  15.78   0.10  14.34   0.05  12.85   0.03  19.86  0.493  -0.27   0.48  15.84   0.13  15.21   0.10  13.69   0.05  12.19   0.02  19.32  0.494  -0.17   0.46  15.43   0.14  14.82   0.10  13.40   0.05  11.98   0.03  18.91  0.511  -0.25   0.52  NGC1433            350.9    444.1
1986B       18.19   0.31  19.27   0.51  17.66   0.25  15.96   0.11  21.67  0.811   0.16   1.02  16.69   0.19  17.65   0.30  16.25   0.16  14.99   0.09  20.17  0.813  -0.89   1.31  16.13   0.19  17.11   0.30  15.67   0.15  14.32   0.08  19.61  0.817  -0.99   1.79  NGC5101            648.8    481.8
1986E       15.21   0.08  17.50   0.22  15.90   0.10  14.17   0.05  18.69  0.825  -3.61   0.53  14.68   0.08  16.97   0.23  15.37   0.11  13.64   0.05  18.16  0.860  -3.44   0.59  14.70   0.09  17.02   0.26  15.40   0.12  13.64   0.06  18.18  0.868  -3.13   0.70  NGC4302            417.9    523.5
1986G       14.71   0.06  11.15   0.01   9.67   0.01   7.94   0.00  18.19  0.866  -1.40   0.31  13.98   0.06  10.39   0.01   8.87   0.01   7.19   0.00  17.46  0.903  -1.53   0.53  13.67   0.06  10.01   0.01   8.44   0.01   6.80   0.00  17.14  0.886  -1.60   0.42  NGC5128            503.5    755.2
1986J       14.58   0.06  13.11   0.03  11.48   0.01  10.10   0.01  18.06  0.287  -1.22   0.33  13.33   0.04  11.89   0.02  10.37   0.01   9.11   0.01  16.81  0.327  -1.50   0.34  12.58   0.03  11.19   0.02   9.77   0.01   8.59   0.01  16.05  0.367  -1.80   0.41  NGC891             524.0    541.1
1987B       19.20   0.50  20.93   1.10  19.23   0.50  17.51   0.23  22.68  1.000 -99.00  -9.00  18.59   0.46  20.19   0.97  18.61   0.47  17.19   0.24  22.06  1.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00  NGC5850            471.4    254.6
1987L       17.54   0.23  18.57   0.37  17.09   0.19  15.59   0.09  21.02  0.814  -0.98   1.17  16.72   0.20  17.71   0.32  16.30   0.17  14.98   0.09  20.20  0.812  -1.16   1.76  17.00   0.27  18.10   0.44  16.51   0.21  14.91   0.10  20.48  0.792  -0.68   1.68  NGC2336            442.1    529.0
1987M       15.38   0.08  16.02   0.11  14.52   0.06  13.01   0.03  18.85  0.155  -0.77   0.15  14.66   0.08  15.31   0.11  13.79   0.05  12.29   0.03  18.14  0.140  -0.78   0.17  14.45   0.08  15.10   0.11  13.58   0.06  12.06   0.03  17.92  0.156  -0.77   0.19  NGC2715            396.6    416.0
1987N       14.97   0.07  15.67   0.10  14.19   0.05  12.75   0.03  18.45  0.449  -1.25   0.14  14.19   0.06  14.89   0.09  13.40   0.04  11.96   0.02  17.67  0.385  -1.26   0.16  13.95   0.07  14.65   0.10  13.18   0.05  11.74   0.03  17.43  0.452  -1.30   0.21  NGC7606            421.8    430.5
1989B       14.02   0.04  12.85   0.02  11.37   0.01  10.00   0.01  17.50  0.381  -1.38   0.43  13.27   0.04  12.10   0.02  10.64   0.01   9.28   0.01  16.75  0.389  -1.46   0.46  12.98   0.04  11.80   0.02  10.34   0.01   8.97   0.01  16.46  0.391  -1.50   0.50  NGC3627            616.7    650.2
1990N       20.64   0.97  21.51   1.45  18.77   0.41  16.66   0.15  24.12  0.966   1.35   2.95  17.35   0.26  17.79   0.32  16.34   0.16  15.00   0.09  20.83  0.971  -1.17   4.38  22.85   4.15 -99.00  -9.00  17.63   0.37  15.02   0.11  26.33  0.988   4.03   7.67  NGC4639            237.5    296.6
1990W       13.65   0.04  11.29   0.01   9.95   0.01   9.08   0.00  17.13  0.148  -0.73   0.23  12.83   0.03  10.46   0.01   9.14   0.01   8.31   0.00  16.31  0.160  -0.77   0.21  12.51   0.04  10.09   0.01   8.79   0.01   8.00   0.00  15.98  0.184  -0.87   0.24  NGC6221            393.9    406.6
1991B       16.07   0.12  17.70   0.26  16.18   0.13  14.59   0.06  19.55  0.500  -0.67   0.29  15.25   0.10  16.87   0.21  15.35   0.10  13.80   0.05  18.73  0.542  -0.81   0.33  15.24   0.13  16.91   0.27  15.35   0.13  13.69   0.06  18.72  0.589  -0.66   0.47  NGC5426            415.4    281.0
1991G       16.70   0.15  16.28   0.12  14.60   0.06  12.72   0.02  20.18  0.882  -1.33   0.98  15.71   0.11  15.31   0.09  13.79   0.04  12.02   0.02  19.19  0.884  -1.73   1.17  15.32   0.12  14.92   0.10  13.42   0.05  11.71   0.02  18.80  0.882  -1.79   1.23  NGC4088            351.4    291.8
1991T       16.18   0.13  15.55   0.10  14.07   0.05  12.59   0.03  19.66  0.791  -1.46   0.37  15.67   0.12  15.01   0.09  13.48   0.05  11.96   0.02  19.15  0.831  -1.35   0.43  15.77   0.16  15.06   0.12  13.34   0.05  11.70   0.03  19.25  0.828  -0.93   0.62  NGC4527            375.5    446.8
1991bd      15.55   0.10  17.71   0.26  16.21   0.13  14.72   0.07  19.03  0.521  -1.70   0.24  14.59   0.07  16.74   0.20  15.24   0.10  13.76   0.05  18.07  0.537  -1.70   0.23  14.18   0.08  16.34   0.21  14.84   0.11  13.36   0.05  17.66  0.559  -1.70   0.26  UGC2936            379.4    430.3
1991bg      15.63   0.09  15.57   0.09  14.05   0.04  12.53   0.02  19.11  0.661   0.01   0.17  14.92   0.09  14.86   0.09  13.38   0.04  11.88   0.02  18.40  0.683  -0.04   0.22  14.72   0.09  14.66   0.09  13.19   0.05  11.66   0.02  18.20  0.669  -0.03   0.24  NGC4374            401.2    342.8
1992A       15.47   0.09  15.50   0.09  14.00   0.05  12.56   0.02  18.95  0.723  -0.89   0.28  14.93   0.09  14.96   0.09  13.45   0.04  11.96   0.02  18.41  0.747  -0.86   0.31  14.60   0.10  14.63   0.10  13.14   0.05  11.66   0.02  18.08  0.739  -0.87   0.39  NGC1380            399.8    462.7
1992bd      12.43   0.02  12.00   0.02  10.53   0.01   9.17   0.00  15.91  0.116  -0.41   0.17  11.67   0.02  11.24   0.02   9.76   0.01   8.41   0.00  15.15  0.126  -0.39   0.15  11.30   0.02  10.88   0.02   9.41   0.01   8.07   0.00  14.78  0.135  -0.38   0.14  NGC1097            597.1    589.7
1993G       16.07   0.11  18.01   0.28  16.49   0.14  14.90   0.07  19.55  0.518   0.26   1.50  15.45   0.11  17.41   0.28  15.88   0.14  14.25   0.07  18.93  0.513   0.36   1.70  15.35   0.12  17.33   0.31  15.78   0.15  14.10   0.07  18.83  0.522   0.42   2.12  NGC3690            388.8    386.2
1993J       15.84   0.10  12.49   0.02  10.92   0.01   9.35   0.01  19.32  0.617  -0.22   0.24  15.01   0.08  11.78   0.02  10.23   0.01   8.67   0.00  18.49  0.625  -0.37   0.25  14.79   0.10  11.51   0.02  10.01   0.01   8.45   0.01  18.27  0.617  -0.33   0.27  NGC3031           1034.6    838.8
1993Z       15.02   0.08  15.47   0.09  13.99   0.05  12.53   0.02  18.50  0.597  -0.64   0.16  14.42   0.07  14.86   0.09  13.39   0.04  11.92   0.02  17.90  0.643  -0.61   0.18  14.16   0.08  14.61   0.10  13.13   0.05  11.64   0.02  17.64  0.623  -0.57   0.23  NGC2775            310.9    263.8
1993af     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  17.03   0.24  16.41   0.18 -99.00  1.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00  NGC1808            181.8    488.3
1994D       12.75   0.03  12.68   0.03  11.16   0.01   9.60   0.01  16.22  0.140  -0.56   0.23  11.99   0.02  11.92   0.02  10.39   0.01   8.83   0.01  15.47  0.156  -0.53   0.22  11.73   0.03  11.66   0.02  10.12   0.01   8.55   0.01  15.21  0.172  -0.50   0.21  NGC4526            411.4    406.2
1994I       13.18   0.03  11.38   0.01   9.90   0.01   8.56   0.00  16.65  0.135  -0.62   0.15  12.46   0.02  10.66   0.01   9.19   0.01   7.86   0.00  15.93  0.127  -0.65   0.16  12.16   0.03  10.37   0.01   8.91   0.01   7.59   0.00  15.64  0.145  -0.66   0.17  NGC5194            520.4    746.6
1994Y       15.93   0.11  17.18   0.19  15.67   0.10  14.17   0.05  19.41  0.308  -0.23   0.24  15.22   0.09  16.47   0.16  14.96   0.08  13.46   0.04  18.70  0.318  -0.23   0.25  15.09   0.11  16.34   0.20  14.83   0.10  13.28   0.05  18.57  0.310  -0.10   0.32  NGC5371            435.8    411.1
1994ai      14.61   0.06  14.64   0.06  13.14   0.03  11.65   0.02  18.08  0.155  -0.83   0.11  13.84   0.05  13.88   0.05  12.39   0.03  10.93   0.01  17.32  0.165  -0.92   0.13  13.58   0.06  13.61   0.06  12.12   0.03  10.65   0.02  17.06  0.170  -0.90   0.14  NGC908             380.2    405.1
1996N       15.34   0.09  15.22   0.08  13.70   0.04  12.19   0.02  18.81  0.564  -0.40   0.18  14.71   0.08  14.60   0.08  13.08   0.04  11.56   0.02  18.19  0.592  -0.41   0.23  14.43   0.09  14.32   0.08  12.84   0.04  11.35   0.02  17.91  0.581  -0.45   0.32  NGC1398            454.7    510.6
1996ai      13.09   0.03  12.50   0.02  11.09   0.01   9.74   0.01  16.57  0.370  -1.45   0.31  12.37   0.02  11.78   0.02  10.38   0.01   9.02   0.01  15.85  0.377  -1.43   0.32  12.09   0.03  11.50   0.02  10.09   0.01   8.73   0.01  15.57  0.388  -1.42   0.33  NGC5005            377.8    402.8
1996an      14.44   0.06  14.07   0.05  12.65   0.02  11.30   0.01  17.92  0.756  -2.19   0.29  13.79   0.05  13.42   0.04  12.00   0.02  10.65   0.01  17.27  0.780  -2.25   0.32  13.52   0.06  13.15   0.05  11.72   0.03  10.38   0.01  16.99  0.789  -2.31   0.48  NGC1084            285.9    322.4
1996bu     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.896 -99.00  -9.00  17.09   0.24  17.66   0.31  16.27   0.17  15.16   0.10  20.57  0.892  -1.13   2.88  17.71   0.36  18.21   0.46  17.13   0.28  19.10   0.69  21.19  0.885  -0.39   3.39  NGC3631            432.4    517.9
1997bs      15.23   0.07  14.06   0.04  12.57   0.02  11.03   0.01  18.71  0.471  -0.52   0.46  14.64   0.08  13.44   0.04  11.94   0.02  10.41   0.01  18.12  0.479  -0.44   0.50  14.36   0.08  13.17   0.04  11.66   0.02  10.16   0.01  17.84  0.480  -0.44   0.56  NGC3627            611.7    530.6
1998E       15.26   0.08  15.66   0.10  14.14   0.05  12.54   0.02  18.74  0.226  -0.84   0.36  14.54   0.07  14.94   0.09  13.41   0.04  11.81   0.02  18.02  0.238  -0.95   0.41  14.24   0.08  14.63   0.10  13.13   0.05  11.56   0.02  17.72  0.247  -0.93   0.39  NGC5161            395.5    388.3
1998S       15.12   0.07  14.70   0.06  13.33   0.03  12.00   0.02  18.60  0.932  -4.06   1.01  14.24   0.05  13.83   0.05  12.49   0.02  11.21   0.01  17.72  0.923  -4.04   1.04  13.63   0.06  13.25   0.05  12.03   0.03  10.86   0.02  17.11  0.933  -4.47   1.27  NGC3877            415.4    355.1
1998T       13.76   0.04  15.65   0.09  14.16   0.05  12.71   0.02  17.24 -9.000 -99.00  -9.00  12.93   0.04  14.83   0.09  13.32   0.04  11.86   0.02  16.41 -9.000 -99.00  -9.00  12.41   0.03  14.31   0.08  12.81   0.04  11.33   0.02  15.89 -9.000 -99.00  -9.00  NGC3690            390.4    399.0
1998bu      15.60   0.10  14.46   0.06  12.96   0.03  11.40   0.01  19.08  0.605   0.14   0.30  14.86   0.09  13.73   0.05  12.27   0.03  10.77   0.01  18.34  0.641   0.04   0.33  14.57   0.09  13.44   0.06  11.99   0.03  10.46   0.01  18.05  0.638  -0.02   0.35  NGC3368            496.5    556.2
1998dl      14.93   0.07  14.55   0.06  12.96   0.03  11.41   0.01  18.41  0.644  -0.97   0.25  14.31   0.07  13.92   0.05  12.33   0.03  10.75   0.01  17.79  0.674  -0.98   0.28  14.03   0.07  13.64   0.06  12.05   0.03  10.47   0.01  17.51  0.684  -1.00   0.31  NGC1084            276.4    317.6
1998dn     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  1.000 -99.00  -9.00  NGC337A            -99.0    -99.0
1998eb      16.12   0.12  18.41   0.34  16.90   0.17  15.40   0.09  19.60  0.596  -0.64   0.40  15.40   0.11  17.68   0.32  16.18   0.16  14.67   0.08  18.88  0.589  -0.58   0.45  15.13   0.11  17.38   0.32  15.89   0.16  14.42   0.08  18.61  0.614  -0.58   0.47  NGC1961            362.3    383.5
1999D       16.56   0.14  18.49   0.34  16.98   0.17  15.42   0.08  20.04  0.597   0.38   1.62  15.72   0.13  17.64   0.31  16.13   0.15  14.57   0.08  19.20  0.590   0.31   1.81  15.59   0.14  17.52   0.33  16.00   0.17  14.45   0.08  19.07  0.586   0.37   2.22  NGC3690            427.8    394.3
1999bw      17.40   0.21  16.93   0.17  15.35   0.08  13.85   0.04  20.88  0.990  -4.15  16.27  17.21   0.22  16.69   0.17  14.82   0.07  13.02   0.03  20.69  0.989  -3.73  77.93  16.07   0.17  15.63   0.14  14.20   0.07  12.71   0.04  19.55  0.994  -3.87  15.12  NGC3198            685.5    516.7
1999by      16.55   0.14  15.92   0.10  14.44   0.05  12.91   0.03  20.03  0.966  -2.43   1.14  15.75   0.11  15.11   0.08  13.63   0.04  12.12   0.02  19.23  0.967  -2.54   1.54  15.86   0.16  15.20   0.12  13.63   0.06  12.07   0.03  19.34  0.973  -2.22   2.03  NGC2841            699.2    692.3
1999cl      14.86   0.06  14.28   0.05  12.78   0.02  11.27   0.01  18.34  0.588  -1.06   0.19  14.17   0.05  13.59   0.04  12.11   0.02  10.59   0.01  17.65  0.617  -1.08   0.19  13.83   0.06  13.24   0.05  11.77   0.02  10.26   0.01  17.30  0.616  -1.13   0.21  NGC4501            446.3    422.2
1999ec      16.38   0.14  17.95   0.29  16.48   0.15  15.11   0.08  19.86  0.909  -2.83   2.10  15.82   0.13  17.41   0.27  15.92   0.14  14.51   0.07  19.30  0.924  -3.07   3.05  15.36   0.14  16.93   0.28  15.46   0.14  14.08   0.07  18.84  0.916  -2.91   2.81  NGC2207            582.5    512.3
1999em      15.41   0.09  14.46   0.06  12.96   0.03  11.45   0.01  18.89  0.257  -0.37   0.28  14.81   0.08  13.85   0.05  12.34   0.03  10.82   0.01  18.29  0.273  -0.31   0.28  14.69   0.10  13.71   0.06  12.16   0.03  10.59   0.02  18.17  0.284  -0.19   0.35  NGC1637            316.1    282.9
1999eu      17.19   0.20  16.78   0.17  15.37   0.09  13.88   0.04  20.66  0.858  -1.10   1.14  16.41   0.17  16.00   0.14  14.59   0.07  13.07   0.04  19.89  0.854  -1.17   1.35  16.99   0.29  16.55   0.23  14.94   0.11  13.15   0.05  20.47  0.876  -0.47   2.07  NGC1097            577.2    443.1
1999ev      15.39   0.08  15.17   0.08  13.67   0.04  12.21   0.02  18.87  0.808  -2.28   0.36  14.67   0.07  14.44   0.06  12.95   0.03  11.49   0.02  18.15  0.812  -2.28   0.43  14.33   0.08  14.11   0.07  12.66   0.04  11.23   0.02  17.81  0.807  -2.38   0.50  NGC4274            630.3    428.8
1999ga      16.14   0.12  16.47   0.14  15.09   0.07  13.76   0.04  19.62  0.660  -0.83   0.92  15.67   0.12  15.99   0.14  14.67   0.08  13.29   0.04  19.15  0.696  -0.70   1.09  15.34   0.13  15.67   0.15  14.30   0.08  12.91   0.04  18.82  0.682  -0.69   1.10  NGC2442            837.9    706.4
1999ge      16.02   0.12  18.96   0.46  17.45   0.23  15.96   0.12  19.50  0.320  -0.37   0.30  15.42   0.11  18.38   0.43  16.87   0.22  15.36   0.11  18.90  0.337  -0.31   0.36  15.13   0.12  18.08   0.48  16.57   0.24  15.07   0.12  18.61  0.345  -0.41   0.46  NGC309             284.3    307.2
1999gh      16.83   0.18  18.55   0.41  17.03   0.20  15.50   0.10  20.31  0.781  -0.09   0.48  16.19   0.16  17.86   0.34  16.38   0.17  14.96   0.09  19.67  0.794   0.02   0.48  16.02   0.19  17.68   0.40  16.21   0.20  14.73   0.10  19.50  0.815  -0.09   0.83  NGC2986            248.7    316.5
1999gi      16.07   0.12  15.02   0.07  13.55   0.04  12.14   0.02  19.55  0.314  -0.50   0.37  15.40   0.10  14.38   0.06  12.94   0.03  11.51   0.02  18.88  0.308  -0.51   0.45  14.93   0.10  13.92   0.07  12.58   0.04  11.24   0.02  18.40  0.319  -0.66   0.47  NGC3184            603.2    660.8
1999gn      14.87   0.07  15.57   0.10  14.18   0.05  12.91   0.03  18.35  0.481  -0.56   0.30  14.31   0.07  15.03   0.09  13.61   0.05  12.29   0.03  17.79  0.495  -0.48   0.32  14.10   0.08  14.81   0.11  13.41   0.06  12.11   0.03  17.58  0.505  -0.45   0.36  NGC4303            368.7    361.0
1999gq      18.42   0.33  16.32   0.13  14.44   0.05  11.13   0.01  21.90  1.000 -99.00  -9.00  24.96   7.77  16.33   0.15  13.77   0.04  10.82   0.01  28.44  1.000 -99.00  -9.00  16.97   0.26  15.13   0.11  13.71   0.06  10.64   0.01  20.45  1.000 -99.00  -9.00  NGC4523            295.5    343.9
2000ch      18.64   0.38  17.72   0.25  16.34   0.13  15.28   0.08  22.12  0.938  -2.90   3.33  18.64   0.43  18.04   0.33  17.43   0.25  15.30   0.09  22.12  0.961  -2.80   6.89  17.21   0.30  16.33   0.20  15.13   0.11  14.20   0.07  20.69  0.979  -4.35  10.14  NGC3432            279.0    578.3
2000cj      16.12   0.13  17.92   0.29  16.41   0.14  14.89   0.07  19.60  0.782  -0.33   0.34  15.38   0.11  17.16   0.24  15.66   0.12  14.18   0.06  18.85  0.801  -0.52   0.48  15.44   0.14  17.29   0.33  15.74   0.16  14.11   0.08  18.92  0.807  -0.13   0.56  NGC6753            365.5    376.6
2000ds      15.98   0.11  16.34   0.13  14.82   0.06  13.23   0.03  19.46  0.339   0.61   0.14  15.21   0.10  15.58   0.12  14.05   0.06  12.50   0.03  18.69  0.334   0.53   0.14  15.01   0.10  15.37   0.12  13.86   0.06  12.31   0.03  18.48  0.346   0.59   0.14  NGC2768            409.9    367.7
2001X       15.58   0.09  16.00   0.11  14.50   0.06  13.03   0.03  19.06  0.484  -0.91   0.34  15.00   0.09  15.42   0.11  13.91   0.05  12.42   0.03  18.48  0.488  -0.80   0.38  14.61   0.09  15.03   0.11  13.56   0.06  12.15   0.03  18.09  0.492  -0.97   0.52  NGC5921            416.2    368.6
2001ci      14.24   0.05  14.12   0.05  12.68   0.02  11.33   0.01  17.72  0.436  -1.86   0.22  13.39   0.04  13.27   0.04  11.84   0.02  10.51   0.01  16.87  0.470  -1.95   0.26  12.99   0.04  12.87   0.04  11.44   0.02  10.12   0.01  16.47  0.500  -2.06   0.31  NGC3079            404.5    528.0
2001cm      16.26   0.13  18.30   0.33  16.78   0.17  15.24   0.08  19.73  0.830  -2.54   0.95  15.44   0.10  17.46   0.25  15.96   0.12  14.45   0.06  18.91  0.862  -2.58   0.89  15.34   0.13  17.36   0.32  15.86   0.16  14.35   0.08  18.82  0.823  -2.47   1.18  NGC5965            363.9    418.4
2001dc      16.07   0.11  17.13   0.18  15.64   0.09  14.19   0.05  19.55  0.991  -5.93   7.58  15.36   0.09  16.42   0.15  14.93   0.08  13.47   0.04  18.84  0.991  -5.95  10.89  14.99   0.11  16.05   0.17  14.56   0.09  13.12   0.04  18.47  0.994  -6.49  13.37  NGC5777            313.4    322.8
2001dp      17.42   0.20  17.37   0.20  15.77   0.09  14.19   0.05  20.90  0.676   0.36   0.34  16.95   0.19  16.90   0.19  15.52   0.10  13.99   0.05  20.43  0.716   0.44   0.41  16.79   0.24  16.75   0.23  15.23   0.12  13.64   0.06  20.27  0.708   0.54   0.46  NGC3953            434.4    480.9
2001du      15.58   0.10  15.55   0.09  14.06   0.05  12.67   0.02  19.06  0.733  -1.51   0.80  15.07   0.09  15.04   0.09  13.55   0.05  12.16   0.02  18.55  0.772  -1.52   1.01  14.58   0.09  14.55   0.09  13.07   0.05  11.71   0.03  18.05  0.762  -1.68   1.07  NGC1365            788.6    694.7
2001el      16.91   0.17  17.40   0.22  15.81   0.10  14.07   0.05  20.39  0.795  -1.57   0.65  16.13   0.15  16.59   0.18  15.08   0.09  13.39   0.04  19.60  0.809  -1.66   0.74  15.89   0.17  16.36   0.21  14.84   0.10  13.12   0.05  19.37  0.834  -1.81   1.07  NGC1448            411.7    420.0
2001fz      17.94   0.29  18.85   0.44  17.31   0.22  15.65   0.10  21.42  0.872  -0.82   1.23  17.67   0.31  18.44   0.44  17.22   0.25  16.09   0.15  21.15  0.892  -0.54   1.80  17.07   0.30  18.05   0.47  16.38   0.22  14.82   0.11  20.55  0.907  -0.79   2.40  NGC2280            386.3    467.7
2001gd      18.87   0.42  18.41   0.34  16.54   0.14  14.89   0.07  22.35  0.946  -1.30   3.42  19.14   0.54  18.62   0.42  16.63   0.17  14.84   0.07  22.62  0.961  -0.62   5.84  17.26   0.30  16.86   0.25  15.37   0.13  13.86   0.06  20.74  0.958  -1.94   5.96  NGC5033            744.2    860.1
2001ig      17.92   0.28  16.59   0.15  15.51   0.09  14.47   0.06  21.40  1.000 -99.00  -9.00  17.10   0.23  15.74   0.12  14.59   0.07  13.66   0.05  20.58  1.000 -99.00  -9.00  17.55   0.36  16.81   0.25  17.91   0.42  16.10   0.18  21.03  1.000 -99.00  -9.00  NGC7424            457.9    713.5
2001is      16.88   0.17  19.21   0.50  17.69   0.25  16.11   0.12  20.36  0.789  -1.04   1.00  15.66   0.13  17.92   0.36  16.43   0.18  14.96   0.09  19.14  0.773  -1.46   1.24  15.64   0.14  17.88   0.40  16.39   0.20  14.95   0.10  19.12  0.801  -1.26   1.18  NGC1961            377.9    352.0
2002bo      14.06   0.04  14.92   0.07  13.40   0.03  11.86   0.02  17.53  0.443  -0.89   0.21  13.25   0.04  14.11   0.05  12.60   0.03  11.06   0.01  16.73  0.467  -0.91   0.19  12.98   0.04  13.84   0.06  12.33   0.03  10.79   0.02  16.46  0.469  -0.91   0.20  NGC3190            390.2    386.4
2002bu      19.24   0.48  17.80   0.25  15.93   0.11  14.29   0.05  22.72  0.932   0.18   1.76  17.79   0.33  16.35   0.17  14.65   0.08  13.06   0.04  21.27  0.927  -0.41   2.23  17.42   0.32  16.08   0.17  14.66   0.09  13.49   0.05  20.90  0.928  -0.81   2.98  NGC4242            325.8    500.6
