# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1997E       18.10   0.30  20.67   0.98  19.17   0.49  17.67   0.25  21.58 -9.000 -99.00  -9.00  17.22   0.26  19.84   0.87  18.32   0.43  16.77   0.21  20.70 -9.000 -99.00  -9.00  16.89   0.25  19.28   0.76  17.84   0.39  16.55   0.22  20.37 -9.000 -99.00  -9.00  NGC2258            181.5    205.4
1997W       16.75   0.16  19.61   0.58  18.11   0.29  16.60   0.15  20.23 -9.000 -99.00  -9.00  16.03   0.14  18.89   0.52  17.39   0.26  15.89   0.13  19.51 -9.000 -99.00  -9.00  15.64   0.15  18.45   0.54  16.96   0.27  15.51   0.14  19.12 -9.000 -99.00  -9.00  NGC664              75.1     49.8
1997X       13.72   0.04  13.86   0.05  12.41   0.02  11.14   0.01  17.20 -9.000 -99.00  -9.00  13.02   0.04  13.16   0.04  11.73   0.02  10.48   0.01  16.50 -9.000 -99.00  -9.00  12.74   0.04  12.88   0.04  11.44   0.02  10.20   0.01  16.21 -9.000 -99.00  -9.00  NGC4691            130.6    139.2
1997Z       16.91   0.18  18.55   0.38  17.02   0.19  15.47   0.09  20.39 -9.000 -99.00  -9.00  16.36   0.17  18.01   0.35  16.47   0.17  14.90   0.08  19.84 -9.000 -99.00  -9.00  16.04   0.18  17.66   0.38  16.15   0.19  14.61   0.09  19.52 -9.000 -99.00  -9.00  NGC3261             80.8    125.3
1997aa      19.10   0.48  21.17   1.25  19.68   0.63  18.30   0.33  22.58 -9.000 -99.00  -9.00  18.46   0.44  20.45   1.11  19.01   0.57  17.73   0.32  21.94 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  IC2102              71.0     14.6
1997bn      15.88   0.11  18.38   0.33  16.88   0.17  15.38   0.08  19.36 -9.000 -99.00  -9.00  15.11   0.08  17.59   0.26  16.09   0.13  14.62   0.07  18.59 -9.000 -99.00  -9.00  14.95   0.10  17.44   0.32  15.94   0.16  14.45   0.08  18.43 -9.000 -99.00  -9.00  UGC4329             66.8     63.4
1997bp      16.65   0.15  18.10   0.28  16.59   0.14  15.08   0.07  20.13 -9.000 -99.00  -9.00  16.10   0.14  17.55   0.28  16.03   0.14  14.50   0.07  19.57 -9.000 -99.00  -9.00  15.72   0.15  17.14   0.29  15.66   0.15  14.19   0.08  19.20 -9.000 -99.00  -9.00  NGC4680             87.7     53.1
1997bq      17.31   0.21  18.95   0.44  17.42   0.22  15.84   0.10  20.79 -9.000 -99.00  -9.00  16.81   0.18  18.49   0.40  16.93   0.19  15.30   0.09  20.29 -9.000 -99.00  -9.00  17.04   0.27  18.92   0.65  17.18   0.29  15.22   0.12  20.52 -9.000 -99.00  -9.00  NGC3147            100.8     90.8
1997br      17.61   0.23  17.86   0.26  16.44   0.13  15.23   0.08  21.09 -9.000 -99.00  -9.00  17.33   0.26  17.58   0.29  16.16   0.15  14.68   0.08  20.81 -9.000 -99.00  -9.00  16.82   0.26  17.06   0.29  15.78   0.16  14.55   0.09  20.30 -9.000 -99.00  -9.00  E576-G40            92.7    125.6
1997cn      14.93   0.07  18.05   0.28  16.52   0.14  15.00   0.07  18.41 -9.000 -99.00  -9.00  14.22   0.06  17.33   0.23  15.81   0.11  14.29   0.06  17.70 -9.000 -99.00  -9.00  13.90   0.06  17.00   0.27  15.48   0.13  13.97   0.07  17.38 -9.000 -99.00  -9.00  NGC5490             78.9     73.8
1997cw      15.37   0.08  17.89   0.26  16.38   0.13  14.86   0.06  18.84 -9.000 -99.00  -9.00  14.65   0.07  17.17   0.21  15.66   0.10  14.14   0.05  18.13 -9.000 -99.00  -9.00  14.45   0.08  16.99   0.26  15.48   0.13  13.94   0.06  17.93 -9.000 -99.00  -9.00  NGC105              44.0     55.4
1997db      17.46   0.22  17.44   0.22  15.93   0.11 -99.00  -9.00  20.94 -9.000 -99.00  -9.00  17.14   0.25  17.11   0.25  15.39   0.11 -99.00  -9.00  20.62 -9.000 -99.00  -9.00  16.14   0.18  16.12   0.18  14.59   0.09 -99.00  -9.00  19.62 -9.000 -99.00  -9.00  UGC11861           127.6     62.1
1997dc      15.44   0.08  16.88   0.16  15.34   0.08  13.72   0.04  18.92 -9.000 -99.00  -9.00  14.76   0.08  16.20   0.16  14.66   0.08  13.04   0.04  18.24 -9.000 -99.00  -9.00  14.50   0.08  15.94   0.16  14.40   0.08  12.76   0.04  17.97 -9.000 -99.00  -9.00  NGC7678            116.8    130.7
1997dd     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  18.43   0.51  20.73   1.45  19.27   0.74 -99.00  -9.00  21.91 -9.000 -99.00  -9.00  NGC6060            185.9    115.3
1997de      16.04   0.11  18.20   0.30  16.68   0.15  15.11   0.07  19.52 -9.000 -99.00  -9.00  15.26   0.10  17.41   0.26  15.89   0.13  14.34   0.06  18.74 -9.000 -99.00  -9.00  14.90   0.11  17.02   0.28  15.52   0.14  14.02   0.07  18.38 -9.000 -99.00  -9.00  NGC6769            124.7    133.3
1997di      18.99   0.43  21.96   1.70  20.48   0.86  19.09   0.45  22.47 -9.000 -99.00  -9.00  18.26   0.35  21.28   1.41  19.79   0.71  18.36   0.37  21.74 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  UGC4015             73.5     56.6
1997dn      16.71   0.15  17.11   0.19  15.70   0.10  14.42   0.05  20.19 -9.000 -99.00  -9.00  16.12   0.13  16.52   0.16  15.11   0.08  13.78   0.05  19.60 -9.000 -99.00  -9.00  16.00   0.17  16.40   0.20  14.95   0.10  13.54   0.05  19.48 -9.000 -99.00  -9.00  NGC3451            108.5     67.5
1997do      15.52   0.09  17.72   0.25  16.23   0.13  14.76   0.06  19.00 -9.000 -99.00  -9.00  14.80   0.07  17.00   0.20  15.50   0.10  14.04   0.05  18.28 -9.000 -99.00  -9.00  14.64   0.09  16.83   0.25  15.34   0.12  13.89   0.06  18.12 -9.000 -99.00  -9.00  UGC3845             82.1     77.7
1997dp      17.01   0.17  19.46   0.52  17.96   0.26  16.51   0.13  20.49 -9.000 -99.00  -9.00  16.88   0.19  19.29   0.57  17.82   0.29  16.40   0.15  20.36 -9.000 -99.00  -9.00  16.71   0.23  19.31   0.76  17.76   0.37  16.13   0.18  20.19 -9.000 -99.00  -9.00  NGC969             112.8     58.4
1997dq      17.30   0.22  17.29   0.22  15.71   0.11  14.03   0.05  20.78 -9.000 -99.00  -9.00  16.57   0.19  16.56   0.19  15.01   0.09  13.48   0.05  20.05 -9.000 -99.00  -9.00  16.35   0.22  16.34   0.21  14.84   0.11  13.26   0.05  19.83 -9.000 -99.00  -9.00  NGC3810            192.7    180.6
1997ds      17.49   0.23  18.80   0.42  17.29   0.21  15.74   0.10  20.97 -9.000 -99.00  -9.00  16.70   0.20  18.04   0.37  16.49   0.18  14.90   0.09  20.18 -9.000 -99.00  -9.00  16.19   0.20  17.51   0.37  15.99   0.18  14.47   0.09  19.67 -9.000 -99.00  -9.00  M-01-57-07          60.5     49.8
1997dt      14.81   0.07  16.65   0.16  15.16   0.08  13.69   0.04  18.29 -9.000 -99.00  -9.00  14.15   0.05  15.99   0.13  14.50   0.06  13.04   0.03  17.63 -9.000 -99.00  -9.00  13.84   0.06  15.67   0.15  14.19   0.07  12.72   0.04  17.31 -9.000 -99.00  -9.00  NGC7448            112.5    104.6
1997ef      16.91   0.17  19.00   0.45  17.52   0.22  16.06   0.11  20.39 -9.000 -99.00  -9.00  16.39   0.18  18.54   0.47  17.02   0.23  15.49   0.12  19.87 -9.000 -99.00  -9.00  15.84   0.15  17.92   0.40  16.44   0.20  15.01   0.10  19.32 -9.000 -99.00  -9.00  UGC4107             74.7     63.2
1997eg      15.42   0.08  17.18   0.19  15.57   0.09  13.78   0.04  18.90 -9.000 -99.00  -9.00  14.70   0.08  16.46   0.18  14.85   0.09  13.08   0.04  18.18 -9.000 -99.00  -9.00  14.49   0.08  16.23   0.18  14.63   0.09  12.90   0.04  17.97 -9.000 -99.00  -9.00  NGC5012            131.5    160.7
1997ei      15.29   0.08  17.24   0.19  15.74   0.10  14.23   0.05  18.77 -9.000 -99.00  -9.00  14.67   0.08  16.63   0.20  15.12   0.10  13.60   0.05  18.15 -9.000 -99.00  -9.00  14.41   0.08  16.35   0.20  14.85   0.10  13.36   0.05  17.89 -9.000 -99.00  -9.00  NGC3963            114.1    114.0
1998A       16.37   0.15  17.63   0.27  16.15   0.14  14.71   0.07  19.85 -9.000 -99.00  -9.00  15.52   0.12  16.78   0.21  15.31   0.11  13.90   0.06  19.00 -9.000 -99.00  -9.00  15.54   0.15  16.84   0.27  15.31   0.14  13.77   0.07  19.02 -9.000 -99.00  -9.00  IC2627             169.2    117.4
1998D       16.71   0.16  19.01   0.45  17.51   0.23  16.03   0.11  20.19 -9.000 -99.00  -9.00  16.00   0.13  18.29   0.36  16.80   0.18  15.33   0.09  19.48 -9.000 -99.00  -9.00  15.92   0.16  18.29   0.48  16.77   0.24  15.19   0.12  19.40 -9.000 -99.00  -9.00  NGC5440            134.3     79.2
1998R       14.71   0.06  15.83   0.10  14.38   0.05  13.10   0.03  18.19 -9.000 -99.00  -9.00  13.99   0.06  15.11   0.10  13.65   0.05  12.39   0.03  17.46 -9.000 -99.00  -9.00  13.70   0.06  14.83   0.10  13.37   0.05  12.09   0.03  17.18 -9.000 -99.00  -9.00  UGC6271             44.8     43.7
1998V       17.35   0.21  20.30   0.83  18.80   0.42  17.34   0.21  20.83 -9.000 -99.00  -9.00  16.82   0.18  19.79   0.72  18.29   0.36  16.80   0.18  20.30 -9.000 -99.00  -9.00  17.00   0.27  20.20   1.17  18.65   0.57  16.98   0.27  20.48 -9.000 -99.00  -9.00  NGC6627             85.0     78.7
1998W       16.62   0.14  18.87   0.39  17.38   0.20  15.94   0.10  20.10 -9.000 -99.00  -9.00  15.95   0.14  18.19   0.40  16.70   0.20  15.27   0.10  19.43 -9.000 -99.00  -9.00  15.84   0.15  18.03   0.42  16.57   0.21  15.19   0.11  19.31 -9.000 -99.00  -9.00  NGC3075             97.7     94.6
1998X       14.72   0.06  16.34   0.14  14.86   0.07  13.44   0.04  18.19 -9.000 -99.00  -9.00  13.98   0.06  15.61   0.12  14.12   0.06  12.70   0.03  17.46 -9.000 -99.00  -9.00  13.65   0.06  15.27   0.13  13.79   0.06  12.37   0.03  17.12 -9.000 -99.00  -9.00  NGC6754            142.9    115.7
1998Y       13.89   0.04  16.17   0.12  14.67   0.06  13.20   0.03  17.37 -9.000 -99.00  -9.00  13.31   0.04  15.60   0.10  14.10   0.05  12.62   0.03  16.79 -9.000 -99.00  -9.00  13.00   0.04  15.28   0.12  13.79   0.06  12.31   0.03  16.48 -9.000 -99.00  -9.00  NGC2415             41.5     49.0
1998ab      16.63   0.15  20.26   0.78  18.75   0.39  17.23   0.19  20.11 -9.000 -99.00  -9.00  16.04   0.15  19.66   0.78  18.15   0.39  16.63   0.19  19.52 -9.000 -99.00  -9.00  15.56   0.13  19.14   0.69  17.63   0.35  16.13   0.17  19.04 -9.000 -99.00  -9.00  NGC4704             46.5     67.7
1998an      17.52   0.22  20.63   0.94  19.13   0.47  17.63   0.24  20.99 -9.000 -99.00  -9.00  16.66   0.17  19.75   0.69  18.25   0.35  16.77   0.18  20.14 -9.000 -99.00  -9.00  16.52   0.21  19.61   0.87  18.11   0.44  16.64   0.22  20.00 -9.000 -99.00  -9.00  UGC3683             51.1     81.4
1998aq      15.89   0.10  16.22   0.12  14.74   0.06  13.24   0.03  19.37 -9.000 -99.00  -9.00  15.29   0.11  15.62   0.12  14.12   0.06  12.59   0.03  18.77 -9.000 -99.00  -9.00  15.06   0.11  15.39   0.13  13.88   0.06  12.34   0.03  18.53 -9.000 -99.00  -9.00  NGC3982            100.7     92.9
1998ar      16.95   0.17  18.63   0.36  17.15   0.18  15.72   0.10  20.42 -9.000 -99.00  -9.00  16.33   0.15  18.01   0.32  16.53   0.16  15.09   0.08  19.80 -9.000 -99.00  -9.00  16.09   0.17  17.80   0.38  16.30   0.19  14.82   0.10  19.57 -9.000 -99.00  -9.00  NGC2916             89.0    145.6
1998bn      15.29   0.08  16.23   0.12  14.81   0.06  13.53   0.04  18.77 -9.000 -99.00  -9.00  14.26   0.06  15.18   0.10  13.80   0.05  12.62   0.03  17.74 -9.000 -99.00  -9.00  14.18   0.08  15.10   0.12  13.71   0.06  12.49   0.04  17.66 -9.000 -99.00  -9.00  NGC4462            175.6    155.6
1998bw      18.05   0.27  19.44   0.52  17.86   0.25  16.22   0.12  21.52 -9.000 -99.00  -9.00  17.33   0.25  18.66   0.46  17.16   0.23  15.68   0.12  20.81 -9.000 -99.00  -9.00  16.61   0.23  17.95   0.43  16.44   0.21  14.90   0.10  20.09 -9.000 -99.00  -9.00  E184-G82            59.3     39.9
1998cc      16.82   0.16  19.29   0.49  17.80   0.25  16.31   0.12  20.30 -9.000 -99.00  -9.00  16.11   0.13  18.57   0.41  17.08   0.21  15.61   0.11  19.59 -9.000 -99.00  -9.00  16.13   0.18  18.70   0.58  17.17   0.29  15.57   0.14  19.61 -9.000 -99.00  -9.00  NGC5172            113.7     92.2
1998cj      16.12   0.13  18.70   0.41  17.20   0.21  15.71   0.10  19.59 -9.000 -99.00  -9.00  15.39   0.11  17.98   0.36  16.48   0.18  14.98   0.09  18.87 -9.000 -99.00  -9.00  15.03   0.12  17.60   0.39  16.11   0.19  14.63   0.10  18.51 -9.000 -99.00  -9.00  NGC4263             47.7     54.2
1998co      14.73   0.06  17.80   0.25  16.28   0.13  14.73   0.06  18.21 -9.000 -99.00  -9.00  14.05   0.06  17.12   0.23  15.60   0.12  14.05   0.06  17.53 -9.000 -99.00  -9.00  13.79   0.06  16.86   0.26  15.33   0.13  13.79   0.06  17.27 -9.000 -99.00  -9.00  NGC7131             47.1     54.4
1998cu      19.07   0.46  21.85   1.64  20.32   0.81  18.74   0.39  22.55 -9.000 -99.00  -9.00  18.56   0.40  21.14   1.32  19.65   0.66  18.29   0.36  22.04 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  22.90   3.99 -99.00 -9.000 -99.00  -9.00  IC1525             121.2     42.5
1998cx      15.97   0.11  19.14   0.48  17.63   0.24  16.13   0.12  19.45 -9.000 -99.00  -9.00  15.27   0.10  18.45   0.43  16.95   0.21  15.43   0.11  18.75 -9.000 -99.00  -9.00  15.08   0.11  18.27   0.50  16.76   0.25  15.24   0.12  18.56 -9.000 -99.00  -9.00  NGC6209            124.7    104.7
1998de      20.42   0.89  23.41   3.51  21.88   1.73  20.16   0.79  23.90 -9.000 -99.00  -9.00  18.68   0.44  21.36   1.51  19.90   0.77  18.48   0.40  22.16 -9.000 -99.00  -9.00  17.24   0.30  19.84   0.99  18.39   0.51  17.06   0.28  20.71 -9.000 -99.00  -9.00  NGC252              11.3     85.7
1998dh      15.73   0.10  17.06   0.18  15.56   0.09  14.07   0.05  19.21 -9.000 -99.00  -9.00  15.06   0.09  16.38   0.16  14.90   0.08  13.44   0.04  18.54 -9.000 -99.00  -9.00  14.71   0.10  16.03   0.18  14.54   0.09  13.07   0.05  18.18 -9.000 -99.00  -9.00  NGC7541            204.0    163.1
1998dj      14.29   0.05  16.54   0.14  15.03   0.07  13.49   0.04  17.77 -9.000 -99.00  -9.00  13.60   0.05  15.85   0.13  14.34   0.06  12.80   0.03  17.08 -9.000 -99.00  -9.00  13.33   0.05  15.58   0.14  14.07   0.07  12.53   0.04  16.81 -9.000 -99.00  -9.00  NGC788              69.0     68.2
1998dq      15.45   0.09  17.13   0.19  15.60   0.10  14.04   0.05  18.93 -9.000 -99.00  -9.00  14.68   0.08  16.33   0.16  14.83   0.08  13.30   0.04  18.16 -9.000 -99.00  -9.00  14.53   0.09  16.22   0.20  14.68   0.10  13.07   0.05  18.01 -9.000 -99.00  -9.00  NGC6754            137.3    124.0
1998dt      16.91   0.18  19.30   0.53  17.82   0.27  16.42   0.14  20.39 -9.000 -99.00  -9.00  16.46   0.18  18.92   0.55  17.42   0.27  15.92   0.14  19.94 -9.000 -99.00  -9.00  16.00   0.18  18.43   0.56  16.94   0.28  15.46   0.14  19.48 -9.000 -99.00  -9.00  NGC945             150.7     88.3
1998dx      18.73   0.39  23.90   4.26  22.41   2.15  20.94   1.09  22.21 -9.000 -99.00  -9.00  17.32   0.23  22.76   2.80  21.27   1.41  19.76   0.70  20.80 -9.000 -99.00  -9.00  16.32   0.19  21.61   2.17  20.10   1.08  18.59   0.54  19.79 -9.000 -99.00  -9.00  UGC11149            29.6     37.9
1998ec      17.53   0.22  21.04   1.11  19.54   0.55  18.02   0.27  21.01 -9.000 -99.00  -9.00  16.96   0.23  20.49   1.15  18.98   0.57  17.45   0.28  20.44 -9.000 -99.00  -9.00  16.53   0.21  20.03   1.06  18.52   0.53  17.01   0.26  20.01 -9.000 -99.00  -9.00  UGC3576             58.7     70.2
1998ef      14.30   0.05  17.25   0.19  15.75   0.10  14.27   0.05  17.78 -9.000 -99.00  -9.00  13.65   0.04  16.61   0.17  15.11   0.08  13.62   0.04  17.13 -9.000 -99.00  -9.00  13.37   0.05  16.34   0.20  14.84   0.10  13.34   0.05  16.85 -9.000 -99.00  -9.00  UGC646              49.4     54.0
1998es      15.90   0.11  17.45   0.22  15.93   0.11  14.39   0.05  19.37 -9.000 -99.00  -9.00  15.27   0.10  16.83   0.20  15.31   0.10  13.72   0.05  18.75 -9.000 -99.00  -9.00  15.04   0.11  16.58   0.23  15.07   0.11  13.53   0.06  18.52 -9.000 -99.00  -9.00  NGC632              50.1     62.7
1998ew      19.01   0.45  20.03   0.71  18.42   0.34  17.49   0.22  22.49 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC6943            149.9    216.0
1998ey      16.60   0.15  19.18   0.50  17.68   0.25  16.20   0.13  20.08 -9.000 -99.00  -9.00  16.29   0.15  18.92   0.49  17.40   0.24  15.86   0.12  19.76 -9.000 -99.00  -9.00  15.76   0.15  18.39   0.51  16.87   0.25  15.33   0.12  19.23 -9.000 -99.00  -9.00  NGC7080            120.2    119.9
1999A       16.71   0.15  18.81   0.40  17.30   0.20  15.79   0.10  20.19 -9.000 -99.00  -9.00  16.32   0.14  18.45   0.38  16.92   0.19  15.35   0.09  19.80 -9.000 -99.00  -9.00  15.86   0.16  17.90   0.40  16.42   0.20  14.99   0.10  19.34 -9.000 -99.00  -9.00  NGC5874             80.9    141.2
1999B       17.51   0.23  18.01   0.29  16.69   0.16  15.48   0.09  20.99 -9.000 -99.00  -9.00  17.18   0.22  17.71   0.28  16.24   0.14  14.99   0.08  20.66 -9.000 -99.00  -9.00  16.92   0.26  17.44   0.33  16.03   0.17  14.70   0.09  20.40 -9.000 -99.00  -9.00  UGC7189             67.0     34.2
1999aa      16.58   0.15  19.42   0.54  17.92   0.27  16.45   0.14  20.06 -9.000 -99.00  -9.00  16.02   0.13  18.85   0.47  17.36   0.23  15.88   0.12  19.50 -9.000 -99.00  -9.00  16.19   0.18  19.18   0.72  17.64   0.36  16.03   0.17  19.66 -9.000 -99.00  -9.00  NGC2595             88.4    119.1
1999ac      17.75   0.27  19.42   0.58  17.97   0.30  16.67   0.16  21.23 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  17.83   0.35 -99.00 -9.000 -99.00  -9.00  16.95   0.26  18.58   0.56  17.16   0.29  15.97   0.17  20.43 -9.000 -99.00  -9.00  NGC6063             48.6     55.0
1999ao      16.47   0.15  21.71   1.65  20.17   0.81  18.66   0.41  19.95 -9.000 -99.00  -9.00  15.80   0.13  21.00   1.44  19.47   0.71  17.97   0.36  19.28 -9.000 -99.00  -9.00  15.41   0.14  20.66   1.56  19.11   0.77  17.61   0.38  18.89 -9.000 -99.00  -9.00  A062726-3550        22.6     20.1
1999be      18.15   0.30  21.41   1.35  19.91   0.68  18.42   0.34  21.63 -9.000 -99.00  -9.00  17.72   0.28  21.05   1.28  19.54   0.64  18.01   0.32  21.20 -9.000 -99.00  -9.00  17.99   0.42  21.22   1.85  19.73   0.93  18.26   0.47  21.47 -9.000 -99.00  -9.00  CGCG89-013          70.6     76.0
1999bh      16.26   0.12  19.24   0.46  17.71   0.23  16.17   0.11  19.73 -9.000 -99.00  -9.00  15.68   0.11  18.67   0.42  17.14   0.21  15.60   0.10  19.16 -9.000 -99.00  -9.00  15.30   0.12  18.28   0.48  16.76   0.24  15.22   0.12  18.78 -9.000 -99.00  -9.00  NGC3435             73.1     59.3
1999br      16.10   0.13  15.99   0.12  14.43   0.06  12.88   0.03  19.58 -9.000 -99.00  -9.00  15.65   0.12  15.54   0.12  14.04   0.06  12.50   0.03  19.13 -9.000 -99.00  -9.00  15.16   0.12  15.05   0.12  13.55   0.06  12.20   0.03  18.64 -9.000 -99.00  -9.00  NGC4900             89.3    109.5
1999bu      13.61   0.04  15.30   0.08  13.80   0.04  12.40   0.02  17.09 -9.000 -99.00  -9.00  12.79   0.03  14.48   0.07  12.98   0.04  11.58   0.02  16.27 -9.000 -99.00  -9.00  12.29   0.03  13.98   0.06  12.48   0.03  11.09   0.02  15.77 -9.000 -99.00  -9.00  NGC3786             98.7     94.4
1999bv     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  M+10-25-14          31.0      2.7
1999bx      15.78   0.10  18.29   0.31  16.79   0.15  15.31   0.08  19.26 -9.000 -99.00  -9.00  15.25   0.09  17.79   0.28  16.28   0.14  14.76   0.07  18.72 -9.000 -99.00  -9.00  14.83   0.10  17.34   0.31  15.84   0.15  14.36   0.08  18.31 -9.000 -99.00  -9.00  NGC6745             66.0     79.1
1999ca      17.28   0.21  19.09   0.48  17.58   0.24  16.04   0.12  20.76 -9.000 -99.00  -9.00  16.39   0.17  18.20   0.39  16.68   0.19  15.14   0.09  19.86 -9.000 -99.00  -9.00  16.20   0.19  17.95   0.44  16.47   0.22  15.08   0.12  19.68 -9.000 -99.00  -9.00  NGC3120             72.7    101.6
1999cc      16.40   0.14  20.79   1.07  19.28   0.54  17.78   0.27  19.88 -9.000 -99.00  -9.00  15.71   0.11  20.09   0.86  18.58   0.43  17.08   0.22  19.19 -9.000 -99.00  -9.00  15.23   0.12  19.58   0.90  18.08   0.45  16.58   0.23  18.71 -9.000 -99.00  -9.00  NGC6038             45.4     63.5
1999cd      16.91   0.17  19.52   0.56  18.02   0.28  16.53   0.14  20.39 -9.000 -99.00  -9.00  16.34   0.15  18.94   0.49  17.45   0.24  15.97   0.12  19.82 -9.000 -99.00  -9.00  15.80   0.15  18.39   0.50  16.90   0.25  15.43   0.13  19.28 -9.000 -99.00  -9.00  NGC3646            149.1     99.7
1999cp      18.07   0.30  20.07   0.75  18.62   0.39  17.30   0.21  21.55 -9.000 -99.00  -9.00  23.56   4.56 -99.00  -9.00 -99.00  -9.00  18.55   0.45  27.03 -9.000 -99.00  -9.00  18.83   0.66  21.92   2.73  19.77   1.02  17.47   0.35  22.31 -9.000 -99.00  -9.00  NGC5468            155.4    124.4
1999cw      18.21   0.32  20.23   0.82  18.72   0.41  17.17   0.20  21.69 -9.000 -99.00  -9.00  17.09   0.24  19.11   0.60  17.60   0.30  16.02   0.14  20.57 -9.000 -99.00  -9.00  16.40   0.22  18.36   0.54  16.88   0.27  15.46   0.14  19.88 -9.000 -99.00  -9.00  M-01-02-01          52.2     70.8
1999cz      14.72   0.06  16.00   0.11  14.52   0.06  13.08   0.03  18.20 -9.000 -99.00  -9.00  13.88   0.05  15.16   0.10  13.68   0.05  12.23   0.02  17.36 -9.000 -99.00  -9.00  13.53   0.06  14.81   0.10  13.33   0.05  11.89   0.03  17.01 -9.000 -99.00  -9.00  NGC5078            170.9    182.8
1999da     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC6411            147.1     76.2
1999dh      17.77   0.25  19.48   0.54  17.98   0.27  16.48   0.14  21.25 -9.000 -99.00  -9.00  16.97   0.21  18.67   0.47  17.17   0.23  15.69   0.12  20.44 -9.000 -99.00  -9.00  16.52   0.22  18.21   0.48  16.72   0.24  15.29   0.13  19.99 -9.000 -99.00  -9.00  IC211               82.9     51.9
1999di      15.93   0.11  18.60   0.38  17.09   0.19  15.58   0.09  19.41 -9.000 -99.00  -9.00  15.30   0.09  17.96   0.31  16.46   0.16  14.94   0.08  18.78 -9.000 -99.00  -9.00  15.07   0.11  17.75   0.38  16.23   0.19  14.71   0.09  18.55 -9.000 -99.00  -9.00  NGC776              73.7     61.6
1999dk      17.66   0.23  20.37   0.80  18.89   0.41  17.49   0.21  21.14 -9.000 -99.00  -9.00  17.25   0.26  20.18   1.00  18.62   0.48  17.04   0.23  20.73 -9.000 -99.00  -9.00  17.02   0.26  19.80   0.94  18.30   0.47  16.83   0.24  20.50 -9.000 -99.00  -9.00  UGC1087             63.7     94.2
1999dn      15.27   0.08  16.54   0.14  15.03   0.07  13.45   0.03  18.75 -9.000 -99.00  -9.00  14.62   0.07  15.90   0.13  14.38   0.07  12.79   0.03  18.10 -9.000 -99.00  -9.00  14.29   0.08  15.56   0.14  14.05   0.07  12.47   0.03  17.77 -9.000 -99.00  -9.00  NGC7714             67.0     66.7
1999dp      16.93   0.18  19.59   0.60  18.08   0.30  16.56   0.15  20.40 -9.000 -99.00  -9.00  16.13   0.13  18.81   0.46  17.30   0.23  15.75   0.11  19.61 -9.000 -99.00  -9.00  15.96   0.17  18.63   0.57  17.12   0.29  15.58   0.14  19.44 -9.000 -99.00  -9.00  UGC3046             85.7     76.7
1999dq      14.07   0.05  16.15   0.12  14.63   0.06  13.06   0.03  17.55 -9.000 -99.00  -9.00  13.34   0.04  15.42   0.10  13.89   0.05  12.32   0.02  16.82 -9.000 -99.00  -9.00  13.01   0.04  15.09   0.11  13.57   0.06  11.99   0.03  16.49 -9.000 -99.00  -9.00  NGC976              74.6     63.9
1999eb      15.24   0.08  18.13   0.29  16.62   0.15  15.09   0.07  18.71 -9.000 -99.00  -9.00  14.55   0.07  17.45   0.27  15.94   0.13  14.40   0.07  18.03 -9.000 -99.00  -9.00  14.18   0.08  17.08   0.29  15.57   0.14  14.03   0.07  17.66 -9.000 -99.00  -9.00  NGC664              60.6     58.6
