# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1968I       14.60   0.06  15.02   0.08  13.46   0.04  11.77   0.02  18.08 -9.000 -99.00  -9.00  13.91   0.06  14.33   0.07  12.78   0.03  11.07   0.02  17.39 -9.000 -99.00  -9.00  13.72   0.06  14.15   0.08  12.56   0.04  10.81   0.02  17.20 -9.000 -99.00  -9.00  NGC4981            135.8    144.2
1968V       18.06   0.29  19.24   0.51  17.79   0.26  16.39   0.14  21.54 -9.000 -99.00  -9.00  17.07   0.24  18.26   0.41  16.80   0.21  15.40   0.11  20.55 -9.000 -99.00  -9.00  18.37   0.50  19.98   1.05  17.94   0.41  15.50   0.13  21.85 -9.000 -99.00  -9.00  NGC2276            152.4    153.5
1969C       15.70   0.10  17.60   0.23  16.08   0.12  14.54   0.06  19.18 -9.000 -99.00  -9.00  15.11   0.08  17.02   0.20  15.50   0.10  13.95   0.05  18.59 -9.000 -99.00  -9.00  14.76   0.09  16.68   0.23  15.15   0.11  13.58   0.05  18.24 -9.000 -99.00  -9.00  NGC3811             56.0     74.3
1969L      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC1058            -99.0     74.3
1970A       17.33   0.20 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  20.81 -9.000 -99.00  -9.00  17.52   0.25 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  21.00 -9.000 -99.00  -9.00  16.80   0.24 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  20.28 -9.000 -99.00  -9.00  IC3476              94.6     46.5
1971K       18.89   0.42  20.77   1.00  19.27   0.50  17.72   0.24  22.37 -9.000 -99.00  -9.00  18.69   0.43  20.53   1.01  19.07   0.52  17.54   0.26  22.17 -9.000 -99.00  -9.00  16.69   0.23  18.47   0.52  17.03   0.27  15.77   0.15  20.17 -9.000 -99.00  -9.00  NGC3811             95.0     51.3
1972H       16.23   0.13  17.84   0.26  16.34   0.13  14.86   0.07  19.71 -9.000 -99.00  -9.00  15.85   0.12  17.47   0.25  15.96   0.12  14.47   0.06  19.33 -9.000 -99.00  -9.00  15.43   0.13  17.02   0.27  15.54   0.14  14.09   0.07  18.91 -9.000 -99.00  -9.00  NGC3147            120.1    188.4
1972J       18.35   0.34  20.67   0.99  19.13   0.49  17.53   0.23  21.83 -9.000 -99.00  -9.00  18.26   0.39  20.53   1.11  19.02   0.56  17.44   0.27  21.74 -9.000 -99.00  -9.00  17.40   0.34  19.75   0.99  18.19   0.48  16.58   0.23  20.88 -9.000 -99.00  -9.00  NGC7634             75.8     41.8
1972Q       16.61   0.15  18.10   0.30  16.62   0.15  15.18   0.08  20.09 -9.000 -99.00  -9.00  15.85   0.12  17.33   0.24  15.86   0.12  14.46   0.06  19.32 -9.000 -99.00  -9.00  15.59   0.14  17.08   0.28  15.60   0.14  14.21   0.07  19.07 -9.000 -99.00  -9.00  NGC4254            135.3    248.0
1973N       16.74   0.17  19.35   0.55  17.84   0.28  16.31   0.14  20.21 -9.000 -99.00  -9.00  16.12   0.14  18.71   0.45  17.21   0.22  15.71   0.11  19.60 -9.000 -99.00  -9.00  15.72   0.15  18.31   0.49  16.80   0.25  15.30   0.12  19.19 -9.000 -99.00  -9.00  NGC7495             79.1     58.8
