SNLS-03D4at       SNLS   Ia        -          333.60008333 -17.77666667  A221424.02-174636.0        -9.99999999 -99.99999999    0.633
SNLS-03D4bc       SNLS   Ia        -          333.86725000 -17.83019444  A221528.14-174948.7        -9.99999999 -99.99999999    0.572
SNLS-03D4cj       SNLS   Ia        -          334.02775000 -17.70466667  A221606.66-174216.8        -9.99999999 -99.99999999    0.270
SNLS-03D4cn       SNLS   Ia        -          334.14416667 -17.27044444  A221634.60-171613.6        -9.99999999 -99.99999999    0.818
SNLS-03D4cx       SNLS   Ia        -          333.64062500 -17.58758333  A221433.75-173515.3        -9.99999999 -99.99999999    0.950
SNLS-03D4cy       SNLS   Ia        -          333.41850000 -17.68169444  A221340.44-174054.1        -9.99999999 -99.99999999    0.927
SNLS-03D4cz       SNLS   Ia        -          334.17437500 -17.92622222  A221641.85-175534.4        -9.99999999 -99.99999999    0.695
SNLS-03D4dh       SNLS   Ia        -          334.37933333 -17.62972222  A221731.04-173747.0        -9.99999999 -99.99999999    0.627
SNLS-03D4di       SNLS   Ia        -          333.54270833 -17.50672222  A221410.25-173024.2        -9.99999999 -99.99999999    0.905
SNLS-03D4dy       SNLS   Ia        -          333.71045833 -17.95644444  A221450.51-175723.2        -9.99999999 -99.99999999    0.600
SNLS-03D4fd       SNLS   Ia        -          334.06025000 -17.39563889  A221614.46-172344.3        -9.99999999 -99.99999999    0.791
SNLS-03D4gg       SNLS   Ia        -          334.16745833 -18.16438889  A221640.19-180951.8        -9.99999999 -99.99999999    0.592
SNLS-03D4gl       SNLS   Ia        -          333.68408333 -17.52900000  A221444.18-173144.4        -9.99999999 -99.99999999    0.571
SNLS-04D1ag       SNLS   Ia        -           36.17137500  -4.28880556  A022441.13-41719.7         -9.99999999 -99.99999999    0.557
SNLS-04D2ae       SNLS   Ia        -          150.46816667   2.22258333  A100152.36+21321.3         -9.99999999 -99.99999999    0.843
SNLS-04D2al       SNLS   Ia        -          150.46866667   2.16422222  A100152.48+20951.2         -9.99999999 -99.99999999    0.840
SNLS-04D2an       SNLS   Ia        -          150.21804167   2.04130556  A100052.33+20228.7         -9.99999999 -99.99999999    0.620
SNLS-04D2bt       SNLS   Ia        -          149.88637500   2.24808333  A095932.73+21453.1         -9.99999999 -99.99999999    0.220
SNLS-04D2ca       SNLS   Ia        -          150.33545833   2.33938889  A100120.51+22021.8         -9.99999999 -99.99999999    0.830
SNLS-04D2cf       SNLS   Ia        -          150.48379167   1.87955556  A100156.11+15246.4         -9.99999999 -99.99999999    0.369
SNLS-04D2cw       SNLS   Ia        -          150.34495833   2.19869444  A100122.79+21155.3         -9.99999999 -99.99999999    0.568
SNLS-04D2fp       SNLS   Ia        -          149.86733333   2.32100000  A095928.16+21915.6         -9.99999999 -99.99999999    0.415
SNLS-04D2fs       SNLS   Ia        -          150.09212500   1.76547222  A100022.11+14555.7         -9.99999999 -99.99999999    0.357
SNLS-04D2gb       SNLS   Ia        -          150.59450000   1.89425000  A100222.68+15339.3         -9.99999999 -99.99999999    0.430
SNLS-04D2gc       SNLS   Ia        -          150.41366667   1.88316667  A100139.28+15259.4         -9.99999999 -99.99999999    0.521
SNLS-04D2gp       SNLS   Ia        -          149.83500000   2.50886111  A095920.40+23031.9         -9.99999999 -99.99999999    0.710
SNLS-04D3bf       SNLS   Ia        -          214.43791667  52.46786111  A141745.10+522804.3        -9.99999999 -99.99999999    0.156
SNLS-04D3co       SNLS   Ia        -          214.45845833  52.96358333  A141750.03+525748.9        -9.99999999 -99.99999999    0.620
SNLS-04D3cp       SNLS   Ia        -          215.09979167  52.82094444  A142023.95+524915.4        -9.99999999 -99.99999999    0.830
SNLS-04D3cy       SNLS   Ia        -          214.55187500  52.65844444  A141812.45+523930.4        -9.99999999 -99.99999999    0.643
SNLS-04D3dd       SNLS   Ia        -          214.45170833  52.47072222  A141748.41+522814.6        -9.99999999 -99.99999999    1.010
SNLS-04D3df       SNLS   Ia        -          214.54183333  52.27772222  A141810.04+521639.8        -9.99999999 -99.99999999    0.470
SNLS-04D3do       SNLS   Ia        -          214.44212500  52.26761111  A141746.11+521603.4        -9.99999999 -99.99999999    0.610
