SDSS2789          SDSS   -         2005fx     344.20141667   0.40101667  A225648+0024               -9.99999999 -99.99999999   -9.990
SDSS2916          SDSS   -         2005fz     315.92169167   0.56947778  A210341+0034               -9.99999999 -99.99999999   -9.990
SDSS2943          SDSS   -         2005go      17.70490833   1.00783611  A011049+0100               -9.99999999 -99.99999999   -9.990
SDSS2992          SDSS   -         2005gp      55.49692083  -0.78269444  A034159-0046               -9.99999999 -99.99999999   -9.990
SDSS3080          SDSS   -         2005ga      16.93231250  -1.03955278  A010743-0102               -9.99999999 -99.99999999   -9.990
SDSS3087          SDSS   -         2005gc      20.40665833  -0.97730000  A012137-0058               -9.99999999 -99.99999999   -9.990
SDSS3199          SDSS   -         2005gs     333.29257083   1.05047778  A221310+0103               -9.99999999 -99.99999999   -9.990
SDSS3241          SDSS   -         2005gh     312.65142917  -0.35415833  A205036-0021               -9.99999999 -99.99999999   -9.990
SDSS3256          SDSS   -         2005hn     329.26767083  -0.22353056  A215704-0013               -9.99999999 -99.99999999   -9.990
SDSS3317          SDSS   -         2005gd      26.96252083   0.64053056  A014751+0038               -9.99999999 -99.99999999   -9.990
SDSS3331          SDSS   -         2005ge      34.56134167   0.79646389  A021814+0047               -9.99999999 -99.99999999   -9.990
SDSS3377          SDSS   -         2005gr      54.15605833   1.07908611  A033637+0104               -9.99999999 -99.99999999   -9.990
SDSS3451          SDSS   -         2005gf     334.06921250   0.70805000  A221616+0042               -9.99999999 -99.99999999   -9.990
SDSS3452          SDSS   -         2005gg     334.67138750   0.63906389  A221841+0038               -9.99999999 -99.99999999   -9.990
SDSS3592          SDSS   -         2005gb      19.05239583   0.79183333  A011612+0047               -9.99999999 -99.99999999   -9.990
SDSS3901          SDSS   -         2005ho      14.85038750   0.00252222  A005924+0000               -9.99999999 -99.99999999   -9.990
SDSS4000          SDSS   -         2005gt      31.01588750  -0.36593056  A020403-0021               -9.99999999 -99.99999999   -9.990
SDSS4046          SDSS   -         2005gw     354.49822917   0.64201389  A233759+0038               -9.99999999 -99.99999999   -9.990
SDSS4064          SDSS   Ia        -           46.10955833   1.04642222  A030426+0102               -9.99999999 -99.99999999   -9.990
SDSS4241          SDSS   -         2005gu      12.23757917  -0.90583611  A004857-0054               -9.99999999 -99.99999999   -9.990
SDSS4524          SDSS   -         2005gj      45.29967917  -0.55393611  A030111-0033               -9.99999999 -99.99999999   -9.990
SDSS4577          SDSS   -         2005gv      38.47542917   0.28061667  A023354+0016               -9.99999999 -99.99999999   -9.990
SDSS4679          SDSS   -         2005gy      21.52824583   0.67677778  A012606+0040               -9.99999999 -99.99999999   -9.990
SDSS5103          SDSS   -         2005gx     359.88437083   0.73710556  A235932+0044               -9.99999999 -99.99999999   -9.990
SDSS5183          SDSS   -         2005gq      53.45395000   0.70927778  A033348+0042               -9.99999999 -99.99999999   -9.990
SDSS5350          SDSS   -         2005hp     307.21908750  -0.77928333  A202852-0046               -9.99999999 -99.99999999   -9.990
SDSS5391          SDSS   -         2005hs      52.34186667  -1.09478611  A032922-0105               -9.99999999 -99.99999999   -9.990
SDSS5395          SDSS   -         2005hr      49.64083750   0.12326944  A031833+0007               -9.99999999 -99.99999999   -9.990
SDSS5533          SDSS   -         2005hu     328.66986250   0.41335278  A215440+0024               -9.99999999 -99.99999999   -9.990
SDSS5549          SDSS   -         2005hx       3.25047917   0.24814444  A001300+0014               -9.99999999 -99.99999999   -9.990
SDSS5550          SDSS   -         2005hy       3.59819167   0.33296667  A001423+0019               -9.99999999 -99.99999999   -9.990
SDSS5588          SDSS   -         2005hw       2.36861667   1.15484444  A000928+0109               -9.99999999 -99.99999999   -9.990
SDSS5635          SDSS   -         2005hv     333.18270833  -0.03503333  A221243-0002               -9.99999999 -99.99999999   -9.990
SDSS5717          SDSS   -         2005ia      17.89587500  -0.00597222  A011135-0000               -9.99999999 -99.99999999   -9.990
SDSS5736          SDSS   -         2005jz      22.86263750  -0.63166389  A013127-0037               -9.99999999 -99.99999999   -9.990
SDSS5737          SDSS   Ia        -           22.85692083  -0.60344167  A013125-0036               -9.99999999 -99.99999999   -9.990
SDSS5751          SDSS   -         2005hz      11.63407917   0.83812500  A004632+0050               -9.99999999 -99.99999999   -9.990
SDSS5821          SDSS   -         2005hq     312.58239583  -0.82533056  A205019-0049               -9.99999999 -99.99999999   -9.990
SDSS5844          SDSS   -         2005ic     327.78616250  -0.84301667  A215108-0050               -9.99999999 -99.99999999   -9.990
SDSS5916          SDSS   -         2005is       5.43728333  -0.32510000  A002144-0019               -9.99999999 -99.99999999   -9.990
SDSS5944          SDSS   -         2005hc      29.19971250  -0.21378611  A015647-0012               -9.99999999 -99.99999999   -9.990
SDSS5957          SDSS   -         2005ie      34.76051250  -0.27291944  A021902-0016               -9.99999999 -99.99999999   -9.990
SDSS5966          SDSS   -         2005it      16.19029583   0.51383611  A010445+0030               -9.99999999 -99.99999999   -9.990
SDSS5994          SDSS   -         2005ht     312.60245000  -0.16795000  A205024-0010               -9.99999999 -99.99999999   -9.990
SDSS6057          SDSS   -         2005if      52.55354583  -0.97467500  A033012-0058               -9.99999999 -99.99999999   -9.990
SDSS6100          SDSS   -         2005ka     333.48312500   1.08640000  A221355+0105               -9.99999999 -99.99999999   -9.990
SDSS6108          SDSS   -         2005ih       1.80657083   0.34889722  A000713+0020               -9.99999999 -99.99999999   -9.990
SDSS6127          SDSS   -         2005iw     337.32391250  -0.09244722  A222917-0005               -9.99999999 -99.99999999   -9.990
SDSS6137          SDSS   -         2005iv     307.93606667   0.24472500  A203144+0014               -9.99999999 -99.99999999   -9.990
SDSS6192          SDSS   -         2005jy     348.46493333   1.25689444  A231351+0115               -9.99999999 -99.99999999   -9.990
SDSS6196          SDSS   -         2005ig     337.63107500  -0.50279167  A223031-0030               -9.99999999 -99.99999999   -9.990
SDSS6249          SDSS   -         2005ii       3.26547083  -0.62019167  A001303-0037               -9.99999999 -99.99999999   -9.990
SDSS6295          SDSS   -         2005js      23.67294583  -0.60544167  A013441-0036               -9.99999999 -99.99999999   -9.990
SDSS6304          SDSS   -         2005jk      26.49760000   1.19588611  A014559+0111               -9.99999999 -99.99999999   -9.990
SDSS6315          SDSS   -         2005ix     310.48272500   1.09190833  A204155+0105               -9.99999999 -99.99999999   -9.990
SDSS6406          SDSS   -         2005ij      46.08859583  -1.06301111  A030421-0103               -9.99999999 -99.99999999   -9.990
SDSS6422          SDSS   -         2005id     349.13870000  -0.66325833  A231633-0039               -9.99999999 -99.99999999   -9.990
SDSS6558          SDSS   -         2005hj      21.70165000  -1.23814444  A012648-0114               -9.99999999 -99.99999999   -9.990
SDSS6649          SDSS   -         2005jd      34.27581667   0.53471389  A021706+0032               -9.99999999 -99.99999999   -9.990
SDSS6696          SDSS   Ia        -          339.07922500   0.47918333  A223619+0028               -9.99999999 -99.99999999   -9.990
SDSS6699          SDSS   -         2005ik     322.81491250  -1.05707500  A213115-0103               -9.99999999 -99.99999999   -9.990
SDSS6773          SDSS   -         2005iu     305.06503333   0.21731389  A202015+0013               -9.99999999 -99.99999999   -9.990
SDSS6777          SDSS   -         2005iy     321.21637083   0.38552222  A212451+0023               -9.99999999 -99.99999999   -9.990
SDSS6780          SDSS   -         2005iz     328.06851250   0.26698333  A215216+0016               -9.99999999 -99.99999999   -9.990
SDSS6852          SDSS   -         2005jf      53.41980417  -0.11218611  A033340-0006               -9.99999999 -99.99999999   -9.990
SDSS6924          SDSS   -         2005ja     358.96923750   0.87685278  A235552+0052               -9.99999999 -99.99999999   -9.990
SDSS6933          SDSS   -         2005jc      11.35167500   1.07546667  A004524+0104               -9.99999999 -99.99999999   -9.990
SDSS6936          SDSS   -         2005jl     323.23379583  -0.69986111  A213256-0041               -9.99999999 -99.99999999   -9.990
SDSS6962          SDSS   -         2005je      38.86085833   1.07480833  A023526+0104               -9.99999999 -99.99999999   -9.990
SDSS6968          SDSS   Ia        -           19.55562083  -0.90663889  A011813-0054               -9.99999999 -99.99999999   -9.990
SDSS7017          SDSS   Ia        -           31.36531250  -0.49796667  A020527-0029               -9.99999999 -99.99999999   -9.990
SDSS7143          SDSS   -         2005jg     345.26232917  -0.20746111  A230102-0012               -9.99999999 -99.99999999   -9.990
SDSS7147          SDSS   -         2005jh     350.01831250  -0.05556667  A232004-0003               -9.99999999 -99.99999999   -9.990
SDSS7243          SDSS   -         2005jm     328.07904167   0.47186389  A215218+0028               -9.99999999 -99.99999999   -9.990
SDSS7335          SDSS   -         2005kn     318.88513333  -0.35542500  A211532-0021               -9.99999999 -99.99999999   -9.990
SDSS7426          SDSS   -         2005jb     339.01324583  -0.36797778  A223603-0022               -9.99999999 -99.99999999   -9.990
SDSS7460          SDSS   -         2005jx     323.58401667  -0.68178333  A213420-0040               -9.99999999 -99.99999999   -9.990
SDSS7473          SDSS   -         2005ji       4.32628333  -0.25736111  A001718-0015               -9.99999999 -99.99999999   -9.990
SDSS7475          SDSS   -         2005jn       4.75337500  -0.28156111  A001900-0016               -9.99999999 -99.99999999   -9.990
SDSS7512          SDSS   -         2005jo      52.09021667  -0.32616667  A032821-0019               -9.99999999 -99.99999999   -9.990
SDSS7779          SDSS   -         2005jw     310.08017083  -0.00723333  A204019-0000               -9.99999999 -99.99999999   -9.990
SDSS7847          SDSS   -         2005jp      32.45985417  -0.06184722  A020950-0003               -9.99999999 -99.99999999   -9.990
SDSS7876          SDSS   -         2005ir      19.18237500   0.79452222  A011643+0047               -9.99999999 -99.99999999   -9.990
SDSS7947          SDSS   -         2005jj     314.18600417   0.40829167  A205644+0024               -9.99999999 -99.99999999   -9.990
SDSS8030          SDSS   -         2005jv      40.20864583   0.99305000  A024050+0059               -9.99999999 -99.99999999   -9.990
SDSS8046          SDSS   -         2005ju      39.11671250   0.51117778  A023628+0030               -9.99999999 -99.99999999   -9.990
SDSS8151          SDSS   -         2005hk       6.96191250  -1.19823611  A002750-0111               -9.99999999 -99.99999999   -9.990
SDSS8213          SDSS   -         2005ko     357.52081250  -0.92148056  A235004-0055               -9.99999999 -99.99999999   -9.990
SDSS8495          SDSS   -         2005mi     335.26101667  -0.74820000  A222102-0044               -9.99999999 -99.99999999   -9.990
SDSS8598          SDSS   -         2005jt      42.66723750  -0.06600556  A025040-0003               -9.99999999 -99.99999999   -9.990
SDSS8707          SDSS   -         2005mh      41.23611667   0.20358333  A024456+0012               -9.99999999 -99.99999999   -9.990
SDSS8719          SDSS   -         2005kp       7.72140833  -0.71892778  A003053-0043               -9.99999999 -99.99999999   -9.990
SDSS8921          SDSS   -         2005ld     325.00192500  -0.00803333  A214000-0000               -9.99999999 -99.99999999   -9.990
SDSS9032          SDSS   -         2005le     337.88452083  -0.49365278  A223132-0029               -9.99999999 -99.99999999   -9.990
SDSS9045          SDSS   -         2005kq     347.83703750  -0.60869167  A231120-0036               -9.99999999 -99.99999999   -9.990
SDSS9207          SDSS   -         2005lg      19.08353750  -0.80786667  A011620-0048               -9.99999999 -99.99999999   -9.990
SDSS9457          SDSS   -         2005li     335.81427083   0.25294444  A222315+0015               -9.99999999 -99.99999999   -9.990
SDSS9467          SDSS   -         2005lh     328.95132500   1.18071389  A215548+0110               -9.99999999 -99.99999999   -9.990
