# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2001kp      A095153+0106                 0.092     7.68     7.10    0.079     7.34     2.75    0.102     7.77     1.64    0.105     7.79     1.31    0.127     8.13     1.09
2001er      UGC05301                     0.919    -0.46    12.29    0.892    -2.37     2.82    0.892    -2.56     2.08    0.883    -2.93     1.57    0.895    -2.98     1.38
1983E       NGC3044                      0.295    -0.33     2.75    0.308    -0.55     1.59    0.337    -0.58     1.25    0.346    -0.50     1.15    0.388    -0.53     1.03
2009eb      A095440+1911                 0.219   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.005   -99.00    -9.00
2009ar      A095526-0128                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.013   -99.00    -9.00    0.016   -99.00    -9.00    0.000   -99.00    -9.00
1993J       NGC3031                      0.270    -0.21     3.99    0.500     0.04     2.34    0.538     0.21     1.75    0.552     0.26     1.45    0.521     0.31     1.30
2004am      NGC3034                      0.367    -1.58     1.86    0.453    -1.93     0.76    0.519    -2.43     0.40    0.546    -2.81     0.28    0.594    -3.29     0.20
2008iz      NGC3034                      0.009     0.77     1.72    0.012     0.77     0.81    0.019     0.79     0.43    0.021     0.67     0.33    0.030     0.52     0.22
2014J       NGC3034                      0.628    -2.25     2.33    0.769    -2.78     0.92    0.808    -3.18     0.56    0.829    -3.36     0.44    0.852    -3.60     0.37
2008ae      IC0577                       0.730     0.50     5.49    0.734     0.65     3.88    0.749     0.59     3.17    0.727     0.51     2.75    0.753     0.70     2.82
2009am      NGC3060                      0.763   -99.00    -9.00    0.811     0.14     4.64    0.843    -0.36     2.82    0.846    -0.62     2.11    0.876    -0.55     1.99
1988ag      A095645+0656                 0.493   -99.00    -9.00    0.522   -99.00    -9.00    0.563   -99.00    -9.00    0.554     2.08    12.28    0.607     1.58     8.69
1998W       NGC3075                      0.500     0.25     6.14    0.571    -0.03     3.55    0.615    -0.46     2.36    0.618    -0.29     2.32    0.714    -0.39     2.11
2001gb      IC0582                       0.672     0.51     7.09    0.628     1.08     5.49    0.645     1.05     4.34    0.644     1.09     3.88    0.668     0.90     3.28
2009ba      IC0582                       0.895    -0.45     8.69    0.843     0.69     8.69    0.847     0.71     7.09    0.840     0.99     7.09    0.858     1.11     7.09
1965N       NGC3074                      0.092    -0.01     7.09    0.112     0.95     5.49    0.131     0.94     3.88    0.140     0.24     2.36    0.145     0.35     2.24
2002cp      NGC3074                      0.928    -2.29     8.69    0.941    -1.48     7.09    0.946    -1.04     7.09    0.948    -0.81     7.09    0.951    -0.67     7.09
2004ar      A095948+1128                 0.163    -0.02     7.09    0.143    -0.07     4.09    0.107    -0.17     3.17    0.095    -0.20     2.75    0.082    -0.23     2.51
1994K       PGC028944                    0.845    -0.75    12.28    0.896     0.31    12.28    0.905     0.08     8.69    0.904     1.22    12.28    0.939     1.15    12.28
2007S       UGC05378                     0.743    -1.22     4.64    0.792    -1.72     2.36    0.812    -2.00     1.74    0.815    -2.01     1.55    0.847    -2.11     1.44
2005kh      NGC3094                      0.978    -1.95     8.69    0.923    -1.20     7.09    0.938    -1.83     4.34    0.938    -1.17     5.01    0.961    -1.45     4.64
2007ag      UGC05392                     0.531     0.34     7.09    0.549     0.47     4.09    0.579    -0.13     2.32    0.603    -0.08     2.05    0.638    -0.33     1.60
1994J       PGC029040                    0.701     0.49     7.09    0.695     0.81     5.01    0.690     0.07     2.90    0.691    -0.30     2.14    0.693    -0.43     1.87
2001ci      NGC3079                      0.178     1.06     5.49    0.249     0.08     1.83    0.295    -0.16     1.17    0.315    -0.21     0.94    0.357    -0.27     0.79
2013ee      NGC3079                      0.488    -0.88     3.28    0.587    -1.64     1.49    0.640    -1.72     1.14    0.657    -1.74     0.99    0.704    -1.92     0.85
1983J       NGC3106                      0.321    -0.14     6.14    0.361     0.69     4.34    0.390     0.29     2.56    0.385     0.39     2.21    0.417     0.16     1.79
2009gt      NGC3106                      0.906    -2.94     7.09    0.907    -1.58     7.09    0.916    -0.96     7.09    0.907    -0.85     6.14    0.930    -0.08     8.69
2006bx      UGC05434                     1.000    -5.44    11.04    1.000    -7.40    21.51    1.000    -3.68    12.30    1.000    -3.63     8.71    1.000    -1.80    12.33
2001an      A100535-0128                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1997cx      NGC3057                      0.166     0.18     5.01    0.173     0.35     3.70    0.188     0.32     3.07    0.185     0.05     2.51    0.213     0.29     2.68
2004ap      PGC029306                    0.913   -99.00    -9.00    0.917   -99.00    -9.00    0.920     1.70    12.28    0.914     1.40     8.69    0.917     0.89     6.14
2007ux      A100919+1459                 0.084   -99.00    -9.00    0.096   -99.00    -9.00    0.095   -99.00    -9.00    0.096   -99.00    -9.00    0.112   -99.00    -9.00
2003de      A101041+3544                 0.077   -99.00    -9.00    0.124   -99.00    -9.00    0.102   -99.00    -9.00    0.089   -99.00    -9.00    0.102   -99.00    -9.00
2001S       UGC05491                     0.969   -99.00    -9.00    0.933   -99.00    -9.00    0.951     0.72    12.28    0.941    -0.17     7.09    0.936    -1.31     4.65
2003cd      A101202+1116                 0.000   -99.00    -9.00    0.008   -99.00    -9.00    0.145   -99.00    -9.00    0.025   -99.00    -9.00    0.006   -99.00    -9.00
2002bl      UGC05499                     0.461    -0.04     6.14    0.551     0.42     4.34    0.604     0.71     3.70    0.619     0.30     2.62    0.656     0.17     2.21
2012gl      NGC3153                      0.972    -1.39     8.69    0.965    -0.82     7.09    0.967    -0.77     6.14    0.964    -0.50     6.14    0.975    -0.67     6.14
2008hx      NGC3154                      0.782     0.04     5.49    0.768    -0.78     2.05    0.794    -1.26     1.26    0.795    -1.23     1.09    0.824    -1.34     0.96
1999gf      UGC05515                     0.693   -99.00    -9.00    0.789   -99.00    -9.00    0.795   -99.00    -9.00    0.792     1.45     8.69    0.802     1.25     7.09
2001ao      A101345-0124                 0.008   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2012cw      NGC3166                      0.673    -0.50     7.09    0.720     0.46     5.49    0.754     0.27     3.70    0.750    -0.16     2.51    0.762    -0.22     2.24
1997C       NGC3160                      1.000     1.22    12.10    1.000    -8.65     6.98    1.000     2.01    22.92    1.000    -7.33     6.05    1.000    -0.78     6.57
1984E       NGC3169                      0.569   -99.00    -9.00    0.611     1.33     8.69    0.635     0.78     5.01    0.680     0.40     3.55    0.749     0.20     3.07
2003cg      NGC3169                      0.134     1.78     6.14    0.189     1.07     2.11    0.222     0.71     1.23    0.250     0.52     0.90    0.302     0.42     0.75
2000L       UGC05520                     0.657     0.70    12.28    0.669    -0.72     3.88    0.702    -1.13     2.75    0.710    -1.02     2.62    0.714    -1.06     2.46
2002bf      CGCG266-031                  0.118     1.01     4.34    0.156     0.86     1.85    0.176     0.88     1.28    0.179     0.81     1.04    0.193     0.87     0.93
2000ba      A101602-0153                 0.421   -99.00    -9.00    0.010   -99.00    -9.00    0.012   -99.00    -9.00    0.012   -99.00    -9.00    0.126   -99.00    -9.00
1947A       NGC3177                      0.958   -99.00    -9.00    0.967   -99.00    -9.00    0.968   -99.00    -9.00    0.964     1.57    12.28    0.974   -99.00    -9.00
2001ie      UGC05542                     0.755    -1.22     7.09    0.796     0.02     6.14    0.813     0.74     6.14    0.812     1.16     6.14    0.831     1.32     6.14
2000fx      A101800-0001                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2002bo      NGC3190                      0.322     3.07    12.28    0.354     1.27     2.41    0.379     0.82     1.32    0.390     0.64     0.98    0.411     0.58     0.82
2002cv      NGC3190                      0.696    -0.07     7.09    0.721     0.59     4.64    0.751    -0.45     2.08    0.769    -0.93     1.40    0.787    -1.23     1.11
1921B       NGC3184                      0.784     0.29    12.28    0.844     0.57     8.69    0.849     1.02     8.69    0.863     0.86     7.09    0.885     0.60     6.14
1921C       NGC3184                      0.949   -99.00    -9.00    0.983    -1.30    12.28    0.980    -0.77    12.28    0.987    -0.64    12.28    1.000    -0.97    12.29
1937F       NGC3184                      0.734    -0.13     8.69    0.796     0.88     8.69    0.804     0.89     7.09    0.818     0.61     5.49    0.840     0.67     5.49
1999gi      NGC3184                      0.194    -1.47     2.75    0.244    -0.81     2.14    0.269    -0.83     1.64    0.288    -0.62     1.56    0.307    -0.67     1.43
2010dn?     NGC3184                      0.245     0.27     6.14    0.303     0.30     3.70    0.330    -0.26     2.24    0.349    -0.19     2.02    0.370    -0.53     1.63
1996co      A101857+6215                 0.370   -99.00    -9.00    0.300   -99.00    -9.00    0.274   -99.00    -9.00    0.267   -99.00    -9.00    0.250   -99.00    -9.00
2003ds      MCG+08-19-017                0.472     0.12     2.82    0.447    -0.20     1.50    0.457    -0.05     1.30    0.471     0.03     1.19    0.817     0.04     1.11
1988B       NGC3191                      0.429    -0.24     2.82    0.451    -0.24     1.74    0.474    -0.17     1.50    0.478    -0.08     1.40    0.515    -0.02     1.35
1951C       A101906+0806                 0.647   -99.00    -9.00    0.003   -99.00    -9.00    0.040   -99.00    -9.00    0.918   -99.00    -9.00    1.000   -99.00    -9.00
2007cx      A101909+3650                 0.001   -99.00    -9.00    0.027   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1966J       NGC3198                      1.000    -2.92    12.29    1.000    -2.79    12.28    1.000    -3.32     8.69    1.000    -4.33     7.10    1.000    -3.19     7.11
1999bw?     NGC3198                      0.949   -99.00    -9.00    0.962   -99.00    -9.00    0.970    -0.59     8.69    0.974    -1.42     5.49    0.977    -1.42     5.49
1988I       PGC086944                    0.094   -99.00    -9.00    0.159     3.91    12.28    0.200     4.02     8.69    0.224     3.76     6.14    0.249     3.92     5.49
1961L       NGC3221                      0.990    -2.59    12.31    0.990    -3.44     7.09    0.995    -3.90     4.65    1.000    -4.97     4.14    0.996    -4.29     3.02
1999Z       UGC05608                     0.621    -1.24     7.09    0.697    -1.88     2.98    0.757    -1.74     2.41    0.772    -1.81     1.99    0.800    -1.88     1.72
1999at      A102311+1759                 0.004     4.07     8.73    0.000     1.95     7.09    0.001     2.46     6.14    0.003     4.99     5.01    0.005     6.15     4.11
1997av      A102311+0413                -9.000   -99.00    -9.00    0.001   -99.00    -9.00    0.062   -99.00    -9.00    0.320   -99.00    -9.00    0.001   -99.00    -9.00
1976K       NGC3226                      0.323     0.21     7.09    0.337     0.73     4.34    0.350     0.26     2.51    0.354     0.32     2.14    0.370     0.39     2.02
1983U       NGC3227                      0.220     1.38     7.09    0.166     0.63     2.32    0.158     0.46     1.47    0.154     0.54     1.24    0.186     0.64     1.15
1999ab      A102500+5352                 0.419     0.92    12.28    0.351     0.21     5.49    0.319     0.13     4.34    0.345    -0.13     3.41    0.394    -0.27     2.98
2012A       NGC3239                      0.857    -0.78     2.90    0.535    -0.81     2.11    0.515    -0.83     1.87    0.546    -0.80     1.72    0.698    -0.91     1.66
2007V       A102705-0318                 0.081   -99.00    -9.00    0.025   -99.00    -9.00    0.008   -99.00    -9.00    0.000   -99.00    -9.00    0.308   -99.00    -9.00
1964M       A102713+2029                 0.331   -99.00    -9.00    0.279   -99.00    -9.00    0.290   -99.00    -9.00    0.279   -99.00    -9.00    0.275   -99.00    -9.00
1999gj      NGC3251                      0.702     0.28     7.09    0.742     0.63     4.64    0.765     0.10     2.68    0.772     0.11     2.28    0.799     0.14     2.11
1941B       NGC3254                      0.907   -99.00    -9.00    0.915    -0.62     5.01    0.931    -0.55     4.34    0.934    -1.06     3.07    0.943    -1.26     2.75
1991S       UGC05691                     0.774    -0.95     8.69    0.816    -0.26     7.09    0.857    -0.12     6.14    0.855     0.22     6.14    0.858     0.09     5.49
2003bs      A102944+2537                 0.098   -99.00    -9.00    0.165   -99.00    -9.00    0.117   -99.00    -9.00    0.198   -99.00    -9.00    0.004   -99.00    -9.00
1993N       UGC05695                     0.900    -1.03     7.09    0.888    -0.19     6.14    0.887    -0.51     4.34    0.880    -0.50     3.88    0.869    -0.69     3.28
1994N       UGC05695                     0.800     1.07    12.28    0.785     0.51     6.14    0.790     0.07     4.09    0.783     0.05     3.70    0.778     0.10     3.55
2000bb      A103238-0200                 0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.025   -99.00    -9.00
2000bc      A103306-0100                 1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.836   -99.00    -9.00    0.103     1.86    12.28
2007av      NGC3279                      0.193     0.71     5.49    0.211    -0.21     1.79    0.234    -0.09     1.27    0.246    -0.21     0.98    0.270    -0.23     0.81
2013ge      NGC3287                      0.895     0.27    12.28    0.878    -0.21     5.49    0.870    -0.42     3.88    0.866    -0.81     2.82    0.875    -0.70     2.82
2007do      A103610+3432                 0.013     5.54     6.14    0.012     4.21     2.32    0.010     3.90     1.87    0.011     4.00     1.67    0.012     3.95     1.54
1990H       NGC3294                      0.169   -99.00    -9.00    0.183   -99.00    -9.00    0.202   -99.00    -9.00    0.213   -99.00    -9.00    0.225   -99.00    -9.00
1992G       NGC3294                      0.283   -99.00    -9.00    0.297   -99.00    -9.00    0.321   -99.00    -9.00    0.334   -99.00    -9.00    0.349   -99.00    -9.00
2001bj      A103625-0058                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2002hg      NGC3306                      0.597     0.34     4.09    0.642    -0.17     2.14    0.692    -0.46     1.52    0.698    -0.53     1.33    0.742    -0.55     1.23
2003cf      A103743+0704                 0.070   -99.00    -9.00    0.048   -99.00    -9.00    0.029   -99.00    -9.00    0.021   -99.00    -9.00    0.016   -99.00    -9.00
1970D       PGC031589                    0.613     0.02     8.69    0.619     0.35     5.01    0.627     0.69     4.34    0.627     0.33     3.07    0.643     0.19     2.62
1998bv      HS1035+4758                  0.065   -99.00    -9.00    0.063   -99.00    -9.00    0.037   -99.00    -9.00    0.033   -99.00    -9.00    0.030   -99.00    -9.00
1974C       NGC3310                      0.580     0.39     1.49    0.558     0.21     1.08    0.564     0.22     0.98    0.573     0.13     0.93    0.581     0.13     0.90
1991N       NGC3310                      0.260    -0.40     0.54    0.271    -0.27     0.45    0.284    -0.21     0.42    0.301    -0.19     0.43    0.312    -0.17     0.41
1975D       UGC05793                     0.478     1.57    12.28    0.523     0.77     4.34    0.571     0.80     3.07    0.593     0.90     2.62    0.638     0.90     2.24
2006al      A103929+0511                 0.556     1.95    12.28    0.616     3.65    12.28    0.618     2.97     6.14    0.633     2.76     4.64    0.582     2.45     3.55
2004bs      NGC3323                      0.163     0.67     3.17    0.176     0.12     1.56    0.194    -0.01     1.19    0.202     0.02     1.09    0.201     0.05     1.02
2005kk      NGC3323                      0.799     0.33     7.09    0.789     0.28     4.64    0.804     0.32     4.09    0.800     0.09     3.41    0.775    -0.09     2.98
2001N       NGC3327                      0.091     0.85     2.82    0.130     0.61     1.11    0.149     0.61     0.75    0.151     0.60     0.62    0.165     0.61     0.55
2005ki      NGC3332                      0.782    -2.51     8.69    0.843    -0.90     8.69    0.849    -0.19     8.69    0.847     0.28     8.69    0.861     0.01     7.09
1972D       A104136+1210                 1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.028   -99.00    -9.00
2005O       NGC3340                      0.235     1.52     5.01    0.249     0.39     1.74    0.269     0.38     1.32    0.271     0.32     1.11    0.290     0.30     0.98
2007fp      NGC3340                      0.097     0.70     2.56    0.112     0.50     1.29    0.128     0.52     0.96    0.132     0.51     0.81    0.142     0.51     0.72
2012fh      NGC3344                      0.595     0.46     8.69    0.693     0.69     6.14    0.705     0.13     3.88    0.720     0.50     4.09    0.704    -0.15     2.82
1997at      A104337-0049                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.005   -99.00    -9.00    0.003   -99.00    -9.00    0.000   -99.00    -9.00
1974F       A104354+1401                 0.011   -99.00    -9.00    0.001   -99.00    -9.00    0.002   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00
2012aw      NGC3351                      0.670   -99.00    -9.00    0.717   -99.00    -9.00    0.738   -99.00    -9.00    0.743   -99.00    -9.00    0.752   -99.00    -9.00
1999P       A104408-0049                 0.205   -99.00    -9.00    0.228   -99.00    -9.00    0.267   -99.00    -9.00    0.221   -99.00    -9.00    0.274   -99.00    -9.00
2002jk      A104414+1558                 0.002   -99.00    -9.00    0.004   -99.00    -9.00    0.005   -99.00    -9.00    0.005   -99.00    -9.00    0.003   -99.00    -9.00
2007bo      A104428+2350                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2003dh      A104450+2131                 0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.021   -99.00    -9.00    0.062   -99.00    -9.00    0.069   -99.00    -9.00
2001Y       NGC3362                      0.677   -99.00    -9.00    0.664     0.91     6.14    0.688     0.44     3.88    0.696     0.46     3.41    0.725     0.24     2.90
2010ct      NGC3362                      0.953   -99.00    -9.00    0.934   -99.00    -9.00    0.938     1.20    12.28    0.937    -0.02     6.14    0.947     0.73     8.69
1998cd      A104504+3925                 0.510    -0.79     8.69    0.445    -0.12     5.49    0.510    -0.87     2.68    0.531    -0.98     2.08    0.461    -0.87     1.85
2005Z       NGC3363                      0.162    -0.46     2.46    0.189    -0.20     1.42    0.213    -0.08     1.06    0.222     0.11     0.96    0.245     0.16     0.85
2009fp      A104522+1057                 0.277     0.17    12.29    0.194    -0.62    12.28    0.007    -2.89    12.84    0.061     0.72    12.31    1.000   -99.00    -9.00
2001bu      A104522-0128                 0.055     2.94     5.02    0.073     4.70     4.68    0.027     4.88     4.82    0.010     3.21     5.03    0.011     4.87     6.37
2003cy      A104604+2720                 1.000   -99.00    -9.00    0.505   -99.00    -9.00    0.764   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1986A       NGC3367                      0.309     0.33     4.34    0.345    -0.12     2.17    0.390    -0.32     1.54    0.402    -0.28     1.38    0.425    -0.26     1.27
1992C       NGC3367                      0.580     2.30    12.28    0.616     1.46     5.49    0.653     1.24     4.09    0.656     0.83     3.07    0.676     0.63     2.62
2003aa      NGC3367                      0.606     1.55     8.69    0.640     0.79     4.09    0.674     0.10     2.46    0.676     0.03     2.17    0.695     0.17     2.17
2007am      NGC3367                      0.246    -0.61     2.68    0.276    -0.44     1.75    0.318    -0.36     1.40    0.330    -0.35     1.23    0.351    -0.33     1.13
1985H       NGC3359                      0.205     0.88     6.14    0.248     0.82     3.70    0.275     0.58     2.75    0.282     0.37     2.24    0.312     0.63     2.41
1998bu      NGC3368                      0.355     0.96     6.14    0.414     0.44     2.36    0.438     0.19     1.51    0.457     0.27     1.30    0.435     0.39     1.24
1994ae      NGC3370                      0.597   -99.00    -9.00    0.646   -99.00    -9.00    0.688   -99.00    -9.00    0.707   -99.00    -9.00    0.726   -99.00    -9.00
2004bi      UGC05894                     0.946    -1.63    12.29    0.976    -0.92     8.69    0.977    -0.46     8.69    0.971     0.01     8.69    0.984    -0.80     6.14
1967C       NGC3389                      1.000    -3.99     8.72    1.000    -6.19     7.33    1.000    -6.49     8.33    1.000    -5.06     7.37    1.000    -4.21     5.24
2009md      NGC3389                      0.771    -0.42     4.09    0.762    -0.79     2.28    0.764    -1.20     1.63    0.755    -1.18     1.51    0.772    -1.18     1.45
2003A       UGC05904                     1.000    -4.51     5.07    1.000    -6.82     2.23    1.000    -6.99     1.89    1.000    -6.37     1.47    1.000    -7.18     2.57
2003co      A104939+2921                 0.003   -99.00    -9.00    0.041   -99.00    -9.00    0.043   -99.00    -9.00    0.049   -99.00    -9.00    0.051   -99.00    -9.00
2002ae      A105051+5709                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.003   -99.00    -9.00    0.006   -99.00    -9.00
2005cd      IC0651                       0.869    -0.39     3.88    0.822    -0.41     2.41    0.828    -0.41     1.97    0.824    -0.33     1.85    0.843    -0.46     1.67
2009ls      NGC3423                      0.274     0.35     5.49    0.283     0.55     3.70    0.311     0.09     2.46    0.329     0.09     2.21    0.319     0.17     2.14
2009al      NGC3425                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2008ah      PGC032586                    0.756    -1.10     8.69    0.757     0.25     7.09    0.766     1.13     7.09    0.766     1.01     5.49    0.781     0.78     4.34
2004ez      NGC3430                      0.660    -0.14     7.09    0.770     0.29     5.49    0.811     0.69     5.49    0.831     0.69     5.01    0.871     0.75     5.01
2001ja      A105226+5719                 0.006   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2002af      A105229+5739                 0.000   -99.00    -9.00    0.666   -99.00    -9.00    0.171   -99.00    -9.00    0.665   -99.00    -9.00    0.000   -99.00    -9.00
2000ch?     NGC3432                      0.975    -3.98     7.10    0.987    -3.65     5.02    0.994    -3.99     4.34    0.981    -3.40     4.64    0.978    -3.51     4.10
2004bn      NGC3441                      0.591     0.29     3.41    0.584     0.40     2.17    0.610     0.64     1.90    0.618     0.61     1.64    0.650     0.52     1.43
2004bm      NGC3437                      0.285     0.10     2.08    0.300    -0.26     1.10    0.340    -0.45     0.76    0.354    -0.56     0.64    0.387    -0.64     0.55
2003cu      A105302-0041                 0.624   -99.00    -9.00    0.017   -99.00    -9.00    0.016   -99.00    -9.00    0.013   -99.00    -9.00    0.012   -99.00    -9.00
2002ag      A105312+5700                 0.000   -99.00    -9.00    0.019   -99.00    -9.00    0.012   -99.00    -9.00    0.013   -99.00    -9.00    0.013   -99.00    -9.00
2002ah      A105319+5700                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.082   -99.00    -9.00
2012ht      NGC3447                      0.204     1.47    12.28    0.232     1.12     7.09    0.262     1.49     7.09    0.286     1.38     6.14    0.300     1.63     5.49
2001iz      A105337+5715                 0.001   -99.00    -9.00    0.880   -99.00    -9.00    0.964   -99.00    -9.00    0.982   -99.00    -9.00    1.000   -99.00    -9.00
2006cf      UGC06015                     0.054     1.03     7.09    0.075     0.24     2.36    0.091     0.12     1.59    0.094     0.23     1.39    0.104     0.22     1.24
2012am      UGC06015                     0.183     1.39     8.69    0.236     0.80     3.41    0.276     0.64     2.32    0.283     0.71     2.02    0.312     0.52     1.67
1997dn      NGC3451                      0.963    -3.89     5.02    0.980    -3.85     3.41    0.981    -3.39     3.28    0.976    -3.75     2.32    0.970    -3.46     2.46
2002ai      A105421+5727                 0.006   -99.00    -9.00    0.024   -99.00    -9.00    0.000   -99.00    -9.00   -9.000   -99.00    -9.00    1.000   -99.00    -9.00
2009X       UGC06019                     0.304    -0.27     3.88    0.367    -0.57     1.47    0.389    -0.64     0.97    0.386    -0.63     0.81    0.402    -0.66     0.70
2014G       NGC3448                      0.930    -2.45     8.69    0.942    -3.44     3.88    0.945    -3.29     3.70    0.954    -3.66     2.75    0.950    -3.57     2.63
2002J       NGC3464                      0.524    -0.04     7.09    0.578     0.24     4.64    0.625    -0.68     2.36    0.647    -0.56     2.17    0.658    -0.77     1.83
2002hy      NGC3464                      0.489    -0.37     5.49    0.542    -0.07     3.70    0.590    -0.46     2.41    0.613    -0.50     2.05    0.625    -0.42     1.97
1999bh      NGC3435                      0.309   -99.00    -9.00    0.362     0.85     3.55    0.417     0.62     2.36    0.427     0.52     1.94    0.491     0.46     1.70
2012cy      NGC3462                      0.436     1.14     7.09    0.420     0.61     2.46    0.429     0.33     1.49    0.420     0.40     1.28    0.437     0.42     1.16
2009az      UGC06036                     0.629     0.31     7.09    0.659     0.42     3.28    0.674     0.21     1.99    0.671     0.18     1.57    0.683     0.06     1.27
1991F       NGC3458                      0.939    -0.41    12.28    0.957    -2.09     2.82    0.960    -2.61     1.59    0.954    -2.40     1.40    0.967    -2.44     1.30
2004T       UGC06038                     0.430    -0.29     6.14    0.489     0.38     4.64    0.514     0.29     3.41    0.508     0.53     3.28    0.522     0.30     2.68
2003cc      A105729+2335                 0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2004at      MCG+10-16-037                1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1953G       A105912+5016                 0.219    -1.39     8.69    0.158     0.89    12.28    0.140     1.68    12.28    0.133     2.09    12.28    0.124     1.60     8.69
1968C       A110012+2643                 0.010   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    1.000   -99.00    -9.00
1954L       A110106+1220                 0.050   -99.00    -9.00    0.062   -99.00    -9.00    0.064   -99.00    -9.00    0.063   -99.00    -9.00    0.060   -99.00    -9.00
2007rt      UGC06109                     0.099     0.56     6.14    0.123     0.69     3.70    0.144     0.19     2.21    0.151     0.16     1.87    0.161     0.01     1.57
2007bx      A110241-0138                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00    0.000   -99.00    -9.00
2007sa      NGC3499                      0.496     1.29     6.14    0.530     0.71     2.24    0.561     0.81     1.67    0.571     0.56     1.24    0.606     0.71     1.19
1998cf      NGC3504                      0.248    -1.29     0.46    0.198    -1.24     0.31    0.197    -1.19     0.24    0.177    -1.11     0.22    0.194    -1.08     0.19
2001ac?     NGC3504                      0.842   -99.00    -9.00    0.820     2.02    12.28    0.824     2.60    12.28    0.813     1.03     5.01    0.826     1.61     6.14
2003L       NGC3506                      0.280    -0.50     2.14    0.301    -0.49     1.30    0.327    -0.35     1.10    0.335    -0.31     1.00    0.351    -0.26     0.93
1996cb      NGC3510                      0.988    -4.42     5.53    0.982    -3.37     4.09    0.986    -3.29     3.88    0.993    -3.31     3.89    1.000    -3.75     3.33
2001fv      NGC3512                      0.630     0.35     5.49    0.640     0.71     4.09    0.661     1.01     3.70    0.663     0.48     2.56    0.699     0.49     2.41
2010bi      NGC3509                      0.684     1.77    12.28    0.674     0.67     4.64    0.693    -0.00     2.82    0.703    -0.11     2.41    0.721    -0.08     2.24
2003dq      A110445+1526                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2009ec      A110628+2405                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1995H       NGC3526                      1.000    -7.32     5.81    1.000    -8.70     3.10    1.000    -7.75     2.33    1.000    -8.16     4.63    1.000    -6.04     2.05
2004U       A110718+2832                 0.001   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2006hn      UGC06154                     0.007     7.87     5.49    0.007     7.43     2.90    0.008     7.74     2.05    0.009     7.97     1.81    0.011     8.25     1.55
2006ak      A110932+2837                 0.920    -1.08     8.69    0.947    -1.59     3.88    0.953    -2.00     2.36    0.953    -1.91     2.11    0.951    -1.99     1.76
2003af      A111021+2324                 0.105    -0.34     4.64    0.117    -0.60     2.46    0.118    -0.75     1.85    0.117    -0.68     1.70    0.119    -0.58     1.67
