# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2005hk      UGC00272                     0.872    -0.13    12.28    0.866     0.00     8.69    0.876     1.07    12.28    0.886     0.46     8.69    0.913    -0.07     7.09
1991ao      UGC00270                     0.893   -99.00    -9.00    0.839    -0.29    12.28    0.839     0.17    12.28    0.782    -0.15     8.69    0.847     0.27    12.29
2000fd      UGC00291                     0.541    -1.26     8.69    0.489    -0.69     6.14    0.528    -0.54     5.49    0.530    -0.28     5.49    0.542    -0.31     5.49
2005kp      A003053-0043                 0.250   -99.00    -9.00    0.289   -99.00    -9.00    0.399   -99.00    -9.00    0.377   -99.00    -9.00    0.204   -99.00    -9.00
2003ip      UGC00327                     1.000   -99.00    -9.00    0.952   -99.00    -9.00    0.952   -99.00    -9.00    0.952   -99.00    -9.00    0.953   -99.00    -9.00
2005im      A003602+0050                 0.488   -99.00    -9.00    0.528   -99.00    -9.00    0.568   -99.00    -9.00    0.582   -99.00    -9.00    0.585   -99.00    -9.00
2005lo      A003711-0112                 0.007   -99.00    -9.00    0.080   -99.00    -9.00    0.060   -99.00    -9.00    0.084   -99.00    -9.00    0.160   -99.00    -9.00
SDSS1166    A003725+0058                 0.003    -8.28    37.07    0.506    13.44    12.55    0.421    13.93    12.30    0.557    16.36    12.32    0.485    15.70    12.45
2001dj      NGC0180                      0.946   -99.00    -9.00    0.971    -0.92    12.28    0.976   -99.00    -9.00    0.977   -99.00    -9.00    0.966     0.38    12.28
2006fg      A003820-0017                 0.992   -99.00    -9.00    0.718   -99.00    -9.00    0.794   -99.00    -9.00    0.782   -99.00    -9.00    1.000   -99.00    -9.00
2006ej      NGC0191A                     0.408     2.05     8.69    0.466     2.48     4.64    0.484     2.65     3.41    0.485     2.49     2.62    0.505     2.47     2.24
2005db      NGC0214                      0.390     0.66     5.01    0.416     0.19     2.28    0.455    -0.01     1.54    0.467     0.15     1.41    0.488     0.20     1.30
2006ep      NGC0214                      0.908   -99.00    -9.00    0.901   -99.00    -9.00    0.911     1.30     8.69    0.910     1.18     7.09    0.912     1.01     6.14
2001ii      UGC00444                     0.597   -99.00    -9.00    0.604     1.46     5.49    0.626     0.81     3.07    0.628     0.64     2.46    0.684     0.42     2.05
2000en      A004308-0023                 0.032   -99.00    -9.00    0.022   -99.00    -9.00    0.007   -99.00    -9.00    0.006   -99.00    -9.00    0.003   -99.00    -9.00
2007L       UGC00466                     0.867    -1.26     7.09    0.900    -0.34     7.09    0.905     0.03     7.09    0.894     0.26     7.09    0.903    -0.47     5.02
2003im      A004459-0853                 0.795     1.55    12.28    0.791     0.98     4.64    0.778     1.16     3.70    0.765     0.58     2.41    0.770     0.61     2.21
2005jc      A004524+0104                 0.224    -5.37    12.94    0.001    -2.24    12.40    0.272     8.80     9.38    0.436    12.33    13.36    0.693    15.98    21.06
2005hz      A004632+0050                 0.188    10.95    12.30    0.139    10.51     8.69    0.151     9.42     3.17    0.163     9.56     2.41    0.177     9.80     2.14
2005gu      A004857-0054                 0.046   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.239   -99.00    -9.00    0.823   -99.00    -9.00
2005kb      A005050+0051                 0.595     0.50     8.69    0.624     0.55     5.49    0.632     0.62     4.64    0.637     0.69     4.34    0.651     0.70     4.09
2005gi      A005552+0030                 0.003   -99.00    -9.00    0.004   -99.00    -9.00    0.006   -99.00    -9.00    0.007   -99.00    -9.00    0.010   -99.00    -9.00
2006nz      A005629-0113                 0.007     3.71     5.49    0.007     2.96     1.79    0.007     2.78     1.15    0.006     2.76     0.98    0.006     2.77     0.86
1999ge      NGC0309                      0.171     1.12     8.69    0.226     0.26     3.28    0.272     0.00     2.21    0.300    -0.21     1.72    0.343    -0.27     1.54
2008cx      NGC0309                      0.856    -0.23    12.28    0.883    -0.95     5.49    0.897    -0.73     5.01    0.911    -0.71     4.64    0.953    -0.77     4.64
2012dt      NGC0309                      0.871   -99.00    -9.00    0.898   -99.00    -9.00    0.910   -99.00    -9.00    0.922   -99.00    -9.00    0.963     1.17    12.28
2005ef      A005822+0040                 0.075     7.96     7.10    0.092     9.23     4.34    0.107     9.32     2.32    0.112     9.44     1.85    0.124     9.61     1.59
2005ho      A005924+0000                 0.023     6.82     8.69    0.035     6.22     2.90    0.039     6.49     2.46    0.041     6.52     2.08    0.042     6.69     2.05
2005eg      A010208-0052                 0.075   -99.00    -9.00    0.100   -99.00    -9.00    0.114    10.00     6.14    0.120    10.33     5.49    0.120    10.06     4.34
2005mp      A010445+0003                -9.000     1.37    13.28    0.002    -0.11    12.29    0.003     1.98    12.28    0.005     2.88    12.28    0.006   -99.00    -9.00
2005it      A010445+0030                 0.618   -99.00    -9.00    0.513   -99.00    -9.00    0.573    15.44     6.16    0.718    17.77     5.10    0.639    16.34     4.33
2005ga      A010743-0102                 0.268   -99.00    -9.00    0.283    12.85     8.69    0.316    12.71     4.10    0.325    12.55     2.98    0.329    12.41     2.42
2007in      A010813+1844                 0.037     9.02     8.69    0.050    10.93     8.69    0.065    12.17     8.69    0.074    12.83     8.69    0.087    12.73     6.14
2005fr      A010822-0005                 0.278     8.76    13.86    1.000     1.37     7.16    1.000     2.57     7.18    1.000     3.31     8.77    1.000    16.08   201.02
2008fs      A010905+1445                 0.261     2.11    12.28    0.345     2.53     7.09    0.403     2.53     5.01    0.422     2.16     3.55    0.449     1.80     2.68
2007et      A010924+1955                 0.001   -99.00    -9.00    0.002   -99.00    -9.00    0.003   -99.00    -9.00    0.003   -99.00    -9.00    0.004   -99.00    -9.00
1991at      UGC00733                     1.000    -3.53     8.72    0.990    -2.70     8.69    0.987    -2.13     8.69    0.987    -2.24     7.09    1.000    -3.08    12.84
2005go      A011049+0100                 0.027   -99.00    -9.00    0.389   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2007if      A011051+1527                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.003   -99.00    -9.00    0.098   -99.00    -9.00
2005kt      A011058+0016                 0.133     9.44     4.10    0.163    10.12     1.90    0.178    10.35     1.29    0.179    10.37     1.07    0.184    10.38     0.94
2005ia      A011135-0000                 0.059     5.62    12.40    0.291    10.47    12.34    1.000     9.73    12.79    0.964    27.45    81.12    1.000     5.66    12.85
2008fr      A011149+1438                 0.080     6.90     8.72    0.144     9.10     7.10    0.133     9.01     7.10    0.127     8.60     5.50    0.114     9.02     6.25
2013ct      NGC0428                      0.057     0.55     4.09    0.110     0.36     2.28    0.133     0.13     1.66    0.144     0.11     1.46    0.134     0.14     1.38
2006ne      A011337+0025                 0.002   -99.00    -9.00    0.004     5.91     8.69    0.006     4.99     3.07    0.007     5.02     2.21    0.008     5.14     1.79
2006eb      UGC00771                     0.660     0.32     8.69    0.713    -0.21     3.55    0.723    -0.69     2.05    0.720    -0.82     1.61    0.740    -0.95     1.35
2006hx      A011357+0022                 0.019     5.82     4.34    0.018     5.52     1.94    0.021     5.68     1.31    0.023     5.76     1.07    0.024     5.75     0.92
2004hu      A011502+0015                 0.015   -99.00    -9.00    0.021     7.63     5.01    0.024     7.13     2.51    0.025     6.98     1.90    0.026     7.10     1.70
2005gb      A011612+0047                 0.012     5.98    12.28    0.017     7.04     7.09    0.027     7.99     5.49    0.034     8.33     4.34    0.041     8.52     3.70
2005lg      A011620-0048                 0.757    16.50    35.20    0.301    10.45     7.16    0.389    12.80     7.13    0.366    13.03     7.13    0.249    11.25     5.64
2005ir      A011643+0047                 0.493     1.32     8.69    0.463     1.05     4.64    0.481     0.52     2.82    0.489     0.54     2.41    0.492     0.58     2.28
2008ep      UGC00826                     0.639     1.30    12.28    0.643     1.40     8.69    0.648     1.30     7.09    0.623     0.92     5.49    0.643     0.70     5.01
SDSS6968    A011813-0054                 0.009   -99.00    -9.00    0.012     6.24     8.69    0.019     6.93     6.14    0.023     7.50     5.49    0.027     7.59     4.64
2000fz      A011836+1441                 0.013     7.04     8.69    0.017     5.97     2.08    0.025     6.22     1.23    0.025     6.31     1.03    0.025     6.19     0.88
1989aa      A011912+1316                 0.701     0.45    12.28    0.781     1.24    12.28    0.789     1.78    12.28    0.761     1.39     8.69    0.810     1.44     8.69
1972P       A011930+0032                 1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2008gd      A012044+1441                 0.558   -99.00    -9.00    0.585   -99.00    -9.00    0.592   -99.00    -9.00    0.604   -99.00    -9.00    0.604     2.67    12.28
2002jy      NGC0477                      1.000   -99.00    -9.00    0.998   -99.00    -9.00    0.998   -99.00    -9.00    0.998   -99.00    -9.00    1.000   -99.00    -9.00
2005gc      A012137-0058                 0.114     8.50    12.31    0.116     9.48    12.28    0.137    10.50    12.28    0.181    11.55    12.29    0.167    10.79     8.74
2007md      A012156-0100                 0.001     3.22     5.49    0.002     4.16     3.28    0.002     4.59     2.36    0.003     4.79     1.99    0.003     4.97     1.77
1971S       NGC0493                      0.672    -0.89     4.34    0.691    -1.00     2.68    0.714    -1.21     2.08    0.717    -1.00     2.08    0.746    -1.11     1.90
2001dk      UGC00913                     0.567    -0.23     2.75    0.598    -0.62     1.33    0.631    -0.72     0.94    0.640    -0.74     0.81    0.666    -0.76     0.71
1999ej      NGC0495                      0.594    -0.28    12.28    0.733     0.61     8.69    0.740     1.43     8.69    0.739     0.71     5.01    0.784     0.39     3.88
2003lc      UGC00934                     0.942    -2.42     8.69    0.947    -1.49     8.69    0.952    -0.71     8.69    0.947    -0.27     8.69    0.955    -0.89     6.14
2005ly      UGC00934                     0.550   -99.00    -9.00    0.640     0.90     7.09    0.678     0.68     4.64    0.682     0.79     4.09    0.715     0.87     3.88
1995Z       UGC00937                     0.508   -99.00    -9.00    0.489     1.70     7.09    0.511     1.10     4.09    0.515     0.76     3.07    0.515     0.66     2.68
1963T       PGC005170                    0.013   -99.00    -9.00    0.017     3.89    12.28    0.018     2.02     3.88    0.017     1.18     2.32    0.017     1.10     2.05
2000fg      A012431-1023                 0.540   -99.00    -9.00    0.529     1.87     4.34    0.571     1.91     3.07    0.591     1.72     2.28    0.587     1.86     2.17
2001en      NGC0523                      0.039     1.32     7.09    0.050     1.98     4.34    0.065     1.81     2.62    0.074     1.83     2.08    0.094     1.96     1.83
2005gy      A012606+0040                 0.000   -99.00    -9.00    0.599   -99.00    -9.00    0.633   -99.00    -9.00    0.803   -99.00    -9.00    0.803   -99.00    -9.00
1963N       NGC0536                      0.890   -99.00    -9.00    0.944   -99.00    -9.00    0.955   -99.00    -9.00    0.957   -99.00    -9.00    0.947   -99.00    -9.00
2005hj      A012648-0114                 0.490     0.34     7.09    0.530     1.79     7.09    0.533     0.62     2.98    0.541     0.80     2.68    0.588     0.75     2.36
